ActionState		Occupation	HoldItemId		SkillName
1010	AS_GUN_FIRE：枪械开火	0	426#435#762#767#774#779#806#807#809#810#811#812#813#837#838#846#848#849#897#898#899#2301#2302	手枪	pistol_shoot
1010	AS_GUN_FIRE：枪械开火	0	427#428#429#430#431#432#433#434#436#437#438#439#440#759#760#761#763#764#765#766#768#771#772#773#775#776#777#778#780#700#701#702#703#704#705#706#707#708#709#710#711#712#713#714	枪战之前的旧枪	smg_shoot
1010	AS_GUN_FIRE：枪械开火	0	794#795#796#797#798#799#800#801#802#803#804#805#808#814#815#816#817#818#819#820#821#822#823#824#825#826#827#828#829#830#831#832#833#834#835#836#839#840#841#842#843#844#845#847#850#851#852#853#884#885#886#887#888#889#890#891#892#893#894#895#896#902#2303#2305#2306#2337	像素射击新枪	smg_shoot
1011	AS_GREETINGS:打招呼动作	0	0	无或者非特定物品	hello
1012	AS_SELECTABLE_ACTION:选择动作	0	0	无或者非特定物品	selectable_action
2000	AS_SKILL_POISION: 僵尸护士防毒技能	0	0	无或者非特定物品	attack4
2000	AS_SKILL_START：投掷	0	110401	健身游戏投掷	touzhi
2000	AS_SKILL_START：敲打	0	110402	健身游戏rko	rko
2000	AS_SKILL_START：玩弄	0	110403	健身游戏摔打3次	wannong
2000	AS_SKILL_START：投掷	0	110404	健身游戏转手投掷	paozhi
2000	AS_SKILL_START：敲打	0	110405	健身游戏流星飞坠	liuxingfeizui
2000	AS_SKILL_START：玩弄	0	110406	健身游戏下颚粉碎踢	xiaefensuiti
2000	AS_SKILL_START：投掷	0	110407	健身游戏炸弹抱摔	zhadanshuai
2000	AS_SKILL_START：敲打	0	110408	健身游戏横扫	gun
2000	AS_SKILL_START：玩弄	0	110409	健身游戏醉拳投链球	wannong2
2000	AS_SKILL_START：投掷	0	110410	健身游戏如来神掌	g1055_rulaishenzhang
2000	AS_SKILL_START：敲打	0	110411	健身游戏灼热击	g1055_zadi
2000	AS_SKILL_START：玩弄	0	110412	健身游戏奥特光束	g1055_aoteguangshu
1010	AS_GUN_FIRE：枪械开火	0	2304	像素射击新枪	attack5
1013	AS_PRAISE: 点赞	0	0	无或者非特定物品	praise
1013	AS_PRAISE1: 点赞蓝	0			
