blockId	state	lightStrength	color	blockColor	requiresNoTool	lightEmitted	lightDiffuseDis	transparent	transparentMode	transparentGridMode	renderable	resistance	hardness	flammable	collisionBox_min	collisionBox_max	jigsawBeginBlockId	jigsaw1	jigsaw2	jigsaw3	jigsaw4	blockFaceToPlayer
1869	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1870	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1871	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1872	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1873	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1874	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1875	1		707070		0						1	15	3.5	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1876	1	1.2	707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1877	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1878	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1879	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1880	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1881	1	15	707070	BE4FE7	0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1882	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1883	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1884	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1885	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1886	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						0
1887	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1888	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1889	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1890	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1891	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1892	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1893	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1894	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1895	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1896	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1897	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1898	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1899	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
1900	1		707070		0						1	2000	6	0	0.0#0.0#0.0	1.0#1.0#1.0						1
3001	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3002	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3003	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3004	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3005	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3006	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3007	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
3008	1	3	A7A7A7		1						1	4	2	1	0.0#0.0#0.0	1.0#1.0#1.0						0
