seq	groupId	groupSeq	rewardId	weights	isGrandPrize	Unnamed: 6	Unnamed: 7
11108	1002	51	11108	1000	0	11108.0	号角
11109	1002	52	11109	1000	0	11109.0	黄金宝箱
11110	1002	53	11110	5	0	11110.0	钻石宝箱
12101	2001	54	12101	0	0	12101.0	变色龙
12102	2001	55	12102	0	0	12102.0	斧头头盔
12103	2001	56	12103	0	0	12103.0	星星刀光
12104	2001	57	12104	0	0	12104.0	冰冻拖尾
12105	2001	58	12105	1000	0	12105.0	飞羽拖尾
12106	2002	59	12106	5000	0	12106.0	雷电箭
12107	2002	60	12107	5000	0	12107.0	魔法箭
12108	2002	61	12108	20000	0	12108.0	闪耀登场
12109	2002	62	12109	50000	0	12109.0	棒球手
12110	2002	63	12110	50000	0	12110.0	抹杀
12111	2002	64	12111	70000	0	12111.0	钥匙
12112	2003	65	12112	50	0	12112.0	恢复Ⅲ
12113	2003	66	12113	1	0	12113.0	吸血Ⅲ
12114	2003	67	12114	1	0	12114.0	暴击Ⅲ
12115	2003	68	12115	50	0	12115.0	保护Ⅲ
12116	2003	69	12116	1	0	12116.0	修罗Ⅲ
12117	92003	70	12117	50000	0	12117.0	剑刃Ⅱ
12118	92003	71	12118	50000	0	12118.0	弓箭Ⅱ
12119	92003	72	12119	50000	0	12119.0	击退Ⅱ
12120	92003	73	12120	50000	0	12120.0	吸血Ⅱ
12121	92003	74	12121	50000	0	12121.0	暴击Ⅱ
12122	92003	75	12122	50000	0	12122.0	火剑Ⅱ
12123	92003	76	12123	50000	0	12123.0	强壮Ⅱ
12124	92003	77	12124	50000	0	12124.0	恢复Ⅱ
12125	92003	78	12125	50000	0	12125.0	保护Ⅱ
12126	92003	79	12126	50000	0	12126.0	壮大Ⅱ
12127	92003	80	12127	50000	0	12127.0	成长Ⅱ
12128	92003	81	12128	50000	0	12128.0	修罗Ⅱ
12129	92003	82	12129	50000	0	12129.0	丰收Ⅱ
12130	92003	83	12130	50000	0	12130.0	祝福Ⅱ
12131	92003	84	12131	50000	0	12131.0	幸运Ⅱ
12132	92003	85	12132	50000	0	12132.0	复活Ⅱ
12133	92003	86	12133	50000	0	12133.0	铁锭Ⅱ
12134	92003	87	12134	50000	0	12134.0	金锭Ⅱ
12135	92003	88	12135	50000	0	12135.0	羊毛Ⅱ
12136	92003	89	12136	50000	0	12136.0	铁墓Ⅱ
12137	92003	90	12137	50000	0	12137.0	毛堆Ⅱ
13101	3001	91	13101	0	0	13101.0	末影龙
13102	3001	92	13102	0	0	13102.0	雷龙
13103	3001	93	13103	0	0	13103.0	皇牌飞行猪
13104	3001	94	13104	0	0	13104.0	拳击手
13105	3001	95	13105	1000	0	13105.0	魔法猫咪
13106	3002	96	13106	5000	0	13106.0	星星刀光
13107	3002	97	13107	5000	0	13107.0	猫脸刀光
13108	3002	98	13108	5000	0	13108.0	科技刀光
13109	3002	99	13109	5000	0	13109.0	黑暗刀光
13110	3002	100	13110	5000	0	13110.0	幻影刀光
13111	3003	101	13111	5000	0	13111.0	蔷薇箭
13112	3003	102	13112	5000	0	13112.0	能量箭
13113	3003	103	13113	5000	0	13113.0	心箭
13114	3003	104	13114	5000	0	13114.0	螺旋箭
13115	3003	105	13115	5000	0	13115.0	火箭
13116	3004	106	13116	5000	0	13116.0	幽灵鬼脸拖尾
13117	3004	107	13117	5000	0	13117.0	樱花拖尾
13118	3004	108	13118	5000	0	13118.0	音符拖尾
13119	3004	109	13119	5000	0	13119.0	彩虹拖尾
13120	3004	110	13120	5000	0	13120.0	火焰拖尾
13121	3005	111	13121	5000	0	13121.0	钥匙
13122	3005	112	13122	5000	0	13122.0	观影券
13123	3005	113	13123	5000	0	13123.0	号角
13124	3005	114	13124	5000	0	13124.0	黄金宝箱
13125	3005	115	13125	5000	0	13125.0	钻石宝箱
92003	2003	116	92003	999999	0	92003.0	问号
