Id	BlockId	Meta	Hardness	DropItemId	DropItemMeta	DropProbability	DropCount	DefaultHurt	DefaultDrop	HoldItemId	HoldItemHurt	DropItem	Integral	Unnamed: 14	Unnamed: 15	Unnamed: 16
1703	17	3	120	17	3	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	丛林原木	3.0	√
1704	17	4	120	17	0	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	橡树原木	3.0	√
1706	17	6	120	17	2	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	桦树原木	3.0	√
1708	17	8	120	17	0	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	橡树原木	3.0	√
1710	17	10	120	17	2	100	1	48	1	271#275#258#286#279#2247#2831#2832	55#85#150#300#300#450#800#800	1#1#1#1#1	3	桦树原木	3.0	√
1800	18	0	24	6	0	9	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	0	橡树叶	0.0	√
1801	18	1	24	6	1	9	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	0	云杉树叶	0.0	√
1802	18	2	24	6	2	9	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	0	白桦树叶	0.0	√
1803	18	3	24	6	3	9	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	0	丛林树叶	0.0	√
2000	20	0	100	20	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	玻璃	4.0	√
2100	21	0	240	351	4	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#560#800#800	1#1#1#1#1	600	青金石矿石	600.0	√
2200	22	0	160	22	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4500	青金石块	4500.0	暂不放
2400	24	0	100	24	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	14	砂石	14.0	√
2401	24	1	100	24	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	14	雕刻砂石	14.0	√
2402	24	2	100	24	2	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	14	光滑砂石	14.0	√
2500	25	0	100	25	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	音乐盒		
3000	30	0	48	30	0	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	1	蜘蛛网	1.0	√
3100	31	0	20	31	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	枯死的灌木	1.0	√
3101	31	1	20	31	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	草	1.0	√
3102	31	2	20	31	2	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	蕨类植物	1.0	√
3500	35	0	64	35	0	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	50	白色羊毛	50.0	√
3501	35	1	64	35	1	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	橙色羊毛	550.0	√
3502	35	2	64	35	2	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	品红色羊毛	550.0	√
3503	35	3	64	35	3	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	浅蓝色羊毛	550.0	√
3504	35	4	64	35	4	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	黄色羊毛	550.0	√
3505	35	5	64	35	5	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	浅绿色羊毛	550.0	√
3506	35	6	64	35	6	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	粉色羊毛	550.0	√
3507	35	7	64	35	7	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	灰色羊毛	550.0	√
3508	35	8	64	35	8	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	浅灰色羊毛	550.0	√
3509	35	9	64	35	9	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	青色羊毛	550.0	√
3510	35	10	64	35	10	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	紫色羊毛	550.0	√
3511	35	11	64	35	11	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	蓝色羊毛	550.0	√
3512	35	12	64	35	12	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	棕色羊毛	550.0	√
3513	35	13	64	35	13	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	绿色羊毛	550.0	√
3514	35	14	64	35	14	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	红色羊毛	550.0	√
3515	35	15	64	35	15	100	1	48	1	270#274#257#285#278#2249#359#2831#2832	55#70#85#105#120#330#120#800#800	1	550	黑色羊毛	550.0	√
3700	37	0	20	37	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	500	蒲公英	500.0	√
3800	38	0	20	38	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	500	罂粟	500.0	√
4100	41	0	160	41	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1080	金块	1080.0	√
4200	42	0	160	42	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	163	铁块	163.0	√
4300	43	0	100	43	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	双层石板	1.0	√
4301	43	1	100	43	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	14	双层砂石板	14.0	√
4303	43	3	100	43	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	双层圆石板	1.0	√
4304	43	4	100	43	4	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	240	双层砖板	240.0	√
4305	43	5	100	43	5	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	双层石砖板	4.0	√
4306	43	6	100	43	6	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	320	双层地狱砖板	320.0	√
4307	43	7	100	43	7	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	50	双层石英板	50.0	√
4400	44	0	100	44	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	石板	1.0	√
4401	44	1	100	44	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	7	砂石板	7.0	√
4403	44	3	100	44	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	圆石板	1.0	√
4404	44	4	100	44	4	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	120	砖板	120.0	√
4405	44	5	100	44	5	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	石砖板	2.0	√
4406	44	6	100	44	6	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	160	地狱砖板	160.0	√
4407	44	7	100	44	7	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	25	石英板	25.0	√
4408	44	8	100	44	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	石板	1.0	√
4409	44	9	100	44	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	7	砂石板	7.0	√
4411	44	11	100	44	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	圆石板	1.0	√
4412	44	12	100	44	4	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	120	砖板	120.0	√
4413	44	13	100	44	5	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	石砖板	2.0	√
4414	44	14	100	44	6	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	160	地狱砖板	160.0	√
4415	44	15	100	44	7	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	25	石英板	25.0	√
4500	45	0	100	45	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	240	砖块	240.0	√
4700	47	0	100	47	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	200	书架	200.0	√
4900	49	0	100	49	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	100	黑曜石	100.0	√
5000	50	0	30	50	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	火把	1.0	√
5300	53	0	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5301	53	1	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5302	53	2	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5303	53	3	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5304	53	4	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5305	53	5	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5306	53	6	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5307	53	7	100	53	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木楼梯	1.0	√
5400	54	0	125	54	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	箱子	6.0	√
5600	56	0	350	264	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#95#170#350#400#560#800#800	1#1#1#1#1	300	钻石矿	300.0	√
5700	57	0	160	57	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2250	钻石块	2250.0	√
5800	58	0	125	58	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	3	工作台	3.0	√
6100	61	0	125	61	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	8	熔炉	8.0	√
6101	61	1	125	61	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	8	熔炉	8.0	√
6102	61	2	125	61	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	8	熔炉	8.0	√
6103	61	3	125	61	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	8	熔炉	8.0	√
6104	61	4	125	61	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	8	熔炉	8.0	√
6400	64	0	100	324	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木门下	1.0	√
6408	64	8	100	324	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木门上	1.0	√
6500	65	0	100	65	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	梯子	1.0	√
6700	67	0	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯	2.0	√
6701	67	1	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯	2.0	√
6702	67	2	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯	2.0	√
6703	67	3	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯	2.0	√
6704	67	4	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯		
6705	67	5	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯		
6706	67	6	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯		
6707	67	7	100	67	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	圆石楼梯		
7200	72	0	100	72	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	木质压力板	2.0	√
7600	76	0	30	76	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	红石火把	1.0	√
7900	79	0	80	79	0	0	0	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	60	冰	60.0	√
8000	80	0	100	80	0	100	1	48	1	270#274#257#285#278#2249#269#273#256#284#277#2248#2831#2832	55#70#85#105#120#330#60#85#150#300#400#800#800#800	1#1#1#1#1	300	雪块	300.0	√
8100	81	0	40	81	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	仙人掌	1.0	√
8500	85	0	100	85	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	橡木栅栏	1.0	√
8700	87	0	150	87	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	80	地狱岩	80.0	√
8900	89	0	130	89	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1000	萤石	1000.0	√
9500	95	0	100	95	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	白色玻璃	65.0	√
9501	95	1	100	95	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	橙色玻璃	65.0	√
9502	95	2	100	95	2	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	品红色玻璃	65.0	√
9503	95	3	100	95	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	浅蓝色玻璃	65.0	√
9504	95	4	100	95	4	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	黄色玻璃	65.0	√
9505	95	5	100	95	5	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	浅绿色玻璃	65.0	√
9506	95	6	100	95	6	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	粉色玻璃	65.0	√
9507	95	7	100	95	7	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	灰色玻璃	65.0	√
9508	95	8	100	95	8	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	浅灰色玻璃	65.0	√
9509	95	9	100	95	9	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	青色玻璃	65.0	√
9510	95	10	100	95	10	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	紫色玻璃	65.0	√
9511	95	11	100	95	11	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	蓝色玻璃	65.0	√
9512	95	12	100	95	12	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	棕色玻璃	65.0	√
9513	95	13	100	95	13	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	绿色玻璃	65.0	√
9514	95	14	100	95	14	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	红色玻璃	65.0	√
9515	95	15	100	95	15	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	65	黑色玻璃	65.0	√
9800	98	0	100	98	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	石砖	4.0	√
9801	98	1	100	98	1	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	苔石砖	4.0	√
9802	98	2	100	98	2	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	破损石砖	4.0	√
9803	98	3	100	98	3	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	錾制石砖	4.0	√
10100	101	0	100	101	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	4	铁栏杆	4.0	√
10200	102	0	100	102	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	1	玻璃板	1.0	√
10700	107	0	100	107	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	2	橡木栅栏门	2.0	√
10800	108	0	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯	360.0	√
10801	108	1	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯	360.0	√
10802	108	2	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯	360.0	√
10803	108	3	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯	360.0	√
10804	108	4	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯		
10805	108	5	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯		
10806	108	6	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯		
10807	108	7	100	108	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	360	砖块楼梯		
10900	109	0	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯	6.0	√
10901	109	1	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯	6.0	√
10902	109	2	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯	6.0	√
10903	109	3	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯	6.0	√
10904	109	4	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯		
10905	109	5	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯		
10906	109	6	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯		
10907	109	7	100	109	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	6	石砖楼梯		
11200	112	0	140	112	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	320	地狱砖块	320.0	√
11300	113	0	100	113	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	240	地狱砖栅栏	240.0	√
11400	114	0	100	114	0	100	1	48	1	270#274#257#285#278#2249#2831#2832	55#70#85#105#120#330#800#800	1#1#1#1#1	480	地狱砖楼梯	480.0	√
