ID	旧ItemId	新ItemId	装扮ItemId	Unnamed: 4	备注.1
182	701	789	907		气泡头盔
183	705	790	907		气泡头盔
184	709	791	907		气泡头盔
185	713	792	907		气泡头盔
186	2056	793	908		蒲公英头盔
187	2060	794	908		蒲公英头盔
188	2064	795	908		蒲公英头盔
189	2068	796	908		蒲公英头盔
190	701	797	908		蒲公英头盔
191	705	798	908		蒲公英头盔
192	709	799	908		蒲公英头盔
193	713	800	908		蒲公英头盔
194	2056	801	909		UFO头盔
195	2060	802	909		UFO头盔
196	2064	803	909		UFO头盔
197	2068	804	909		UFO头盔
198	701	805	909		UFO头盔
199	705	806	909		UFO头盔
200	709	807	909		UFO头盔
201	713	808	909		UFO头盔
202	2056	809	910		羽箭头盔
203	2060	810	910		羽箭头盔
204	2064	811	910		羽箭头盔
205	2068	812	910		羽箭头盔
206	701	813	910		羽箭头盔
207	705	814	910		羽箭头盔
208	709	815	910		羽箭头盔
209	713	816	910		羽箭头盔
210	2056	817	911		斧头头盔
211	2060	818	911		斧头头盔
212	2064	819	911		斧头头盔
213	2068	820	911		斧头头盔
214	701	821	911		斧头头盔
215	705	822	911		斧头头盔
216	709	823	911		斧头头盔
217	713	824	911		斧头头盔
218	2056	825	912		变色龙
219	2060	826	912		变色龙
220	2064	827	912		变色龙
221	2068	828	912		变色龙
222	701	829	912		变色龙
223	705	830	912		变色龙
224	709	831	912		变色龙
225	713	832	912		变色龙
226	35	1441	1441		羊毛装扮(红)
227	35	1442	1442		羊毛装扮(蓝)
228	35	1443	1443		羊毛装扮(绿)
229	35	1444	1444		羊毛装扮(黄)
230	35	1445	1445		羊毛装扮(青)
231	35	1446	1446		羊毛装扮(白)
232	35	1447	1447		羊毛装扮(粉)
233	35	1448	1448		羊毛装扮(黑)
234	1441	1801	1801		羊毛装扮(红)
235	1441	1802	1802		羊毛装扮(红)
236	1441	1803	1803		羊毛装扮(红)
237	1441	1804	1804		羊毛装扮(红)
238	1441	1805	1805		羊毛装扮(红)
239	1441	1807	1807		羊毛装扮(红)
240	1441	1808	1808		羊毛装扮(红)
241	1441	1809	1809		羊毛装扮(红)
242	1441	1810	1810		羊毛装扮(红)
243	1441	1811	1811		羊毛装扮(红)
244	1441	1812	1812		羊毛装扮(红)
245	1441	1813	1813		羊毛装扮(红)
246	1441	1814	1814		羊毛装扮(红)
247	1441	1815	1815		羊毛装扮(红)
248	1441	1816	1816		羊毛装扮(红)
249	1441	1817	1817		羊毛装扮(红)
250	1441	1818	1818		羊毛装扮(红)
251	1441	1819	1819		羊毛装扮(红)
252	1441	1820	1820		羊毛装扮(红)
253	1441	1821	1821		羊毛装扮(红)
254	1441	1822	1822		羊毛装扮(红)
255	1441	1823	1823		羊毛装扮(红)
256	1441	1824	1824		羊毛装扮(红)
257	1441	1825	1825		羊毛装扮(红)
258	1442	1801	1801		羊毛装扮(蓝)
259	1442	1802	1802		羊毛装扮(蓝)
260	1442	1803	1803		羊毛装扮(蓝)
261	1442	1804	1804		羊毛装扮(蓝)
262	1442	1805	1805		羊毛装扮(蓝)
263	1442	1807	1807		羊毛装扮(蓝)
264	1442	1808	1808		羊毛装扮(蓝)
265	1442	1809	1809		羊毛装扮(蓝)
266	1442	1810	1810		羊毛装扮(蓝)
267	1442	1811	1811		羊毛装扮(蓝)
268	1442	1812	1812		羊毛装扮(蓝)
269	1442	1813	1813		羊毛装扮(蓝)
270	1442	1814	1814		羊毛装扮(蓝)
271	1442	1815	1815		羊毛装扮(蓝)
272	1442	1816	1816		羊毛装扮(蓝)
273	1442	1817	1817		羊毛装扮(蓝)
274	1442	1818	1818		羊毛装扮(蓝)
275	1442	1819	1819		羊毛装扮(蓝)
276	1442	1820	1820		羊毛装扮(蓝)
277	1442	1821	1821		羊毛装扮(蓝)
278	1442	1822	1822		羊毛装扮(蓝)
279	1442	1823	1823		羊毛装扮(蓝)
280	1442	1824	1824		羊毛装扮(蓝)
281	1442	1825	1825		羊毛装扮(蓝)
282	1443	1801	1801		羊毛装扮(绿)
283	1443	1802	1802		羊毛装扮(绿)
284	1443	1803	1803		羊毛装扮(绿)
285	1443	1804	1804		羊毛装扮(绿)
286	1443	1805	1805		羊毛装扮(绿)
287	1443	1807	1807		羊毛装扮(绿)
288	1443	1808	1808		羊毛装扮(绿)
289	1443	1809	1809		羊毛装扮(绿)
290	1443	1810	1810		羊毛装扮(绿)
291	1443	1811	1811		羊毛装扮(绿)
292	1443	1812	1812		羊毛装扮(绿)
293	1443	1813	1813		羊毛装扮(绿)
294	1443	1814	1814		羊毛装扮(绿)
295	1443	1815	1815		羊毛装扮(绿)
296	1443	1816	1816		羊毛装扮(绿)
297	1443	1817	1817		羊毛装扮(绿)
298	1443	1818	1818		羊毛装扮(绿)
299	1443	1819	1819		羊毛装扮(绿)
300	1443	1820	1820		羊毛装扮(绿)
301	1443	1821	1821		羊毛装扮(绿)
302	1443	1822	1822		羊毛装扮(绿)
303	1443	1823	1823		羊毛装扮(绿)
304	1443	1824	1824		羊毛装扮(绿)
305	1443	1825	1825		羊毛装扮(绿)
306	1444	1801	1801		羊毛装扮(黄)
307	1444	1802	1802		羊毛装扮(黄)
308	1444	1803	1803		羊毛装扮(黄)
309	1444	1804	1804		羊毛装扮(黄)
310	1444	1805	1805		羊毛装扮(黄)
311	1444	1807	1807		羊毛装扮(黄)
312	1444	1808	1808		羊毛装扮(黄)
313	1444	1809	1809		羊毛装扮(黄)
314	1444	1810	1810		羊毛装扮(黄)
315	1444	1811	1811		羊毛装扮(黄)
316	1444	1812	1812		羊毛装扮(黄)
317	1444	1813	1813		羊毛装扮(黄)
318	1444	1814	1814		羊毛装扮(黄)
319	1444	1815	1815		羊毛装扮(黄)
320	1444	1816	1816		羊毛装扮(黄)
321	1444	1817	1817		羊毛装扮(黄)
322	1444	1818	1818		羊毛装扮(黄)
323	1444	1819	1819		羊毛装扮(黄)
324	1444	1820	1820		羊毛装扮(黄)
325	1444	1821	1821		羊毛装扮(黄)
326	1444	1822	1822		羊毛装扮(黄)
327	1444	1823	1823		羊毛装扮(黄)
328	1444	1824	1824		羊毛装扮(黄)
329	1444	1825	1825		羊毛装扮(黄)
330	1445	1801	1801		羊毛装扮(青)
331	1445	1802	1802		羊毛装扮(青)
332	1445	1803	1803		羊毛装扮(青)
333	1445	1804	1804		羊毛装扮(青)
334	1445	1805	1805		羊毛装扮(青)
335	1445	1807	1807		羊毛装扮(青)
336	1445	1808	1808		羊毛装扮(青)
337	1445	1809	1809		羊毛装扮(青)
338	1445	1810	1810		羊毛装扮(青)
339	1445	1811	1811		羊毛装扮(青)
340	1445	1812	1812		羊毛装扮(青)
341	1445	1813	1813		羊毛装扮(青)
342	1445	1814	1814		羊毛装扮(青)
343	1445	1815	1815		羊毛装扮(青)
344	1445	1816	1816		羊毛装扮(青)
345	1445	1817	1817		羊毛装扮(青)
346	1445	1818	1818		羊毛装扮(青)
347	1445	1819	1819		羊毛装扮(青)
348	1445	1820	1820		羊毛装扮(青)
349	1445	1821	1821		羊毛装扮(青)
350	1445	1822	1822		羊毛装扮(青)
351	1445	1823	1823		羊毛装扮(青)
352	1445	1824	1824		羊毛装扮(青)
353	1445	1825	1825		羊毛装扮(青)
354	1446	1801	1801		羊毛装扮(白)
355	1446	1802	1802		羊毛装扮(白)
356	1446	1803	1803		羊毛装扮(白)
357	1446	1804	1804		羊毛装扮(白)
358	1446	1805	1805		羊毛装扮(白)
359	1446	1807	1807		羊毛装扮(白)
360	1446	1808	1808		羊毛装扮(白)
361	1446	1809	1809		羊毛装扮(白)
362	1446	1810	1810		羊毛装扮(白)
363	1446	1811	1811		羊毛装扮(白)
364	1446	1812	1812		羊毛装扮(白)
365	1446	1813	1813		羊毛装扮(白)
366	1446	1814	1814		羊毛装扮(白)
367	1446	1815	1815		羊毛装扮(白)
368	1446	1816	1816		羊毛装扮(白)
369	1446	1817	1817		羊毛装扮(白)
370	1446	1818	1818		羊毛装扮(白)
371	1446	1819	1819		羊毛装扮(白)
372	1446	1820	1820		羊毛装扮(白)
373	1446	1821	1821		羊毛装扮(白)
374	1446	1822	1822		羊毛装扮(白)
375	1446	1823	1823		羊毛装扮(白)
376	1446	1824	1824		羊毛装扮(白)
377	1446	1825	1825		羊毛装扮(白)
378	1447	1801	1801		羊毛装扮(粉)
379	1447	1802	1802		羊毛装扮(粉)
380	1447	1803	1803		羊毛装扮(粉)
381	1447	1804	1804		羊毛装扮(粉)
382	1447	1805	1805		羊毛装扮(粉)
383	1447	1807	1807		羊毛装扮(粉)
384	1447	1808	1808		羊毛装扮(粉)
385	1447	1809	1809		羊毛装扮(粉)
386	1447	1810	1810		羊毛装扮(粉)
387	1447	1811	1811		羊毛装扮(粉)
388	1447	1812	1812		羊毛装扮(粉)
389	1447	1813	1813		羊毛装扮(粉)
390	1447	1814	1814		羊毛装扮(粉)
391	1447	1815	1815		羊毛装扮(粉)
392	1447	1816	1816		羊毛装扮(粉)
393	1447	1817	1817		羊毛装扮(粉)
394	1447	1818	1818		羊毛装扮(粉)
395	1447	1819	1819		羊毛装扮(粉)
396	1447	1820	1820		羊毛装扮(粉)
397	1447	1821	1821		羊毛装扮(粉)
398	1447	1822	1822		羊毛装扮(粉)
399	1447	1823	1823		羊毛装扮(粉)
400	1447	1824	1824		羊毛装扮(粉)
401	1447	1825	1825		羊毛装扮(粉)
402	1448	1801	1801		羊毛装扮(黑)
403	1448	1802	1802		羊毛装扮(黑)
404	1448	1803	1803		羊毛装扮(黑)
405	1448	1804	1804		羊毛装扮(黑)
406	1448	1805	1805		羊毛装扮(黑)
407	1448	1807	1807		羊毛装扮(黑)
408	1448	1808	1808		羊毛装扮(黑)
409	1448	1809	1809		羊毛装扮(黑)
410	1448	1810	1810		羊毛装扮(黑)
411	1448	1811	1811		羊毛装扮(黑)
412	1448	1812	1812		羊毛装扮(黑)
413	1448	1813	1813		羊毛装扮(黑)
414	1448	1814	1814		羊毛装扮(黑)
415	1448	1815	1815		羊毛装扮(黑)
416	1448	1816	1816		羊毛装扮(黑)
417	1448	1817	1817		羊毛装扮(黑)
418	1448	1818	1818		羊毛装扮(黑)
419	1448	1819	1819		羊毛装扮(黑)
420	1448	1820	1820		羊毛装扮(黑)
421	1448	1821	1821		羊毛装扮(黑)
422	1448	1822	1822		羊毛装扮(黑)
423	1448	1823	1823		羊毛装扮(黑)
424	1448	1824	1824		羊毛装扮(黑)
425	1448	1825	1825		羊毛装扮(黑)
426	5	1826	1826		木头
427	5	1827	1827		木头
428	5	1828	1828		木头
429	5	1829	1829		木头
430	5	1830	1830		木头
431	5	1831	1831		木头
432	5	1832	1832		木头
433	5	1833	1833		木头
434	5	1834	1834		木头
435	5	1835	1835		木头
436	5	1836	1836		木头
437	5	1837	1837		木头
438	5	1838	1838		木头
439	5	1839	1839		木头
440	5	1840	1840		木头
441	5	1841	1841		木头
442	5	1842	1842		木头
443	5	1843	1843		木头
444	5	1844	1844		木头
445	5	1845	1845		木头
446	5	1846	1846		木头
447	5	1847	1847		木头
448	5	1848	1848		木头
449	5	1849	1849		木头
450	5	1850	1850		木头
451	121	1851	1851		末地石
452	121	1852	1852		末地石
453	121	1853	1853		末地石
454	121	1854	1854		末地石
455	121	1855	1855		末地石
456	121	1856	1856		末地石
457	121	1857	1857		末地石
458	121	1858	1858		末地石
459	121	1859	1859		末地石
460	121	1860	1860		末地石
461	121	1861	1861		末地石
462	121	1862	1862		末地石
463	121	1863	1863		末地石
464	121	1864	1864		末地石
465	121	1865	1865		末地石
466	121	1866	1866		末地石
467	121	1867	1867		末地石
468	121	1868	1868		末地石
469	121	1869	1869		末地石
470	121	1870	1870		末地石
471	121	1871	1871		末地石
472	121	1872	1872		末地石
473	121	1873	1873		末地石
474	121	1874	1874		末地石
475	121	1875	1875		末地石
476	49	1876	1876		黑曜石
477	49	1877	1877		黑曜石
478	49	1878	1878		黑曜石
479	49	1879	1879		黑曜石
480	49	1880	1880		黑曜石
481	49	1881	1881		黑曜石
482	49	1882	1882		黑曜石
483	49	1883	1883		黑曜石
484	49	1884	1884		黑曜石
485	49	1885	1885		黑曜石
486	49	1886	1886		黑曜石
487	49	1887	1887		黑曜石
488	49	1888	1888		黑曜石
489	49	1889	1889		黑曜石
490	49	1890	1890		黑曜石
491	49	1891	1891		黑曜石
492	49	1892	1892		黑曜石
493	49	1893	1893		黑曜石
494	49	1894	1894		黑曜石
495	49	1895	1895		黑曜石
496	49	1896	1896		黑曜石
497	49	1897	1897		黑曜石
498	49	1898	1898		黑曜石
499	49	1899	1899		黑曜石
500	49	1900	1900		黑曜石
501	1441	3001	1806		羊毛装扮(红)
502	1442	3002	1806		羊毛装扮(蓝)
503	1443	3003	1806		羊毛装扮(绿)
504	1444	3004	1806		羊毛装扮(黄)
505	1445	3005	1806		羊毛装扮(青)
506	1446	3006	1806		羊毛装扮(白)
507	1447	3007	1806		羊毛装扮(粉)
508	1448	3008	1806		羊毛装扮(黑)
509	582	581	0		替身傀儡1
510	582	580	0		替身傀儡2
511	582	579	0		替身傀儡3
512	582	578	0		替身傀儡4
513	582	577	0		替身傀儡5
514	582	576	0		替身傀儡6
515	582	575	0		替身傀儡7
516	582	574	0		替身傀儡8
