商品ID	标签ID	排序权重	道具类型	道具ItemId	道具等级	等级组标识	是否跳级购买	限购数量	获得数量	数量多语言	货币Id	商品价格	道具名称	道具描述	道具图片	附魔ID	道具类型说明	备注.1	备注.2	排序权重.1
10	1	10	0	279	5	axe	0	-1	1	#	2	-1	CommodityMechant_name_1_8	CommodityMechant_desc_1_8	set:bedwar_item.json image:g1008_props_ax_4	#		工具	钻石斧(MAX)	
11	1	11	0	359	1	shears	0	-1	1	#	1	20	CommodityMechant_name_1_9	CommodityMechant_desc_1_9	set:bedwar_item.json image:g1008_props_scissors	#		工具	剪刀	
12	1	12	0	359	2	shears	0	-1	1	#	1	-1	CommodityMechant_name_1_9	CommodityMechant_desc_1_9	set:bedwar_item.json image:g1008_props_scissors	#		工具	剪刀	
13	2	13	1	307	1	clothes	1	-1	1	#	1	20	CommodityMechant_name_2_26	CommodityMechant_desc_2_26	set:bedwar_item.json image:g1008_props_coat_1	#		防具	铁甲身	
14	2	14	1	308	1	leggings	1	-1	1	#	1	10	CommodityMechant_name_2_27	CommodityMechant_desc_2_27	set:bedwar_item.json image:g1008_props_pants_1	#		防具	铁甲腿	
15	2	15	1	309	1	shoes	1	-1	1	#	1	10	CommodityMechant_name_2_28	CommodityMechant_desc_2_28	set:bedwar_item.json image:g1008_props_shoes_1	#		防具	铁甲鞋	
16	2	16	1	315	2	clothes	1	-1	1	#	2	6	CommodityMechant_name_2_29	CommodityMechant_desc_2_29	set:bedwar_item.json image:g1008_props_coat_2	#		防具	金甲身	
17	2	17	1	316	2	leggings	1	-1	1	#	2	3	CommodityMechant_name_2_30	CommodityMechant_desc_2_30	set:bedwar_item.json image:g1008_props_pants_2	#		防具	金甲腿	
18	2	18	1	317	2	shoes	1	-1	1	#	2	3	CommodityMechant_name_2_31	CommodityMechant_desc_2_31	set:bedwar_item.json image:g1008_props_shoes_2	#		防具	金甲鞋	
19	2	19	1	311	3	clothes	1	-1	1	#	4	4	CommodityMechant_name_2_32	CommodityMechant_desc_2_32	set:bedwar_item.json image:g1008_props_coat_3	#		防具	钻石甲身	
20	2	20	1	312	3	leggings	1	-1	1	#	4	2	CommodityMechant_name_2_33	CommodityMechant_desc_2_33	set:bedwar_item.json image:g1008_props_pants_3	#		防具	钻石甲腿	
21	2	21	1	313	3	shoes	1	-1	1	#	4	2	CommodityMechant_name_2_34	CommodityMechant_desc_2_34	set:bedwar_item.json image:g1008_props_shoes_3	#		防具	钻石甲鞋	
135	2	22	1	1000	0	#	0	-1	1	#	2	4	CommodityMechant_name_5_62	CommodityMechant_desc_5_62	set:bedwar_xindaoju.json image:g1008_roller_skates	#		防具	寒冰鞋	
136	2	23	1	1001	0	#	0	-1	1	#	2	13	CommodityMechant_name_5_63	CommodityMechant_desc_5_63	set:bedwar_xindaoju.json image:g1008_ninja_shoes	#		防具	忍者鞋	
22	3	24	0	267	0	#	0	-1	1	#	1	10	CommodityMechant_name_3_36	CommodityMechant_desc_3_36	set:bedwar_item.json image:g1008_props_wepaon_2	#		武器	铁剑	
23	3	25	0	283	0	#	0	-1	1	#	2	7	CommodityMechant_name_3_37	CommodityMechant_desc_3_37	set:bedwar_item.json image:g1008_props_wepaon_3	#		武器	金剑	
24	3	26	0	276	0	#	0	-1	1	#	4	5	CommodityMechant_name_3_38	CommodityMechant_desc_3_38	set:bedwar_item.json image:g1008_props_wepaon_4	#		武器	钻石剑	
137	3	27	0	346	0	#	0	-1	1	#	1	20	CommodityMechant_name_5_74	CommodityMechant_desc_5_74	set:bedwar_xindaoju.json image:g1008_props_fishhook	#		武器	鱼钩	
138	3	28	0	3576	0	#	0	-1	1	#	2	15	CommodityMechant_name_5_60	CommodityMechant_desc_5_60	set:bedwar_xindaoju.json image:g1008_dalinu	#		武器	大力弩	
139	3	29	7	3576	0	#	0	-1	1	#	2	2	CommodityMechant_name_5_61	CommodityMechant_desc_5_61	set:bedwar_xindaoju.json image:g1008_arrow	#		武器	弩箭	
25	3	30	0	261	0	#	0	-1	1	#	2	12	CommodityMechant_name_3_39	CommodityMechant_desc_3_39	set:bedwar_item.json image:g1008_props_bow_1	#		武器	普通弓	
26	3	31	0	261	0	#	0	-1	1	#	2	24	CommodityMechant_name_3_40	CommodityMechant_desc_3_40	set:bedwar_item.json image:g1008_props_bow_1	1		武器	中级弓	
27	3	32	0	261	0	#	0	-1	1	#	4	6	CommodityMechant_name_3_41	CommodityMechant_desc_3_41	set:bedwar_item.json image:g1008_props_bow_1	1#2		武器	高级弓	
28	3	33	0	262	0	#	0	-1	8	#	2	2	CommodityMechant_name_3_42	CommodityMechant_desc_3_42	set:bedwar_item.json image:g1008_props_arrow_1	#		武器	箭	
29	4	34	0	35	0	#	0	-1	16	#	1	4	CommodityMechant_name_4_43	CommodityMechant_desc_4_43	#	#		方块	羊毛	
30	4	35	0	121	0	#	0	-1	6	#	1	30	CommodityMechant_name_4_44	CommodityMechant_desc_4_44	#	#		方块	末地石	
31	4	36	0	95	0	#	0	-1	6	#	1	30	CommodityMechant_name_4_45	CommodityMechant_desc_4_45	#	#		方块	染色玻璃	
32	4	37	0	5	0	#	0	-1	16	#	2	4	CommodityMechant_name_4_46	CommodityMechant_desc_4_46	#	#		方块	橡木板	
33	4	38	0	49	0	#	0	-1	4	#	4	4	CommodityMechant_name_4_47	CommodityMechant_desc_4_47	#	#		方块	黑曜石	
34	4	39	0	65	0	#	0	-1	16	#	1	4	CommodityMechant_name_4_48	CommodityMechant_desc_4_48	#	#		方块	梯子	
35	5	40	0	506	0	#	0	-1	1	#	1	40	CommodityMechant_name_5_49	CommodityMechant_desc_5_49	set:bedwar_item.json image:g1008_props_flameBomb	#		道具	火焰弹	1
41	5	41	0	508	0	#	0	-1	1	#	2	4	CommodityMechant_name_5_55	CommodityMechant_desc_5_55	set:bedwar_item.json image:g1008_props_goldenApple	#		道具	金苹果	2
140	5	42	0	594	0	#	0	-1	1	#	2	5	CommodityMechant_name_5_65	CommodityMechant_desc_5_65	set:bedwar_xindaoju.json image:g1008_daqiaodan	#		道具	搭桥蛋（新）	3
141	5	43	0	590	0	#	0	2	1	#	2	6	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	set:bedwar_xindaoju.json image:g1008_paragliders	#		道具	滑翔伞	4
142	5	44	0	591	0	#	0	-1	1	#	1	25	CommodityMechant_name_5_68	CommodityMechant_desc_5_68	set:bedwar_xindaoju.json image:g1008_shuiqingqiu	#		道具	回溯珍珠	5
40	5	45	0	507	0	#	0	-1	1	#	2	3	CommodityMechant_name_5_54	CommodityMechant_desc_5_54	set:bedwaritem.json image:jiuyuanpingtai_big	#		道具	救援平台	6
143	5	46	0	582	0	#	0	-1	1	#	1	40	CommodityMechant_name_5_73	CommodityMechant_desc_5_73	set:bedwar_xindaoju.json image:g1008_camouflage_double_rainbow	#		道具	替身傀儡	7
144	5	47	0	583	0	#	0	-1	1	#	1	20	CommodityMechant_name_5_72	CommodityMechant_desc_5_72	set:bedwar_xindaoju.json image:g1008_radar	#		道具	报警器	8
145	5	48	0	585	0	#	0	-1	1	#	1	20	CommodityMechant_name_5_70	CommodityMechant_desc_5_70	set:bedwar_xindaoju.json image:g1008_diamond_mines	#		道具	伪装地雷	9
146	5	49	0	584	0	#	0	-1	1	#	1	20	CommodityMechant_name_5_71	CommodityMechant_desc_5_71	set:bedwar_xindaoju.json image:g1008_traps	#		道具	冰冻夹子	10
39	5	50	0	2418	0	#	0	-1	1	#	1	10	CommodityMechant_name_5_53	CommodityMechant_desc_5_53	set:bedwaritem.json image:wall	#		道具	保护墙	11
38	5	51	0	2417	0	#	0	1	1	#	1	24	CommodityMechant_name_5_52	CommodityMechant_desc_5_52	set:bedwaritem.json image:tower	#		道具	防御塔	12
36	5	52	0	326	0	#	0	-1	1	#	2	8	CommodityMechant_name_5_50	CommodityMechant_desc_5_50	set:bedwar_item.json image:g1008_props_bucket	#		道具	水桶	13
147	5	53	0	595	0	#	0	-1	3	#	1	10	CommodityMechant_name_5_64	CommodityMechant_desc_5_64	set:bedwar_xindaoju.json image:g1008_shuiqiu	#		道具	水球	14
42	5	54	0	19	0	#	0	-1	4	#	1	20	CommodityMechant_name_5_56	CommodityMechant_desc_5_56	#	#		道具	海绵	15
148	5	55	0	593	0	#	0	1	1	#	4	10	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	set:bedwar_xindaoju.json image:g1008_dragon_knight	#		道具	末影龙卷轴	16
37	5	56	0	46	0	#	0	-1	1	#	4	3	CommodityMechant_name_5_51	CommodityMechant_desc_5_51	set:bedwaritem.json image:TNT	#		道具	TNT	17
43	5	57	0	514	0	#	0	-1	1	#	4	1	CommodityMechant_name_5_57	CommodityMechant_desc_5_57	set:bedwar_item.json image:g1008_props_jumpPotion	#		道具	跳跃药水	18
44	5	58	0	512	0	#	0	-1	1	#	4	2	CommodityMechant_name_5_58	CommodityMechant_desc_5_58	set:bedwar_item.json image:g1008_props_fadePotion	#		道具	隐身药水	19
45	5	59	0	519	0	#	0	-1	1	#	4	1	CommodityMechant_name_5_59	CommodityMechant_desc_5_59	set:bedwar_item.json image:g1008_props_quickPotion	#		道具	加速药水	20
46	6	60	2	1001	1	kuang	0	-1	1	#	3	4	LevelUpMerchant_name_1001_1	LevelUpMerchant_desc_1001_1	set:bedwar_item.json image:g1008_props_forge_1	#		铁锻炉Lv.2	LevelUpMerchant_name_1001_1=铁锻炉Lv.2	
47	6	61	2	1001	2	kuang	0	-1	1	#	3	8	LevelUpMerchant_name_1001_2	LevelUpMerchant_desc_1001_2	set:bedwar_item.json image:g1008_props_forge_2	#		铁锻炉Lv.3	LevelUpMerchant_name_1001_2=铁锻炉Lv.3	
48	6	62	2	1001	3	kuang	0	-1	1	#	3	12	LevelUpMerchant_name_1001_3	LevelUpMerchant_desc_1001_3	set:bedwar_item.json image:g1008_props_forge_3	#		铁锻炉Lv.4	LevelUpMerchant_name_1001_3=铁锻炉Lv.4	
49	6	63	2	1001	4	kuang	0	-1	1	#	3	16	LevelUpMerchant_name_1001_4	LevelUpMerchant_desc_1001_4	set:bedwar_item.json image:g1008_props_forge_4	#		铁锻炉Lv.5	LevelUpMerchant_name_1001_4=铁锻炉Lv.5	
50	6	64	2	1001	5	kuang	0	-1	1	#	3	-1	LevelUpMerchant_name_1001_5	LevelUpMerchant_desc_1001_5	set:bedwar_item.json image:g1008_props_forge_4	#		铁锻炉Max	LevelUpMerchant_name_1001_5=铁锻炉(MAX)	
51	6	65	2	1002	1	fm_tool	0	-1	1	#	3	2	LevelUpMerchant_name_1002_1	LevelUpMerchant_desc_1002_1	set:bedwar_item.json image:g1008_props_urgent_1	#		附魔急迫Lv.1	LevelUpMerchant_name_1002_1=附魔急迫Lv.1	
52	6	66	2	1002	2	fm_tool	0	-1	1	#	3	4	LevelUpMerchant_name_1002_2	LevelUpMerchant_desc_1002_2	set:bedwar_item.json image:g1008_props_urgent_2	#		附魔急迫Lv.2	LevelUpMerchant_name_1002_2=附魔急迫Lv.2	
53	6	67	2	1002	3	fm_tool	0	-1	1	#	3	6	LevelUpMerchant_name_1002_3	LevelUpMerchant_desc_1002_3	set:bedwar_item.json image:g1008_props_urgent_3	#		附魔急迫Lv.3	LevelUpMerchant_name_1002_3=附魔急迫Lv.3	
54	6	68	2	1002	4	fm_tool	0	-1	1	#	3	8	LevelUpMerchant_name_1002_4	LevelUpMerchant_desc_1002_4	set:bedwar_item.json image:g1008_props_urgent_4	#		附魔急迫Lv.4	LevelUpMerchant_name_1002_4=附魔急迫Lv.4	
55	6	69	2	1002	5	fm_tool	0	-1	1	#	3	-1	LevelUpMerchant_name_1002_5	LevelUpMerchant_desc_1002_5	set:bedwar_item.json image:g1008_props_urgent_4	#		附魔急迫Max	LevelUpMerchant_name_1002_5=附魔急迫(MAX)	
56	6	70	2	1003	1	fm_eq	0	-1	1	#	3	5	LevelUpMerchant_name_1003_1	LevelUpMerchant_desc_1003_1	set:bedwar_item.json image:g1008_props_protection_1	#		附魔保护Lv.1	LevelUpMerchant_name_1003_1=附魔保护Lv.1	
57	6	71	2	1003	2	fm_eq	0	-1	1	#	3	10	LevelUpMerchant_name_1003_2	LevelUpMerchant_desc_1003_2	set:bedwar_item.json image:g1008_props_protection_2	#		附魔保护Lv.2	LevelUpMerchant_name_1003_2=附魔保护Lv.2	
58	6	72	2	1003	3	fm_eq	0	-1	1	#	3	20	LevelUpMerchant_name_1003_3	LevelUpMerchant_desc_1003_3	set:bedwar_item.json image:g1008_props_protection_3	#		附魔保护Lv.3	LevelUpMerchant_name_1003_3=附魔保护Lv.3	
59	6	73	2	1003	4	fm_eq	0	-1	1	#	3	30	LevelUpMerchant_name_1003_4	LevelUpMerchant_desc_1003_4	set:bedwar_item.json image:g1008_props_protection_4	#		附魔保护Lv.4	LevelUpMerchant_name_1003_4=附魔保护Lv.4	
60	6	74	2	1003	5	fm_eq	0	-1	1	#	3	-1	LevelUpMerchant_name_1003_5	LevelUpMerchant_desc_1003_5	set:bedwar_item.json image:g1008_props_protection_4	#		附魔保护Max	LevelUpMerchant_name_1003_5=附魔保护(MAX)	
61	6	75	2	1004	1	fm_sword	0	-1	1	#	3	6	LevelUpMerchant_name_1004_1	LevelUpMerchant_desc_1004_1	set:bedwar_item.json image:g1008_props_sharp_1	#		附魔锋利Lv.1	LevelUpMerchant_name_1004_1=附魔锋利Lv.1	
62	6	76	2	1004	2	fm_sword	0	-1	1	#	3	12	LevelUpMerchant_name_1004_2	LevelUpMerchant_desc_1004_2	set:bedwar_item.json image:g1008_props_sharp_2	#		附魔锋利Lv.2	LevelUpMerchant_name_1004_2=附魔锋利Lv.2	
63	6	77	2	1004	3	fm_sword	0	-1	1	#	3	24	LevelUpMerchant_name_1004_3	LevelUpMerchant_desc_1004_3	set:bedwar_item.json image:g1008_props_sharp_3	#		附魔锋利Lv.3	LevelUpMerchant_name_1004_3=附魔锋利Lv.3	
64	6	78	2	1004	4	fm_sword	0	-1	1	#	3	48	LevelUpMerchant_name_1004_4	LevelUpMerchant_desc_1004_4	set:bedwar_item.json image:g1008_props_sharp_4	#		附魔锋利Lv.4	LevelUpMerchant_name_1004_4=附魔锋利Lv.4	
65	6	79	2	1004	5	fm_sword	0	-1	1	#	3	-1	LevelUpMerchant_name_1004_5	LevelUpMerchant_desc_1004_5	set:bedwar_item.json image:g1008_props_sharp_4	#		附魔锋利Max	LevelUpMerchant_name_1004_5=附魔锋利(MAX)	
66	6	80	2	1005	1	hp	0	-1	1	#	3	1	LevelUpMerchant_name_1005_0	LevelUpMerchant_desc_1005_0	set:bedwar_item.json image:g1008_props_spa_1	#		温泉Lv.1	LevelUpMerchant_name_1005_0=温泉Lv.1	
67	6	81	2	1005	2	hp	0	-1	1	#	3	2	LevelUpMerchant_name_1005_1	LevelUpMerchant_desc_1005_1	set:bedwar_item.json image:g1008_props_spa_2	#		温泉Lv.2	LevelUpMerchant_name_1005_1=温泉Lv.2	
68	6	82	2	1005	3	hp	0	-1	1	#	3	3	LevelUpMerchant_name_1005_2	LevelUpMerchant_desc_1005_2	set:bedwar_item.json image:g1008_props_spa_3	#		温泉Lv.3	LevelUpMerchant_name_1005_2=温泉Lv.3	
69	6	83	2	1005	4	hp	0	-1	1	#	3	4	LevelUpMerchant_name_1005_3	LevelUpMerchant_desc_1005_3	set:bedwar_item.json image:g1008_props_spa_4	#		温泉Lv.4	LevelUpMerchant_name_1005_3=温泉Lv.4	
70	6	84	2	1005	5	hp	0	-1	1	#	3	-1	LevelUpMerchant_name_1005_4	LevelUpMerchant_desc_1005_4	set:bedwar_item.json image:g1008_props_spa_4	#		温泉Max	LevelUpMerchant_name_1005_4=温泉(MAX)	
71	7	85	8	266	0	#	0	-1	12	#	5	3	ShopConfig_name_1	ShopConfig_desc_1	set:bedwar_item.json image:g1008_props_gold	#		金锭	立刻获得12个金锭	
72	7	86	8	265	0	#	0	-1	40	#	5	2	ShopConfig_name_2	ShopConfig_desc_2	set:bedwar_item.json image:g1008_props_iron	#		铁锭	立刻获得40个铁锭	
149	7	87	8	590	0	#	0	-1	1	#	5	3	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	set:bedwar_xindaoju.json image:g1008_paragliders	#		道具	滑翔伞	
150	7	88	8	593	0	#	0	-1	1	#	5	30	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	set:bedwar_xindaoju.json image:g1008_dragon_knight	#		道具	末影龙卷轴	
73	7	89	8	369	0	#	0	-1	1	#	5	8	ShopConfig_name_3	ShopConfig_desc_3	set:bedwar_item.json image:g1008_props_stick	5		击退棒	附魔击退Ⅱ，可以把敌人打得更远	
74	7	90	8	49	0	#	0	-1	5	#	5	5	ShopConfig_name_4	ShopConfig_desc_4	set:bedwaritem.json image:heiyaoshi	#		黑曜石	立刻获得5个黑曜石	
75	7	91	8	46	0	#	0	-1	3	#	5	15	ShopConfig_name_5	ShopConfig_desc_5	set:bedwaritem.json image:TNT	#		TNT	立刻获得3个TNT	
76	7	92	8	368	0	#	0	-1	5	#	5	4	ShopConfig_name_6	ShopConfig_desc_6	set:bedwar_item.json image:g1008_props_pearl	#		闪现珍珠	立刻获得5个闪现珍珠	
77	7	93	8	467	0	#	0	-1	2	#	5	3	ShopConfig_name_7	ShopConfig_desc_7	set:bedwar_item.json image:g1008_props_bridgeEgg	#		搭桥蛋	立刻获得2个搭桥蛋	
78	9	94	3	101	0	#	0	-1	1	12h	5	20	ShopConfig_name_8	ShopConfig_desc_8	set:bedwaritem.json image:tequan_daoju	#		道具特权	在道具商店中购买道具会买一送一	
79	9	95	3	102	0	#	0	-1	1	12h	5	6	ShopConfig_name_9	ShopConfig_desc_9	set:bedwaritem.json image:tequan_hp	#		生命值强化	最大生命值+5	
80	9	96	3	103	0	#	0	-1	1	12h	5	15	ShopConfig_name_10	ShopConfig_desc_10	set:bedwaritem.json image:tequan_jinding	#		金锭增长	每10秒获得1个金锭	
81	9	97	3	104	0	#	0	-1	1	12h	5	18	ShopConfig_name_11	ShopConfig_desc_11	set:bedwaritem.json image:fm_sword_fire	#		火焰附魔	本局游戏中，你的剑会获得火焰附魔	
82	9	98	3	105	0	#	0	-1	1	12h	5	10	ShopConfig_name_12	ShopConfig_desc_12	set:bedwar_item.json image:g1008_props_resurrection	#		快速复活	每次死亡的时候可以选择立刻复活	
83	1000	99	1	315	2.5	clothes	1	-1	1	#	3	1000	CommodityMechant_name_2_29	CommodityMechant_desc_2_29	set:bedwar_item.json image:g1008_props_coat_2	3#4		防具	金甲身(火焰保护，防摔)	
84	1000	100	1	316	2.5	leggings	1	-1	1	#	3	1000	CommodityMechant_name_2_30	CommodityMechant_desc_2_30	set:bedwar_item.json image:g1008_props_pants_2	3#4		防具	金甲腿(火焰保护，防摔)	
85	1000	101	1	317	2.5	shoes	1	-1	1	#	3	1000	CommodityMechant_name_2_31	CommodityMechant_desc_2_31	set:bedwar_item.json image:g1008_props_shoes_2	3#4		防具	金甲鞋(火焰保护，防摔)	
86	1000	102	1	311	3.5	clothes	1	-1	1	#	3	1000	CommodityMechant_name_2_32	CommodityMechant_desc_2_32	set:bedwar_item.json image:g1008_props_coat_3	3#4		防具	钻石甲身(火焰保护，防摔)	
87	1000	103	1	312	3.5	leggings	1	-1	1	#	3	1000	CommodityMechant_name_2_33	CommodityMechant_desc_2_33	set:bedwar_item.json image:g1008_props_pants_3	3#4		防具	钻石甲腿(火焰保护，防摔)	
88	1000	104	1	313	3.5	shoes	1	-1	1	#	3	1000	CommodityMechant_name_2_34	CommodityMechant_desc_2_34	set:bedwar_item.json image:g1008_props_shoes_3	3#4		防具	钻石甲鞋(火焰保护，防摔)	
89	1000	105	0	283	0	#	0	-1	1	#	3	1000	CommodityMechant_name_3_36	CommodityMechant_desc_3_36	set:bedwar_item.json image:g1008_props_wepaon_3	5#6		武器	金剑(火焰，击退)	
90	1000	106	0	276	0	#	0	-1	1	#	3	1000	CommodityMechant_name_3_37	CommodityMechant_desc_3_37	set:bedwar_item.json image:g1008_props_wepaon_4	5#6		武器	钻石剑(火焰，击退)	
91	8	107	4	0	0	#	0	-1	20	#	5	10	ShopConfig_name_13	ShopConfig_desc_13	set:tequan.json image:key_daoju	#		钥匙		
92	8	108	4	0	0	#	0	-1	100	#	5	50	ShopConfig_name_14	ShopConfig_desc_14	set:tequan.json image:key_daoju	#		钥匙		
93	8	109	4	0	0	#	0	-1	200	#	5	100	ShopConfig_name_15	ShopConfig_desc_15	set:tequan.json image:key_daoju	#		钥匙		
94	8	110	4	0	0	#	0	-1	500	#	5	250	ShopConfig_name_16	ShopConfig_desc_16	set:tequan.json image:key_daoju	#		钥匙		
95	8	111	4	0	0	#	0	-1	1000	#	5	500	ShopConfig_name_17	ShopConfig_desc_17	set:tequan.json image:key_daoju	#		钥匙		
96	8	112	4	0	0	#	0	-1	2000	#	5	1000	ShopConfig_name_18	ShopConfig_desc_18	set:tequan.json image:key_daoju	#		钥匙		
97	8	113	4	0	0	#	0	-1	4000	#	5	2000	ShopConfig_name_19	ShopConfig_desc_19	set:tequan.json image:key_daoju	#		钥匙		
98	8	114	4	0	0	#	0	-1	10000	#	5	5000	ShopConfig_name_20	ShopConfig_desc_20	set:tequan.json image:key_daoju	#		钥匙		
99	1000	115	0	506	0	#	0	-1	1	#	1	40	CommodityMechant_name_5_49	CommodityMechant_desc_5_49	set:bedwar_item.json image:g1008_props_flameBomb	#		道具	火焰弹	
100	1000	116	0	326	0	#	0	-1	1	#	2	8	CommodityMechant_name_5_50	CommodityMechant_desc_5_50	set:bedwar_item.json image:g1008_props_bucket	#		道具	水桶	
101	1000	117	0	46	0	#	0	-1	1	#	4	3	CommodityMechant_name_5_51	CommodityMechant_desc_5_51	set:bedwaritem.json image:TNT	#		道具	TNT	
102	1000	118	0	2417	0	#	0	1	1	#	1	24	CommodityMechant_name_5_52	CommodityMechant_desc_5_52	set:bedwaritem.json image:tower	#		道具	防御塔	
103	1000	119	0	2418	0	#	0	-1	1	#	1	10	CommodityMechant_name_5_53	CommodityMechant_desc_5_53	set:bedwaritem.json image:wall	#		道具	保护墙	
104	1000	120	0	507	0	#	0	-1	1	#	2	3	CommodityMechant_name_5_54	CommodityMechant_desc_5_54	set:bedwaritem.json image:jiuyuanpingtai_big	#		道具	救援平台	
105	1000	121	0	508	0	#	0	-1	1	#	2	3	CommodityMechant_name_5_55	CommodityMechant_desc_5_55	set:bedwar_item.json image:g1008_props_goldenApple	#		道具	金苹果	
106	1000	122	0	19	0	#	0	-1	4	#	1	20	CommodityMechant_name_5_56	CommodityMechant_desc_5_56	#	#		道具	海绵	
107	1000	123	0	514	0	#	0	-1	1	#	4	1	CommodityMechant_name_5_57	CommodityMechant_desc_5_57	set:bedwar_item.json image:g1008_props_jumpPotion	#		道具	跳跃药水	
108	1000	124	0	512	0	#	0	-1	1	#	4	2	CommodityMechant_name_5_58	CommodityMechant_desc_5_58	set:bedwar_item.json image:g1008_props_fadePotion	#		道具	隐身药水	
109	1000	125	0	519	0	#	0	-1	1	#	4	1	CommodityMechant_name_5_59	CommodityMechant_desc_5_59	set:bedwar_item.json image:g1008_props_quickPotion	#		道具	加速药水	
110	1000	126	3	104	0	#	0	-1	1	12h	5	18	ShopConfig_name_11	ShopConfig_desc_11	set:bedwaritem.json image:fm_sword_fire	#		火焰附魔	本局游戏中，你的剑会获得火焰附魔	
111	1000	127	0	369	0	#	0	-1	1	#	5	8	ShopConfig_name_3	ShopConfig_desc_3	set:bedwar_item.json image:g1008_props_stick	5		击退棒	附魔击退Ⅱ，可以把敌人打得更远	
112	1000	128	0	261	0	#	0	-1	1	#	4	6	CommodityMechant_name_3_41	CommodityMechant_desc_3_41	set:bedwar_item.json image:g1008_props_bow_1	1#2		武器	高级弓	
113	1000	129	0	49	0	#	0	-1	4	#	4	4	CommodityMechant_name_4_47	CommodityMechant_desc_4_47	#	#		方块	黑曜石	
114	1000	130	0	359	1	shears	0	-1	1	#	1	20	CommodityMechant_name_1_9	CommodityMechant_desc_1_9	set:bedwar_item.json image:g1008_props_scissors	#		工具	剪刀	
115	1000	131	0	262	0	#	0	-1	8	#	2	2	CommodityMechant_name_3_42	CommodityMechant_desc_3_42	set:bedwar_item.json image:g1008_props_arrow_1	#		武器	箭	
116	1000	132	0	266	0	#	0	-1	12	#	5	3	ShopConfig_name_1	ShopConfig_desc_1	set:bedwar_item.json image:g1008_props_gold	#		金锭	立刻获得12个金锭	
117	1000	133	0	467	0	#	0	-1	2	#	5	3	ShopConfig_name_7	ShopConfig_desc_7	set:bedwar_item.json image:g1008_props_bridgeEgg	#		搭桥蛋	立刻获得2个搭桥蛋	
118	1000	134	0	46	0	#	0	-1	3	#	5	15	ShopConfig_name_5	ShopConfig_desc_5	set:bedwaritem.json image:TNT	#		TNT	立刻获得3个TNT	
119	1000	135	0	265	0	#	0	-1	40	#	5	2	ShopConfig_name_2	ShopConfig_desc_2	set:bedwar_item.json image:g1008_props_iron	#		铁锭	立刻获得40个铁锭	
120	1000	136	0	368	0	#	0	-1	5	#	5	4	ShopConfig_name_6	ShopConfig_desc_6	set:bedwar_item.json image:g1008_props_pearl	#		闪现珍珠	立刻获得5个闪现珍珠	
121	1000	137	3	103	0	#	0	-1	1	12h	5	15	ShopConfig_name_10	ShopConfig_desc_10	set:bedwaritem.json image:tequan_jinding	#		金锭增长	每10秒获得1个金锭	
122	1000	138	3	105	0	#	0	-1	1	12h	5	10	ShopConfig_name_12	ShopConfig_desc_12	set:bedwar_item.json image:g1008_props_resurrection	#		快速复活	每次死亡的时候可以选择立刻复活	
