序号	物品id	最大堆叠数	Unnamed: 3
286	95	9999	染色玻璃
287	5	9999	橡木板
288	49	9999	黑曜石
289	65	9999	梯子
290	506	9999	火焰弹
291	508	9999	金苹果
292	594	9999	搭桥蛋（新）
293	591	9999	回溯珍珠
294	507	9999	救援平台
295	583	9999	报警器
296	585	9999	伪装地雷
297	584	9999	冰冻夹子
298	2418	9999	保护墙
299	2417	9999	防御塔
300	595	9999	水球
301	19	9999	海绵
302	46	9999	TNT
