配置ID	模型名字	相对玩家的位置	玩家模型动作	UI上播的动作	UI显示的位置	UI显示的位置 , 分包主界面	缩放倍数分包主界面	击杀播报挂件	嘲讽时间	缩放倍数	Unnamed: 11	Unnamed: 12
3017	g1008_pet_17.actor	0.5,1.8,-0.75	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_17	8000	1.4	小恶魔	第二赛季通行证付费
3018	g1008_pet_18.actor	0.5,1.8,-0.75	taunt_03	taunt	0.9,-1	0.71,0	0.8	set:pet_headshot.json image:g1008_icon_petFace_18	8000	1.4	驯鹿	第五赛季通行证付费
3019	g1008_pet_19.actor	0.5,1.7,-0.75	taunt_03	taunt	0.9,-1	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_19	8000	1.4	雷龙	第四赛季通行证付费
3020	g1008_pet_20.actor	1,2.2,-1.1	taunt_03	taunt2	1.1,-1.5	-0.75,-1.6	0.68	set:pet_headshot.json image:g1008_icon_petFace_20	8000	0.1	末影龙	
3021	g1008_pet_21.actor	0.5,1.7,-0.75	taunt_03	taunt	0.9,-1	-0.75,-1.6	0.68	set:pet_headshot.json image:g1008_icon_petFace_19	15000	1.4	雪人	第六赛季通行证付费
3022	g1008_pet_22.actor	0.5,1.7,-0.75	taunt_03	taunt	0.9,-0.8	-0.75,-1.4	0.68	set:pet_headshot.json image:g1008_icon_petFace_19	8000	0.55	人鱼公主	第七赛季通行证付费
3023	g1008_pet_23.actor	0.5,2.0,-0.75	taunt_03	taunt	0.9,-1	0.71,0	0.8	set:pet_headshot.json image:g1008_icon_petFace_19	12000	0.5	摇滚兔	第八赛季通行证付费
3024	g1008_pet_24.actor	0.6,1.8,-1.1	taunt_03	taunt	0.9,-1	0.71,0	0.8	set:pet_headshot.json image:g1008_icon_petFace_19	15000	0.6	火狐	第九赛季通行证付费
3025	g1008_pet_25.actor	0.5,1.4,-2.3	taunt_03	taunt	0.9,-1	-0.75,-1.2	0.68	set:pet_headshot.json image:g1008_icon_petFace_19	8000	1.4	精灵龙	
3026	g1008_pet_26.actor	0.6,1.8,-1.1	taunt_03	taunt	0.9,-1	0.71,0	0.8	set:pet_headshot.json image:g1008_icon_petFace_19	8000	0.6	鸵鸟	
3027	g1008_pet_27.actor	0.6,2,-1.1	taunt_03	taunt	0.9,-1	-0.75,-1.5	0.68	set:pet_headshot.json image:g1008_icon_petFace_19	8000	0.75	机械龙	
3028	g1008_pet_28.actor	0.6,2,-1.1	taunt_03	taunt	0.9,-1	0.71,0	0.8	set:pet_headshot.json image:g1008_icon_petFace_19	8000	1	烈焰猪	
