index	mapId	teamId	温泉切片	温泉切片坐标X	温泉起点X	温泉终点X	Unnamed: 7	Unnamed: 8
25	7	1	maptiankong_wenquan_red.schematic	493,61,415	492,61,414	501,63,426	红队	圣殿
26	7	2	maptiankong_wenquan_blue.schematic	539,61,464	539,61,463	550,63,472	蓝队	圣殿
27	7	3	maptiankong_wenquan_green.schematic	539,61,500	539,61,499	550,63,472	绿队	圣殿
28	7	4	maptiankong_wenquan_yellow.schematic	493,61,546	492,61,545	501,63,557	黄队	圣殿
29	7	5	maptiankong_wenquan_cyan.schematic	457,61,546	456,61,545	465,63,557	青队	圣殿
30	7	6	maptiankong_wenquan_white.schematic	408,61,500	407,61,499	419,63,508	白队	圣殿
31	7	7	maptiankong_wenquan_pink.schematic	408,61,464	407,61,463	419,53,472	粉队	圣殿
32	7	8	maptiankong_wenquan_gray.schematic	457,61,415	456,61,414	465,53,425	黑队	圣殿
33	8	1	mapqiqiu_wenquan_red.schematic	112,62,423	112,62,422	120,64,431	红队	气球
34	8	2	mapqiqiu_wenquan_blue.schematic	163,62,473	162,62,473	171,64,481	蓝队	气球
35	8	3	mapqiqiu_wenquan_green.schematic	163,62,512	162,62,512	171,64,521	绿队	气球
36	8	4	mapqiqiu_wenquan_yellow.schematic	112,62,563	112,62,563	121,64,571	黄队	气球
37	8	5	mapqiqiu_wenquan_cyan.schematic	73,62,563	73,62,562	81,64,571	青队	气球
38	8	6	mapqiqiu_wenquan_white.schematic	23,62,512	22,62,512	31,64,520	白队	气球
39	8	7	mapqiqiu_wenquan_pink.schematic	23,62,473	22,62,473	31,64,481	粉队	气球
40	8	8	mapqiqiu_wenquan_gray.schematic	73,62,423	73,62,422	81,64,431	黑队	气球
41	9	1	mapjinling_wenquan_red.schematic	807,100,448	807,100,448	817,102,455	红队	精灵
42	9	2	mapjinling_wenquan_blue.schematic	847,100,408	847,100,408	854,102,418	蓝队	精灵
43	9	3	mapjinling_wenquan_green.schematic	895,100,408	895,100,408	902,102,418	绿队	精灵
44	9	4	mapjinling_wenquan_yellow.schematic	932,100,448	932,100,448	942,102,455	黄队	精灵
45	9	5	mapjinling_wenquan_cyan.schematic	932,100,496	932,100,496	942,102,502	青队	精灵
46	9	6	mapjinling_wenquan_white.schematic	895,100,533	895,100,533	902,102,543	白队	精灵
47	9	7	mapjinling_wenquan_pink.schematic	847,100,533	847,100,532	854,102,543	粉队	精灵
48	9	8	mapjinling_wenquan_gray.schematic	807,100,496	807,100,496	817,102,503	黑队	精灵
49	10	1	g1008_8shengdan_red.schematic	1295,83,409	1294,82,403	1301,87,413	红队	8队圣诞节
50	10	2	g1008_8shengdan_blue.schematic	1344,83,495	1342,82,454	1352,87,461	蓝队	8队圣诞节
51	10	3	g1008_8shengdan_green.schematic	1344,83,455	1342,82,494	1352,87,501	绿队	8队圣诞节
52	10	4	g1008_8shengdan_yellow.schematic	1295,83,544	1294,82,542	1301,87,552	黄队	8队圣诞节
53	10	5	g1008_8shengdan_cyan.schematic	1255,83,544	1254,82,542	1261,87,552	青队	8队圣诞节
54	10	6	g1008_8shengdan_white.schematic	1209,83,495	1203,82,494	1213,87,501	白队	8队圣诞节
55	10	7	g1008_8shengdan_pink.schematic	1209,83,455	1203,82,454	1213,87,461	粉队	8队圣诞节
56	10	8	g1008_8shengdan_gray.schematic	1255,83,409	1254,82,403	1261,87,413	黑队	8队圣诞节
57	11	1	maptaikong_wenquan_red.schematic	3408,80,30	3408,80,30	3415,81,37	红队	太空
58	11	2	maptaikong_wenquan_blue.schematic	3408,80,186	3408,80,186	3415,81,193	蓝队	太空
59	11	3	maptaikong_wenquan_green.schematic	3330,80,108	3330,80,108	3337,81,115	绿队	太空
60	11	4	maptaikong_wenquan_yellow.schematic	3486,80,108	3486,80,108	3493,81,115	黄队	太空
61	12	1	maptaikong_wenquan_red.schematic	3969,81,7	3969,81,7	3976,82,14	红队	风车
62	12	2	maptaikong_wenquan_blue.schematic	3969,81,131	3969,81,131	3976,82,138	蓝队	风车
63	12	3	maptaikong_wenquan_green.schematic	3907,81,69	3907,81,69	3914,82,76	绿队	风车
64	12	4	maptaikong_wenquan_yellow.schematic	4031,81,69	4031,81,69	4038,82,76	黄队	风车
65	13	1	mapchengbao_wenquan_red.schematic	4604,82,15	4604,82,15	4611,83,20	红队	城堡
66	13	2	mapchengbao_wenquan_blue.schematic	4604,82,195	4604,82,195	4611,83,200	蓝队	城堡
67	13	3	mapchengbao_wenquan_green.schematic	4515,82,104	4515,82,104	4520,83,111	绿队	城堡
68	13	4	mapchengbao_wenquan_yellow.schematic	4695,82,104	4695,82,104	4700,83,111	黄队	城堡
69	14	1	maptaikong_wenquan_red.schematic	5083,82,4	5083,82,4	5090,83,11	红队	儿童节
70	14	2	maptaikong_wenquan_blue.schematic	5083,82,162	5083,82,162	5090,83,169	蓝队	儿童节
71	14	3	maptaikong_wenquan_green.schematic	5004,82,83	5004,82,83	5011,83,90	绿队	儿童节
72	14	4	maptaikong_wenquan_yellow.schematic	5162,82,83	5162,82,83	5169,83,90	黄队	儿童节
