id不知道干嘛用	岛屿等级	最小分数	最大分数	Unnamed: 4	辅助计算
96	96	10341096.1	10496044		
97	97	10496044.1	10676426		
98	98	10676426.1	10856808		
99	99	10856808.1	11011756		
100	100	11011756.1	11192138		
101	101	11192138.1	11372520		
102	102	11372520.1	11527469		
103	103	11527469.1	11707850		
104	104	11707850.1	11888232		
105	105	11888232.1	12043181		
106	106	12043181.1	12223563		
107	107	12223563.1	12403945		
108	108	12403945.1	12558893		
109	109	12558893.1	12739275		
110	110	12739275.1	12919657		
111	111	12919657.1	13074605		
112	112	13074605.1	13254987		
113	113	13254987.1	13435369		
114	114	13435369.1	13590317		
115	115	13590317.1	13770699		
116	116	13770699.1	13951081		
117	117	13951081.1	14106029		
118	118	14106029.1	14286411		
119	119	14286411.1	14466793		
120	120	14466793.1	14621741		
121	121	14621741.1	14802123		
122	122	14802123.1	14982505		
123	123	14982505.1	15137453		
124	124	15137453.1	15317835		
125	125	15317835.1	15498217		
126	126	15498217.1	15653165		
127	127	15653165.1	15833547		
128	128	15833547.1	16013929		
129	129	16013929.1	16168878		
130	130	16168878.1	16349260		
131	131	16349260.1	16529641		
132	132	16529641.1	16684590		
133	133	16684590.1	16864972		
134	134	16864972.1	17045354		
135	135	17045354.1	17200302		
136	136	17200302.1	17380684		
137	137	17380684.1	17561066		
138	138	17561066.1	17716014		
139	139	17716014.1	17896396		
140	140	17896396.1	18076778		
141	141	18076778.1	18231726		
142	142	18231726.1	18412108		
143	143	18412108.1	18592490		
144	144	18592490.1	18747438		
145	145	18747438.1	18927820		
146	146	18927820.1	19108202		
147	147	19108202.1	19263150		
148	148	19263150.1	19443532		
149	149	19443532.1	19623914		
150	150	19623914.1	19778862		
151	151	19778862.1	19959244		
152	152	19959244.1	20139626		
153	153	20139626.1	20294575		
154	154	20294575.1	20474956		
155	155	20474956.1	20655338		
156	156	20655338.1	20810287		
157	157	20810287.1	20990669		
158	158	20990669.1	21171050		
159	159	21171050.1	21325999		
160	160	21325999.1	21506381		
161	161	21506381.1	21686763		
162	162	21686763.1	21841711		
163	163	21841711.1	22022093		
164	164	22022093.1	22202475		
165	165	22202475.1	22357423		
166	166	22357423.1	22537805		
167	167	22537805.1	22718187		
168	168	22718187.1	22873135		
169	169	22873135.1	23053517		
170	170	23053517.1	23233899		
171	171	23233899.1	23388847		
172	172	23388847.1	23569229		
173	173	23569229.1	23749611		
174	174	23749611.1	23904559		
175	175	23904559.1	24084941		
176	176	24084941.1	24265323		
177	177	24265323.1	24420271		
178	178	24420271.1	24600653		
179	179	24600653.1	24781035		
180	180	24781035.1	24935984		
181	181	24935984.1	25116365		
182	182	25116365.1	25296747		
183	183	25296747.1	25451696		
184	184	25451696.1	25632078		
185	185	25632078.1	25812459		
186	186	25812459.1	25967408		
187	187	25967408.1	26147790		
188	188	26147790.1	26328172		
189	189	26328172.1	26483120		
190	190	26483120.1	26663502		
191	191	26663502.1	26843884		
192	192	26843884.1	26998832		
193	193	26998832.1	27179214		
194	194	27179214.1	27359596		
195	195	27359596.1	27514544		
196	196	27514544.1	27694926		
197	197	27694926.1	27875308		
198	198	27875308.1	28030256		
199	199	28030256.1	28210638		
200	200	28210638.1	28391020		
201	201	28391020.1	28545968		
202	202	28545968.1	28726350		
203	203	28726350.1	28906732		
204	204	28906732.1	29061680		
205	205	29061680.1	29242062		
206	206	29242062.1	29422444		
207	207	29422444.1	29577393		
208	208	29577393.1	29757774		
209	209	29757774.1	29938156		
210	210	29938156.1	30093105		
211	211	30093105.1	30273487		
212	212	30273487.1	30453869		
213	213	30453869.1	30608817		
214	214	30608817.1	30789199		
215	215	30789199.1	30969581		
216	216	30969581.1	31124529		
217	217	31124529.1	31304911		
218	218	31304911.1	31485293		
219	219	31485293.1	31640241		
220	220	31640241.1	31820623		
221	221	31820623.1	32001005		
222	222	32001005.1	32155953		
223	223	32155953.1	32336335		
224	224	32336335.1	32516717		
225	225	32516717.1	32671665		
226	226	32671665.1	32852047		
227	227	32852047.1	33032429		
228	228	33032429.1	33187377		
229	229	33187377.1	33367759		
230	230	33367759.1	33548141		
231	231	33548141.1	33703089		
232	232	33703089.1	33883471		
233	233	33883471.1	34063853		
234	234	34063853.1	34218802		
235	235	34218802.1	34399184		
236	236	34399184.1	34579565		
237	237	34579565.1	34734514		
238	238	34734514.1	34914896		
239	239	34914896.1	35095278		
240	240	35095278.1	35250226		
241	241	35250226.1	35430608		
242	242	35430608.1	35610990		
243	243	35610990.1	35765938		
244	244	35765938.1	35946320		
245	245	35946320.1	36126702		
246	246	36126702.1	36281650		
247	247	36281650.1	36462032		
248	248	36462032.1	36642414		
249	249	36642414.1	36797362		
250	250	36797362.1	36977744		
251	251	36977744.1	37158126		
252	252	37158126.1	37313074		
253	253	37313074.1	37493456		
254	254	37493456.1	37673838		
255	255	37673838.1	37828786		
256	256	37828786.1	38009168		
257	257	38009168.1	38189550		
258	258	38189550.1	38344498		
259	259	38344498.1	38524880		
260	260	38524880.1	38705262		
261	261	38705262.1	38860211		
262	262	38860211.1	39040593		
263	263	39040593.1	39220974		
264	264	39220974.1	39375923		
265	265	39375923.1	39556305		
266	266	39556305.1	39736687		
267	267	39736687.1	39891635		
268	268	39891635.1	40072017		
269	269	40072017.1	40252399		
270	270	40252399.1	40407347		
271	271	40407347.1	40587729		
272	272	40587729.1	40768111		
273	273	40768111.1	40923059		
274	274	40923059.1	41103441		
275	275	41103441.1	41283823		
276	276	41283823.1	41438771		
277	277	41438771.1	41619153		
278	278	41619153.1	41799535		
279	279	41799535.1	41954483		
280	280	41954483.1	42134865		
281	281	42134865.1	42315247		
282	282	42315247.1	42470195		
283	283	42470195.1	42650577		
284	284	42650577.1	42830959		
285	285	42830959.1	42985908		
286	286	42985908.1	43166289		
287	287	43166289.1	43346671		
288	288	43346671.1	43501620		
289	289	43501620.1	43682002		
290	290	43682002.1	43862383		
291	291	43862383.1	44017332		
292	292	44017332.1	44197714		
293	293	44197714.1	44378096		
294	294	44378096.1	44533044		
295	295	44533044.1	44713426		
296	296	44713426.1	44893808		
297	297	44893808.1	45048756		
298	298	45048756.1	45229138		
299	299	45229138.1	45409520		
300	300	45409520.1	45564468		
301	301	45564468.1	45744850		
302	302	45744850.1	45925232		
303	303	45925232.1	46080180		
304	304	46080180.1	46260562		
305	305	46260562.1	46440944		
306	306	46440944.1	46595892		
307	307	46595892.1	46776274		
308	308	46776274.1	46956656		
309	309	46956656.1	47111604		
310	310	47111604.1	47291986		
311	311	47291986.1	47472368		
312	312	47472368.1	47627317		
313	313	47627317.1	47807698		
314	314	47807698.1	47988080		
315	315	47988080.1	48143029		
316	316	48143029.1	48323411		
317	317	48323411.1	48503793		
318	318	48503793.1	48658741		
319	319	48658741.1	48839123		
320	320	48839123.1	49019505		
321	321	49019505.1	49174453		
322	322	49174453.1	49354835		
323	323	49354835.1	49535217		
324	324	49535217.1	49690165		
325	325	49690165.1	49870547		
326	326	49870547.1	50050929		
327	327	50050929.1	50205877		
328	328	50205877.1	50386259		
329	329	50386259.1	50566641		
330	330	50566641.1	50721589		
331	331	50721589.1	50901971		
332	332	50901971.1	51082353		
333	333	51082353.1	51237301		
334	334	51237301.1	51417683		
335	335	51417683.1	51598065		
336	336	51598065.1	51753013		
337	337	51753013.1	51933395		
338	338	51933395.1	52113777		
339	339	52113777.1	52268726		
340	340	52268726.1	52449107		
341	341	52449107.1	52629489		
342	342	52629489.1	52784438		
343	343	52784438.1	52964820		
344	344	52964820.1	53145202		
345	345	53145202.1	53300150		
346	346	53300150.1	53480532		
347	347	53480532.1	53660914		
348	348	53660914.1	53815862		
349	349	53815862.1	53996244		
350	350	53996244.1	54176626		
351	351	54176626.1	54331574		
352	352	54331574.1	54511956		
353	353	54511956.1	54692338		
354	354	54692338.1	54847286		
355	355	54847286.1	55027668		
356	356	55027668.1	55208050		
357	357	55208050.1	55362998		
358	358	55362998.1	55543380		
359	359	55543380.1	55723762		
360	360	55723762.1	55878710		
361	361	55878710.1	56059092		
362	362	56059092.1	56239474		
363	363	56239474.1	56394422		
364	364	56394422.1	56574804		
365	365	56574804.1	56755186		
366	366	56755186.1	56910135		
367	367	56910135.1	57090517		
368	368	57090517.1	57270898		
369	369	57270898.1	57425847		
370	370	57425847.1	57606229		
371	371	57606229.1	57786611		
372	372	57786611.1	57941559		
373	373	57941559.1	58121941		
374	374	58121941.1	58302323		
375	375	58302323.1	58457271		
376	376	58457271.1	58637653		
377	377	58637653.1	58818035		
378	378	58818035.1	58972983		
379	379	58972983.1	59153365		
380	380	59153365.1	59333747		
381	381	59333747.1	59488695		
382	382	59488695.1	59669077		
383	383	59669077.1	59849459		
384	384	59849459.1	60004407		
385	385	60004407.1	60184789		
386	386	60184789.1	60365171		
387	387	60365171.1	60520119		
388	388	60520119.1	60700501		
389	389	60700501.1	60880883		
390	390	60880883.1	61035832		
391	391	61035832.1	61216213		
392	392	61216213.1	61396595		
393	393	61396595.1	61551544		
394	394	61551544.1	61731926		
395	395	61731926.1	61912307		
396	396	61912307.1	62067256		
397	397	62067256.1	62247638		
398	398	62247638.1	62428020		
399	399	62428020.1	62582968		
400	400	62582968.1	62763350		
401	401	62763350.1	62943732		
402	402	62943732.1	63098680		
403	403	63098680.1	63279062		
404	404	63279062.1	63459444		
405	405	63459444.1	63614392		
406	406	63614392.1	63794774		
407	407	63794774.1	63975156		
408	408	63975156.1	64130104		
409	409	64130104.1	64310486		
410	410	64310486.1	64490868		
411	411	64490868.1	64645816		
412	412	64645816.1	64826198		
413	413	64826198.1	65006580		
414	414	65006580.1	65187056		
415	415	65187056.1	65367626		
416	416	65367626.1	65573723		
417	417	65573723.1	65779914		
418	418	65779914.1	65986199		
419	419	65986199.1	66192483		
420	420	66192483.1	66398768		
421	421	66398768.1	66605053		
422	422	66605053.1	66811338		
423	423	66811338.1	67017623		
424	424	67017623.1	67223908		
425	425	67223908.1	67430192		
426	426	67430192.1	67636477		
427	427	67636477.1	67842762		
428	428	67842762.1	68049047		
429	429	68049047.1	68255332		
430	430	68255332.1	68461617		
431	431	68461617.1	68667902		
432	432	68667902.1	68874186		
433	433	68874186.1	69080471		
434	434	69080471.1	69286756		
435	435	69286756.1	69493041		
436	436	69493041.1	69699326		
437	437	69699326.1	69905611		
438	438	69905611.1	70111895		
439	439	70111895.1	70318180		
440	440	70318180.1	70524465		
441	441	70524465.1	70730750		
442	442	70730750.1	70937035		
443	443	70937035.1	71143320		
444	444	71143320.1	71349605		
445	445	71349605.1	71555889		
446	446	71555889.1	71762174		
447	447	71762174.1	71968459		
448	448	71968459.1	72174744		
449	449	72174744.1	72381029		
450	450	72381029.1	72587314		
451	451	72587314.1	72793598		
452	452	72793598.1	72999883		
453	453	72999883.1	73206168		
454	454	73206168.1	73412453		
455	455	73412453.1	73618738		
456	456	73618738.1	73825023		
457	457	73825023.1	74031308		
458	458	74031308.1	74237592		
459	459	74237592.1	74443877		
460	460	74443877.1	74650162		
461	461	74650162.1	74856447		
462	462	74856447.1	75062732		
463	463	75062732.1	75269017		
464	464	75269017.1	75475301		
465	465	75475301.1	75681586		
466	466	75681586.1	75887871		
467	467	75887871.1	76094156		
468	468	76094156.1	76300441		
469	469	76300441.1	76506726		
470	470	76506726.1	76713011		
471	471	76713011.1	76919295		
472	472	76919295.1	77125580		
473	473	77125580.1	77331865		
474	474	77331865.1	77538150		
475	475	77538150.1	77744435		
476	476	77744435.1	77950720		
477	477	77950720.1	78157004		
478	478	78157004.1	78363289		
479	479	78363289.1	78569574		
480	480	78569574.1	78775859		
481	481	78775859.1	78982144		
482	482	78982144.1	79188429		
483	483	79188429.1	79394714		
484	484	79394714.1	79600998		
485	485	79600998.1	79807283		
486	486	79807283.1	80013568		
487	487	80013568.1	80219853		
488	488	80219853.1	80426138		
489	489	80426138.1	80632423		
490	490	80632423.1	80838707		
491	491	80838707.1	81044992		
492	492	81044992.1	81251277		
493	493	81251277.1	81457562		
494	494	81457562.1	81663847		
495	495	81663847.1	81870132		
496	496	81870132.1	82076417		
497	497	82076417.1	82282701		
498	498	82282701.1	82488986		
499	499	82488986.1	82695271		
500	500	82695271.1	82901556		
501	501	82901556.1	83107841		
502	502	83107841.1	83314126		
503	503	83314126.1	83520410		
504	504	83520410.1	83726695		
505	505	83726695.1	83932980		
506	506	83932980.1	84139265		
507	507	84139265.1	84345550		
508	508	84345550.1	84551835		
509	509	84551835.1	84758119		
510	510	84758119.1	84964404		
511	511	84964404.1	85170689		
512	512	85170689.1	85376974		
513	513	85376974.1	85583259		
514	514	85583259.1	85789544		
515	515	85789544.1	85995829		
516	516	85995829.1	86202113		
517	517	86202113.1	86408398		
518	518	86408398.1	86614683		
519	519	86614683.1	86820968		
520	520	86820968.1	87027253		
521	521	87027253.1	87233538		
522	522	87233538.1	87439822		
523	523	87439822.1	87646107		
524	524	87646107.1	87852392		
525	525	87852392.1	88058677		
526	526	88058677.1	88264962		
527	527	88264962.1	88471247		
528	528	88471247.1	88677532		
529	529	88677532.1	88883816		
530	530	88883816.1	89090101		
531	531	89090101.1	89296386		
532	532	89296386.1	89502671		
533	533	89502671.1	89708956		
534	534	89708956.1	89915241		
535	535	89915241.1	90121525		
536	536	90121525.1	90327810		
537	537	90327810.1	90534095		
538	538	90534095.1	90740380		
539	539	90740380.1	90946665		
540	540	90946665.1	91152950		
541	541	91152950.1	91359235		
542	542	91359235.1	91565519		
543	543	91565519.1	91771804		
544	544	91771804.1	91978089		
545	545	91978089.1	92184374		
546	546	92184374.1	92390659		
547	547	92390659.1	92596944		
548	548	92596944.1	92803228		
549	549	92803228.1	93009513		
550	550	93009513.1	93215798		
551	551	93215798.1	93422083		
552	552	93422083.1	93628368		
553	553	93628368.1	93834653		
554	554	93834653.1	94040938		
555	555	94040938.1	94247222		
556	556	94247222.1	94453507		
557	557	94453507.1	94659792		
558	558	94659792.1	94866077		
559	559	94866077.1	95072362		
560	560	95072362.1	95278647		
561	561	95278647.1	95484931		
562	562	95484931.1	95691216		
563	563	95691216.1	95897501		
564	564	95897501.1	96103786		
565	565	96103786.1	96310071		
566	566	96310071.1	96516356		
567	567	96516356.1	96722641		
568	568	96722641.1	96928925		
569	569	96928925.1	97135210		
570	570	97135210.1	97341495		
571	571	97341495.1	97547780		
572	572	97547780.1	97754065		
573	573	97754065.1	97960350		
574	574	97960350.1	98166634		
575	575	98166634.1	98372919		
576	576	98372919.1	98579204		
577	577	98579204.1	98785489		
578	578	98785489.1	98991774		
579	579	98991774.1	99198059		
580	580	99198059.1	99404344		
581	581	99404344.1	99610628		
582	582	99610628.1	99816913		
583	583	99816913.1	100023198		
584	584	100023198.1	100229483		
585	585	100229483.1	100435768		
586	586	100435768.1	100642053		
587	587	100642053.1	100848337		
588	588	100848337.1	101054622		
589	589	101054622.1	101260907		
590	590	101260907.1	101467192		
591	591	101467192.1	101673477		
592	592	101673477.1	101879762		
593	593	101879762.1	102086047		
594	594	102086047.1	102292331		
595	595	102292331.1	102498616		
596	596	102498616.1	102704901		
597	597	102704901.1	102911186		
598	598	102911186.1	103117471		
599	599	103117471.1	103323756		
600	600	103323756.1	103530040		
601	601	103530040.1	103736325		
602	602	103736325.1	103942610		
603	603	103942610.1	104148895		
604	604	104148895.1	104355180		
605	605	104355180.1	104561465		
606	606	104561465.1	104767750		
607	607	104767750.1	104974034		
608	608	104974034.1	105180319		
609	609	105180319.1	105386604		
610	610	105386604.1	105592889		
611	611	105592889.1	105799174		
612	612	105799174.1	106005459		
613	613	106005459.1	106211743		
614	614	106211743.1	106418028		
615	615	106418028.1	106624313		
616	616	106624313.1	106830598		
617	617	106830598.1	107036883		
618	618	107036883.1	107243168		
619	619	107243168.1	107449453		
620	620	107449453.1	107655737		
621	621	107655737.1	107862022		
622	622	107862022.1	108068307		
623	623	108068307.1	108274592		
624	624	108274592.1	108480877		
625	625	108480877.1	108687162		
626	626	108687162.1	108893446		
627	627	108893446.1	109099731		
628	628	109099731.1	109306016		
629	629	109306016.1	109512301		
630	630	109512301.1	109718586		
631	631	109718586.1	109924871		
632	632	109924871.1	110131156		
633	633	110131156.1	110337440		
634	634	110337440.1	110543725		
635	635	110543725.1	110750010		
636	636	110750010.1	110956295		
637	637	110956295.1	111162580		
638	638	111162580.1	111368865		
639	639	111368865.1	111575149		
640	640	111575149.1	111781434		
641	641	111781434.1	111987719		
642	642	111987719.1	112194004		
643	643	112194004.1	112400289		
644	644	112400289.1	112606574		
645	645	112606574.1	112812859		
646	646	112812859.1	113019143		
647	647	113019143.1	113225428		
648	648	113225428.1	113431713		
649	649	113431713.1	113637998		
650	650	113637998.1	113844283		
651	651	113844283.1	114050568		
652	652	114050568.1	114256852		
653	653	114256852.1	114463137		
654	654	114463137.1	114669422		
655	655	114669422.1	114875707		
656	656	114875707.1	115081992		
657	657	115081992.1	115288277		
658	658	115288277.1	115494561		
659	659	115494561.1	115700846		
660	660	115700846.1	115907131		
661	661	115907131.1	116113416		
662	662	116113416.1	116319701		
663	663	116319701.1	116525986		
664	664	116525986.1	116732271		
665	665	116732271.1	116938555		
666	666	116938555.1	117144840		
667	667	117144840.1	117351125		
668	668	117351125.1	117557410		
669	669	117557410.1	117763695		
670	670	117763695.1	117969980		
671	671	117969980.1	118176264		
672	672	118176264.1	118382549		
673	673	118382549.1	118588834		
674	674	118588834.1	118795119		
675	675	118795119.1	119001404		
676	676	119001404.1	119207689		
677	677	119207689.1	119413974		
678	678	119413974.1	119620258		
679	679	119620258.1	119826543		
680	680	119826543.1	120032828		
681	681	120032828.1	120239113		
682	682	120239113.1	120445398		
683	683	120445398.1	120651683		
684	684	120651683.1	120857967		
685	685	120857967.1	121064252		
686	686	121064252.1	121270537		
687	687	121270537.1	121476822		
688	688	121476822.1	121683107		
689	689	121683107.1	121889392		
690	690	121889392.1	122095677		
691	691	122095677.1	122301961		
692	692	122301961.1	122508246		
693	693	122508246.1	122714531		
694	694	122714531.1	122920816		
695	695	122920816.1	123127101		
696	696	123127101.1	123333386		
697	697	123333386.1	123539670		
698	698	123539670.1	123745955		
699	699	123745955.1	123952240		
700	700	123952240.1	124158525		
701	701	124158525.1	124364810		
702	702	124364810.1	124571095		
703	703	124571095.1	124777380		
704	704	124777380.1	124983664		
705	705	124983664.1	125189949		
706	706	125189949.1	125396234		
707	707	125396234.1	125602519		
708	708	125602519.1	125808804		
709	709	125808804.1	126015089		
710	710	126015089.1	126221373		
711	711	126221373.1	126427658		
712	712	126427658.1	126633943		
713	713	126633943.1	126840228		
714	714	126840228.1	127046513		
715	715	127046513.1	127252798		
716	716	127252798.1	127459083		
717	717	127459083.1	127665367		
718	718	127665367.1	127871652		
719	719	127871652.1	128077937		
720	720	128077937.1	128284222		
721	721	128284222.1	128490507		
722	722	128490507.1	128696792		
723	723	128696792.1	128903076		
724	724	128903076.1	129109361		
725	725	129109361.1	129315646		
726	726	129315646.1	129521931		
727	727	129521931.1	129728216		
728	728	129728216.1	129934501		
729	729	129934501.1	130140786		
730	730	130140786.1	130347070		
731	731	130347070.1	130553355		
732	732	130553355.1	130759640		
733	733	130759640.1	130965925		
734	734	130965925.1	131172210		
735	735	131172210.1	131378495		
736	736	131378495.1	131584779		
737	737	131584779.1	131791064		
738	738	131791064.1	131997349		
739	739	131997349.1	132203634		
740	740	132203634.1	132409919		
741	741	132409919.1	132616204		
742	742	132616204.1	132822489		
743	743	132822489.1	133028773		
744	744	133028773.1	133235058		
745	745	133235058.1	133441343		
746	746	133441343.1	133647628		
747	747	133647628.1	133853913		
748	748	133853913.1	134060198		
749	749	134060198.1	134266482		
750	750	134266482.1	134472767		
751	751	134472767.1	134679052		
752	752	134679052.1	134885337		
753	753	134885337.1	135091622		
754	754	135091622.1	135297907		
755	755	135297907.1	135504192		
756	756	135504192.1	135710476		
757	757	135710476.1	135916761		
758	758	135916761.1	136123046		
759	759	136123046.1	136329331		
760	760	136329331.1	136535616		
761	761	136535616.1	136741901		
762	762	136741901.1	136948185		
763	763	136948185.1	137154470		
764	764	137154470.1	137360755		
765	765	137360755.1	137567040		
766	766	137567040.1	137773325		
767	767	137773325.1	137979610		
768	768	137979610.1	138185895		
769	769	138185895.1	138392179		
770	770	138392179.1	138598464		
771	771	138598464.1	138804749		
772	772	138804749.1	139011034		
773	773	139011034.1	139217319		
774	774	139217319.1	139423604		
775	775	139423604.1	139629888		
776	776	139629888.1	139836173		
777	777	139836173.1	140042458		
778	778	140042458.1	140248743		
779	779	140248743.1	140455028		
780	780	140455028.1	140661313		
781	781	140661313.1	140867598		
782	782	140867598.1	141073882		
783	783	141073882.1	141280167		
784	784	141280167.1	141486452		
785	785	141486452.1	141692737		
786	786	141692737.1	141899022		
787	787	141899022.1	142105307		
788	788	142105307.1	142311591		
789	789	142311591.1	142517876		
790	790	142517876.1	142724161		
791	791	142724161.1	142930446		
792	792	142930446.1	143136731		
793	793	143136731.1	143343016		
794	794	143343016.1	143549301		
795	795	143549301.1	143755585		
796	796	143755585.1	143961870		
797	797	143961870.1	144168155		
798	798	144168155.1	144374440		
799	799	144374440.1	144580725		
800	800	144580725.1	144787010		
801	801	144787010.1	144993294		
802	802	144993294.1	145199579		
803	803	145199579.1	145405864		
804	804	145405864.1	145612149		
805	805	145612149.1	145818434		
806	806	145818434.1	146024719		
807	807	146024719.1	146231003		
808	808	146231003.1	146437288		
809	809	146437288.1	146643573		
810	810	146643573.1	146849858		
811	811	146849858.1	147056143		
812	812	147056143.1	147262428		
813	813	147262428.1	147468713		
814	814	147468713.1	147674997		
815	815	147674997.1	147881282		
816	816	147881282.1	148087567		
817	817	148087567.1	148293852		
818	818	148293852.1	148500137		
819	819	148500137.1	148706422		
820	820	148706422.1	148912706		
821	821	148912706.1	149118991		
822	822	149118991.1	149325276		
823	823	149325276.1	149531561		
824	824	149531561.1	149737846		
825	825	149737846.1	149944131		
826	826	149944131.1	150150416		
827	827	150150416.1	150356700		
828	828	150356700.1	150562985		
829	829	150562985.1	150769270		
830	830	150769270.1	150975555		
831	831	150975555.1	151181840		
832	832	151181840.1	151388125		
833	833	151388125.1	151594409		
834	834	151594409.1	151800694		
835	835	151800694.1	152006979		
836	836	152006979.1	152213264		
837	837	152213264.1	152419549		
838	838	152419549.1	152625834		
839	839	152625834.1	152832119		
840	840	152832119.1	153038403		
841	841	153038403.1	153244688		
842	842	153244688.1	153450973		
843	843	153450973.1	153657258		
844	844	153657258.1	153863543		
845	845	153863543.1	154069828		
846	846	154069828.1	154276112		
847	847	154276112.1	154482397		
848	848	154482397.1	154688682		
849	849	154688682.1	154894967		
850	850	154894967.1	155101252		
851	851	155101252.1	155307537		
852	852	155307537.1	155513822		
853	853	155513822.1	155720106		
854	854	155720106.1	155926391		
855	855	155926391.1	156132676		
856	856	156132676.1	156338961		
857	857	156338961.1	156545246		
858	858	156545246.1	156751531		
859	859	156751531.1	156957815		
860	860	156957815.1	157164100		
861	861	157164100.1	157370385		
862	862	157370385.1	157576670		
863	863	157576670.1	157782955		
864	864	157782955.1	157989240		
865	865	157989240.1	158195525		
866	866	158195525.1	158401809		
867	867	158401809.1	158608094		
868	868	158608094.1	158814379		
869	869	158814379.1	159020664		
870	870	159020664.1	159226949		
871	871	159226949.1	159433234		
872	872	159433234.1	159639518		
873	873	159639518.1	159845803		
874	874	159845803.1	160052088		
875	875	160052088.1	160258373		
876	876	160258373.1	160464658		
877	877	160464658.1	160670943		
878	878	160670943.1	160877228		
879	879	160877228.1	161083512		
880	880	161083512.1	161289797		
881	881	161289797.1	161496082		
882	882	161496082.1	161702367		
883	883	161702367.1	161908652		
884	884	161908652.1	162114937		
885	885	162114937.1	162321221		
886	886	162321221.1	162527506		
887	887	162527506.1	162733791		
888	888	162733791.1	162940076		
889	889	162940076.1	163146361		
890	890	163146361.1	163352646		
891	891	163352646.1	163558931		
892	892	163558931.1	163765215		
893	893	163765215.1	163971500		
894	894	163971500.1	164177785		
895	895	164177785.1	164384070		
896	896	164384070.1	164590355		
897	897	164590355.1	164796640		
898	898	164796640.1	165002924		
899	899	165002924.1	165209209		
900	900	165209209.1	165415494		
901	901	165415494.1	165621779		
902	902	165621779.1	165828064		
903	903	165828064.1	166034349		
904	904	166034349.1	166240634		
905	905	166240634.1	166446918		
906	906	166446918.1	166653203		
907	907	166653203.1	166859488		
908	908	166859488.1	167065773		
909	909	167065773.1	167272058		
910	910	167272058.1	167478343		
911	911	167478343.1	167684628		
912	912	167684628.1	167890913		
913	913	167890913.1	168097198		
914	914	168097198.1	168303483		
915	915	168303483.1	168509768		
916	916	168509768.1	168716053		
917	917	168716053.1	168922338		
918	918	168922338.1	169128623		
919	919	169128623.1	169334908		
920	920	169334908.1	169541193		
921	921	169541193.1	169747478		
922	922	169747478.1	169953763		
923	923	169953763.1	170160048		
924	924	170160048.1	170366333		
925	925	170366333.1	170572618		
926	926	170572618.1	170778903		
927	927	170778903.1	170985188		
928	928	170985188.1	171191473		
929	929	171191473.1	171397758		
930	930	171397758.1	171604043		
931	931	171604043.1	171810328		
932	932	171810328.1	172016613		
