index	mapId	teamId	队伍名字（对应gametips上的队伍名字的编号）	玩家复活，游戏开始点X	家的范围	资源点Id	床位置	床的朝向	模板组id	不能放置方块区域	初始物品	羊毛方块Id	放setting表	Unnamed: 14
31	7	7	1008041	414.5,61,467.5	402,29,460#425,72,475	15	420,61,467#421,61,467	90	2	405,60,463#418,63,472	709#710#711#712#268	1447	粉队	圣殿
32	7	8	1008042	460.5,61,420.5	453,29,409#468,72,432	16	460,61,427#460,61,428	90	2	456,60,412#465,63,425	713#714#715#716#268	1448	黑队	圣殿
33	8	1	1008034	116,62,426	103,53,406#130,100,447	9	116,63,435#116,63,436	90	2	112,61,422#121,64,431	2056#2057#2058#2059#268	1441	红队	气球
34	8	2	1008035	166,62,476	153,53,463#187,100,490	10	158,63,476#157,63,476	180	2	162,61,472#171,64,481	2060#2061#2062#2063#268	1442	蓝队	气球
35	8	3	1008036	166,62,516	146,53,503#187,100,530	11	158,63,516#157,63,516	180	2	162,61,512#171,64,521	2064#2065#2066#2067#268	1443	绿队	气球
36	8	4	1008037	116,62,566	103,53,546#130,100,587	12	116,63,558#116,63,557	180	2	112,61,562#121,64,571	2068#2069#2070#2071#268	1444	黄队	气球
37	8	5	1008039	76,62,566	63,53,546#90,100,587	13	76,63,558#76,63,557	180	2	72,61,562#81,64,571	701#702#703#704#268	1445	青队	气球
38	8	6	1008040	26,62,516	6,53,503#47,100,530	14	34,63,516#35,63,516	90	2	22,61,512#31,64,521	705#706#707#708#268	1446	白队	气球
39	8	7	1008041	26,62,476	6,53,463#47,100,490	15	34,63,476#35,63,476	90	2	22,61,472#31,64,481	709#710#711#712#268	1447	粉队	气球
40	8	8	1008042	76,62,426	63,53,406#90,100,447	16	76,63,434#76,63,435	90	2	72,61,422#81,64,431	713#714#715#716#268	1448	黑队	气球
41	9	1	1008034	814.5,100.5,451.5	799,76,444#821,118,465	9	816,98,460#816,98,461	90	2	806,100,448#817,103,455	2056#2057#2058#2059#268	1441	红队	精灵
42	9	2	1008035	850.5,100.5,414.5	844,76,403#864,118,422	10	859,98,417#860,98,417	90	2	847,100,407#854,103,418	2060#2061#2062#2063#268	1442	蓝队	精灵
43	9	3	1008036	898.5,100.5,414.5	885,76,403#905,118,422	11	888,98,417#889,98,417	90	2	895,100,407#902,103,418	2064#2065#2066#2067#268	1443	绿队	精灵
44	9	4	1008037	935.5,100.5,451.5	928,76,445#947,118,465	12	932,98,460#932,98,461	90	2	932,100,448#942,103,455	2068#2069#2070#2071#268	1444	黄队	精灵
45	9	5	1008039	935.5,100.5,499.5	928,76,485#947,118,507	13	932,98,489#932,98,490	90	2	932,100,496#942,103,503	701#702#703#704#268	1445	青队	精灵
46	9	6	1008040	898.5,100.5,535.5	885,76,529#905,118,547	14	888,98,533#889,98,533	90	2	895,100,533#902,103,543	705#706#707#708#268	1446	白队	精灵
47	9	7	1008041	850.5,100.5,535.5	844,76,529#865,118,547	15	859,98,533#860,98,533	90	2	847,100,533#854,103,543	709#710#711#712#268	1447	粉队	精灵
48	9	8	1008042	814.5,100.5,499.5	799,76,486#821,118,507	16	816,98,489#816,98,490	90	2	806,100,496#817,103,503	713#714#715#716#268	1448	黑队	精灵
