ID	旧ItemId	新ItemId	装扮ItemId	Unnamed: 4	备注.1
172	1441	1819	1819		羊毛装扮(红)
173	1441	1820	1820		羊毛装扮(红)
174	1441	1821	1821		羊毛装扮(红)
175	1441	1822	1822		羊毛装扮(红)
176	1441	1823	1823		羊毛装扮(红)
177	1441	1824	1824		羊毛装扮(红)
178	1441	1825	1825		羊毛装扮(红)
179	1442	1801	1801		羊毛装扮(蓝)
180	1442	1802	1802		羊毛装扮(蓝)
181	1442	1803	1803		羊毛装扮(蓝)
182	1442	1804	1804		羊毛装扮(蓝)
183	1442	1805	1805		羊毛装扮(蓝)
184	1442	1807	1807		羊毛装扮(蓝)
185	1442	1808	1808		羊毛装扮(蓝)
186	1442	1809	1809		羊毛装扮(蓝)
187	1442	1810	1810		羊毛装扮(蓝)
188	1442	1811	1811		羊毛装扮(蓝)
189	1442	1812	1812		羊毛装扮(蓝)
190	1442	1813	1813		羊毛装扮(蓝)
191	1442	1814	1814		羊毛装扮(蓝)
192	1442	1815	1815		羊毛装扮(蓝)
193	1442	1816	1816		羊毛装扮(蓝)
194	1442	1817	1817		羊毛装扮(蓝)
195	1442	1818	1818		羊毛装扮(蓝)
196	1442	1819	1819		羊毛装扮(蓝)
197	1442	1820	1820		羊毛装扮(蓝)
198	1442	1821	1821		羊毛装扮(蓝)
199	1442	1822	1822		羊毛装扮(蓝)
200	1442	1823	1823		羊毛装扮(蓝)
201	1442	1824	1824		羊毛装扮(蓝)
202	1442	1825	1825		羊毛装扮(蓝)
203	1443	1801	1801		羊毛装扮(绿)
204	1443	1802	1802		羊毛装扮(绿)
205	1443	1803	1803		羊毛装扮(绿)
206	1443	1804	1804		羊毛装扮(绿)
207	1443	1805	1805		羊毛装扮(绿)
208	1443	1807	1807		羊毛装扮(绿)
209	1443	1808	1808		羊毛装扮(绿)
210	1443	1809	1809		羊毛装扮(绿)
211	1443	1810	1810		羊毛装扮(绿)
212	1443	1811	1811		羊毛装扮(绿)
213	1443	1812	1812		羊毛装扮(绿)
214	1443	1813	1813		羊毛装扮(绿)
215	1443	1814	1814		羊毛装扮(绿)
216	1443	1815	1815		羊毛装扮(绿)
217	1443	1816	1816		羊毛装扮(绿)
218	1443	1817	1817		羊毛装扮(绿)
219	1443	1818	1818		羊毛装扮(绿)
220	1443	1819	1819		羊毛装扮(绿)
221	1443	1820	1820		羊毛装扮(绿)
222	1443	1821	1821		羊毛装扮(绿)
223	1443	1822	1822		羊毛装扮(绿)
224	1443	1823	1823		羊毛装扮(绿)
225	1443	1824	1824		羊毛装扮(绿)
226	1443	1825	1825		羊毛装扮(绿)
227	1444	1801	1801		羊毛装扮(黄)
228	1444	1802	1802		羊毛装扮(黄)
229	1444	1803	1803		羊毛装扮(黄)
230	1444	1804	1804		羊毛装扮(黄)
231	1444	1805	1805		羊毛装扮(黄)
232	1444	1807	1807		羊毛装扮(黄)
233	1444	1808	1808		羊毛装扮(黄)
234	1444	1809	1809		羊毛装扮(黄)
235	1444	1810	1810		羊毛装扮(黄)
236	1444	1811	1811		羊毛装扮(黄)
237	1444	1812	1812		羊毛装扮(黄)
238	1444	1813	1813		羊毛装扮(黄)
239	1444	1814	1814		羊毛装扮(黄)
240	1444	1815	1815		羊毛装扮(黄)
241	1444	1816	1816		羊毛装扮(黄)
242	1444	1817	1817		羊毛装扮(黄)
243	1444	1818	1818		羊毛装扮(黄)
244	1444	1819	1819		羊毛装扮(黄)
245	1444	1820	1820		羊毛装扮(黄)
246	1444	1821	1821		羊毛装扮(黄)
247	1444	1822	1822		羊毛装扮(黄)
248	1444	1823	1823		羊毛装扮(黄)
249	1444	1824	1824		羊毛装扮(黄)
250	1444	1825	1825		羊毛装扮(黄)
251	1445	1801	1801		羊毛装扮(青)
252	1445	1802	1802		羊毛装扮(青)
253	1445	1803	1803		羊毛装扮(青)
254	1445	1804	1804		羊毛装扮(青)
255	1445	1805	1805		羊毛装扮(青)
256	1445	1807	1807		羊毛装扮(青)
257	1445	1808	1808		羊毛装扮(青)
258	1445	1809	1809		羊毛装扮(青)
259	1445	1810	1810		羊毛装扮(青)
260	1445	1811	1811		羊毛装扮(青)
261	1445	1812	1812		羊毛装扮(青)
262	1445	1813	1813		羊毛装扮(青)
263	1445	1814	1814		羊毛装扮(青)
264	1445	1815	1815		羊毛装扮(青)
265	1445	1816	1816		羊毛装扮(青)
266	1445	1817	1817		羊毛装扮(青)
267	1445	1818	1818		羊毛装扮(青)
268	1445	1819	1819		羊毛装扮(青)
269	1445	1820	1820		羊毛装扮(青)
270	1445	1821	1821		羊毛装扮(青)
271	1445	1822	1822		羊毛装扮(青)
272	1445	1823	1823		羊毛装扮(青)
273	1445	1824	1824		羊毛装扮(青)
274	1445	1825	1825		羊毛装扮(青)
275	1446	1801	1801		羊毛装扮(白)
276	1446	1802	1802		羊毛装扮(白)
277	1446	1803	1803		羊毛装扮(白)
278	1446	1804	1804		羊毛装扮(白)
279	1446	1805	1805		羊毛装扮(白)
280	1446	1807	1807		羊毛装扮(白)
281	1446	1808	1808		羊毛装扮(白)
282	1446	1809	1809		羊毛装扮(白)
283	1446	1810	1810		羊毛装扮(白)
284	1446	1811	1811		羊毛装扮(白)
285	1446	1812	1812		羊毛装扮(白)
286	1446	1813	1813		羊毛装扮(白)
287	1446	1814	1814		羊毛装扮(白)
288	1446	1815	1815		羊毛装扮(白)
289	1446	1816	1816		羊毛装扮(白)
290	1446	1817	1817		羊毛装扮(白)
291	1446	1818	1818		羊毛装扮(白)
292	1446	1819	1819		羊毛装扮(白)
293	1446	1820	1820		羊毛装扮(白)
294	1446	1821	1821		羊毛装扮(白)
295	1446	1822	1822		羊毛装扮(白)
296	1446	1823	1823		羊毛装扮(白)
297	1446	1824	1824		羊毛装扮(白)
298	1446	1825	1825		羊毛装扮(白)
299	1447	1801	1801		羊毛装扮(粉)
300	1447	1802	1802		羊毛装扮(粉)
301	1447	1803	1803		羊毛装扮(粉)
302	1447	1804	1804		羊毛装扮(粉)
303	1447	1805	1805		羊毛装扮(粉)
304	1447	1807	1807		羊毛装扮(粉)
305	1447	1808	1808		羊毛装扮(粉)
306	1447	1809	1809		羊毛装扮(粉)
307	1447	1810	1810		羊毛装扮(粉)
308	1447	1811	1811		羊毛装扮(粉)
309	1447	1812	1812		羊毛装扮(粉)
310	1447	1813	1813		羊毛装扮(粉)
311	1447	1814	1814		羊毛装扮(粉)
312	1447	1815	1815		羊毛装扮(粉)
313	1447	1816	1816		羊毛装扮(粉)
314	1447	1817	1817		羊毛装扮(粉)
315	1447	1818	1818		羊毛装扮(粉)
316	1447	1819	1819		羊毛装扮(粉)
317	1447	1820	1820		羊毛装扮(粉)
318	1447	1821	1821		羊毛装扮(粉)
319	1447	1822	1822		羊毛装扮(粉)
320	1447	1823	1823		羊毛装扮(粉)
321	1447	1824	1824		羊毛装扮(粉)
322	1447	1825	1825		羊毛装扮(粉)
323	1448	1801	1801		羊毛装扮(黑)
324	1448	1802	1802		羊毛装扮(黑)
325	1448	1803	1803		羊毛装扮(黑)
326	1448	1804	1804		羊毛装扮(黑)
327	1448	1805	1805		羊毛装扮(黑)
328	1448	1807	1807		羊毛装扮(黑)
329	1448	1808	1808		羊毛装扮(黑)
330	1448	1809	1809		羊毛装扮(黑)
331	1448	1810	1810		羊毛装扮(黑)
332	1448	1811	1811		羊毛装扮(黑)
333	1448	1812	1812		羊毛装扮(黑)
334	1448	1813	1813		羊毛装扮(黑)
335	1448	1814	1814		羊毛装扮(黑)
336	1448	1815	1815		羊毛装扮(黑)
337	1448	1816	1816		羊毛装扮(黑)
338	1448	1817	1817		羊毛装扮(黑)
339	1448	1818	1818		羊毛装扮(黑)
340	1448	1819	1819		羊毛装扮(黑)
341	1448	1820	1820		羊毛装扮(黑)
342	1448	1821	1821		羊毛装扮(黑)
343	1448	1822	1822		羊毛装扮(黑)
344	1448	1823	1823		羊毛装扮(黑)
345	1448	1824	1824		羊毛装扮(黑)
346	1448	1825	1825		羊毛装扮(黑)
347	5	1826	1826		木头
348	5	1827	1827		木头
349	5	1828	1828		木头
350	5	1829	1829		木头
351	5	1830	1830		木头
352	5	1831	1831		木头
353	5	1832	1832		木头
354	5	1833	1833		木头
355	5	1834	1834		木头
356	5	1835	1835		木头
357	5	1836	1836		木头
358	5	1837	1837		木头
359	5	1838	1838		木头
360	5	1839	1839		木头
361	5	1840	1840		木头
362	5	1841	1841		木头
363	5	1842	1842		木头
364	5	1843	1843		木头
365	5	1844	1844		木头
366	5	1845	1845		木头
367	5	1846	1846		木头
368	5	1847	1847		木头
369	5	1848	1848		木头
370	5	1849	1849		木头
371	5	1850	1850		木头
372	121	1851	1851		末地石
373	121	1852	1852		末地石
374	121	1853	1853		末地石
375	121	1854	1854		末地石
376	121	1855	1855		末地石
377	121	1856	1856		末地石
378	121	1857	1857		末地石
379	121	1858	1858		末地石
380	121	1859	1859		末地石
381	121	1860	1860		末地石
382	121	1861	1861		末地石
383	121	1862	1862		末地石
384	121	1863	1863		末地石
385	121	1864	1864		末地石
386	121	1865	1865		末地石
387	121	1866	1866		末地石
388	121	1867	1867		末地石
389	121	1868	1868		末地石
390	121	1869	1869		末地石
391	121	1870	1870		末地石
392	121	1871	1871		末地石
393	121	1872	1872		末地石
394	121	1873	1873		末地石
395	121	1874	1874		末地石
396	121	1875	1875		末地石
397	49	1876	1876		黑曜石
398	49	1877	1877		黑曜石
399	49	1878	1878		黑曜石
400	49	1879	1879		黑曜石
401	49	1880	1880		黑曜石
402	49	1881	1881		黑曜石
403	49	1882	1882		黑曜石
404	49	1883	1883		黑曜石
405	49	1884	1884		黑曜石
406	49	1885	1885		黑曜石
407	49	1886	1886		黑曜石
408	49	1887	1887		黑曜石
409	49	1888	1888		黑曜石
410	49	1889	1889		黑曜石
411	49	1890	1890		黑曜石
412	49	1891	1891		黑曜石
413	49	1892	1892		黑曜石
414	49	1893	1893		黑曜石
415	49	1894	1894		黑曜石
416	49	1895	1895		黑曜石
417	49	1896	1896		黑曜石
418	49	1897	1897		黑曜石
419	49	1898	1898		黑曜石
420	49	1899	1899		黑曜石
421	49	1900	1900		黑曜石
422	1441	3001	1806		羊毛装扮(红)
423	1442	3002	1806		羊毛装扮(蓝)
424	1443	3003	1806		羊毛装扮(绿)
425	1444	3004	1806		羊毛装扮(黄)
426	1445	3005	1806		羊毛装扮(青)
427	1446	3006	1806		羊毛装扮(白)
428	1447	3007	1806		羊毛装扮(粉)
429	1448	3008	1806		羊毛装扮(黑)
