Serial	ItemId	ItemMeta	DropDown	DropUp	DropProbability	Unnamed: 6	Unnamed: 7	Unnamed: 8
107	351	14	1	3	10	橙色染料	2000	400
108	1500	0	1	3	20	骨粉	1960	784
109	268	0	1	3	2	木剑	9	0.36
110	272	0	1	3	4	石剑	12	0.96
111	267	0	1	3	6	铁剑	160	19.2
112	283	0	1	3	8	金剑	960	153.6
113	276	0	1	3	8	钻石剑	2000	320
114	261	0	1	3	8	短弓	500	80
115	262	0	1	3	30	箭	100	60
116	102	0	1	3	8	玻璃板	5.2	0.8320000000000001
117	20	0	1	3	8	玻璃	14	2.24
118	171	0	1	3	8	白色地毯	132	21.12
119	35	0	1	3	8	白色羊毛	200	32
120	160	0	1	3	8	白色玻璃板	100	16
121	160	1	1	3	8	橙色玻璃板	100	16
122	160	2	1	3	8	品红色玻璃板	100	16
123	160	3	1	3	8	浅蓝色玻璃板	100	16
124	160	4	1	3	8	黄色玻璃板	100	16
125	160	5	1	3	8	浅绿色玻璃板	100	16
126	160	6	1	3	8	粉色玻璃板	100	16
127	160	7	1	3	8	灰色玻璃板	100	16
128	160	8	1	3	8	浅灰色玻璃板	100	16
129	160	9	1	3	8	青色玻璃板	100	16
130	160	10	1	3	8	紫色玻璃板	100	16
131	160	11	1	3	8	蓝色玻璃板	100	16
132	160	12	1	3	8	棕色玻璃板	100	16
133	160	13	1	3	8	绿色玻璃板	100	16
134	160	14	1	3	8	红色玻璃板	100	16
135	160	15	1	3	8	黑色玻璃板	100	16
136	171	1	1	3	8	橙色地毯	1460	233.6
137	171	2	1	3	8	品红色地毯	1460	233.6
138	171	3	1	3	8	浅蓝色地毯	1460	233.6
139	171	4	1	3	8	黄色地毯	1460	233.6
140	171	5	1	3	8	浅绿色地毯	1460	233.6
141	171	6	1	3	8	粉色地毯	1460	233.6
142	171	7	1	3	8	灰色地毯	1460	233.6
143	171	8	1	3	8	浅灰色地毯	1460	233.6
144	171	9	1	3	8	青色地毯	1460	233.6
145	171	10	1	3	8	紫色地毯	1460	233.6
146	171	11	1	3	8	蓝色地毯	1460	233.6
147	171	12	1	3	8	棕色地毯	1460	233.6
148	171	13	1	3	8	绿色地毯	1460	233.6
149	171	14	1	3	8	红色地毯	1460	233.6
150	171	15	1	3	8	黑色地毯	1460	233.6
151	172	0	1	3	8	陶瓦	3200	512
152	95	0	1	3	8	白色玻璃	260	41.6
153	95	1	1	3	8	橙色玻璃	260	41.6
154	95	2	1	3	8	品红色玻璃	260	41.6
155	95	3	1	3	8	浅蓝色玻璃	260	41.6
156	95	4	1	3	8	黄色玻璃	260	41.6
157	95	5	1	3	8	浅绿色玻璃	260	41.6
158	95	6	1	3	8	粉色玻璃	260	41.6
159	95	7	1	3	8	灰色玻璃	260	41.6
160	95	8	1	3	8	浅灰色玻璃	260	41.6
161	95	9	1	3	8	青色玻璃	260	41.6
162	95	10	1	3	8	紫色玻璃	260	41.6
163	95	11	1	3	8	蓝色玻璃	260	41.6
164	95	12	1	3	8	棕色玻璃	260	41.6
165	95	13	1	3	8	绿色玻璃	260	41.6
166	95	14	1	3	8	红色玻璃	260	41.6
167	95	15	1	3	8	黑色玻璃	260	41.6
168	35	1	1	3	8	橙色羊毛	2200	352
169	35	2	1	3	8	品红色羊毛	2200	352
170	35	3	1	3	8	浅蓝色羊毛	2200	352
171	35	4	1	3	8	黄色羊毛	2200	352
172	35	5	1	3	8	浅绿色羊毛	2200	352
173	35	6	1	3	8	粉色羊毛	2200	352
174	35	7	1	3	8	灰色羊毛	2200	352
175	35	8	1	3	8	浅灰色羊毛	2200	352
176	35	9	1	3	8	青色羊毛	2200	352
177	35	10	1	3	8	紫色羊毛	2200	352
178	35	11	1	3	8	蓝色羊毛	2200	352
179	35	12	1	3	8	棕色羊毛	2200	352
180	35	13	1	3	8	绿色羊毛	2200	352
181	35	14	1	3	8	红色羊毛	2200	352
182	35	15	1	3	8	黑色羊毛	2200	352
183	251	0	1	3	8	白色混凝土	2700	432
184	251	1	1	3	8	橙色混凝土	2700	432
185	251	2	1	3	8	品红色混凝土	2700	432
186	251	3	1	3	8	浅蓝色混凝土	2700	432
187	251	4	1	3	8	黄色混凝土	2700	432
188	251	5	1	3	8	浅绿色混凝土	2700	432
189	251	6	1	3	8	粉色混凝土	2700	432
190	251	7	1	3	8	灰色混凝土	2700	432
191	251	8	1	3	8	浅灰色混凝土	2700	432
192	251	9	1	3	8	青色混凝土	2700	432
193	251	10	1	3	8	紫色混凝土	2700	432
194	251	11	1	3	8	蓝色混凝土	2700	432
195	251	12	1	3	8	棕色混凝土	2700	432
196	251	13	1	3	8	绿色混凝土	2700	432
197	251	14	1	3	8	红色混凝土	2700	432
198	251	15	1	3	8	黑色混凝土	2700	432
199	159	0	1	3	8	白色陶瓦	3600	576
200	159	1	1	3	8	橙色陶瓦	3600	576
201	159	2	1	3	8	品红色陶瓦	3600	576
202	159	3	1	3	8	浅蓝色陶瓦	3600	576
203	159	4	1	3	8	黄色陶瓦	3600	576
204	159	5	1	3	8	黄绿色陶瓦	3600	576
205	159	6	1	3	8	粉色陶瓦	3600	576
206	159	7	1	3	8	灰色陶瓦	3600	576
207	159	8	1	3	8	浅灰色陶瓦	3600	576
208	159	9	1	3	8	青色陶瓦	3600	576
209	159	10	1	3	8	紫色陶瓦	3600	576
210	159	11	1	3	8	蓝色陶瓦	3600	576
211	159	12	1	3	8	棕色陶瓦	3600	576
212	159	13	1	3	8	绿色陶瓦	3600	576
213	159	14	1	3	8	红色陶瓦	3600	576
214	159	15	1	3	8	黑色陶瓦	3600	576
215	235	0	1	3	8	白色带釉陶瓦	3600	576
216	236	0	1	3	8	橙色带釉陶瓦	3600	576
217	237	0	1	3	8	品红色带釉陶瓦	3600	576
218	238	0	1	3	8	浅蓝色带釉陶瓦	3600	576
219	239	0	1	3	8	黄色带釉陶瓦	3600	576
220	240	0	1	3	8	黄绿色带釉陶瓦	3600	576
221	241	0	1	3	8	粉色带釉陶瓦	3600	576
222	242	0	1	3	8	灰色带釉陶瓦	3600	576
223	243	0	1	3	8	浅灰色带釉陶瓦	3600	576
224	244	0	1	3	8	青色带釉陶瓦	3600	576
225	245	0	1	3	8	紫色带釉陶瓦	3600	576
226	246	0	1	3	8	蓝色带釉陶瓦	3600	576
227	247	0	1	3	8	棕色带釉陶瓦	3600	576
228	248	0	1	3	8	绿色带釉陶瓦	3600	576
229	249	0	1	3	8	红色带釉陶瓦	3600	576
230	250	0	1	3	8	黑色带釉陶瓦	3600	576
231	511	0	0	0	100	紫晶宝石	100000	0
