商品ID	道具类型	标签ID	商品价格	打折价格	道具名称	道具图片	模块配置ID	是否默认给的（1是0否）	获得途径（1.购买 2.首充  3.秘宝挑战 4.起床号令）	CustomShopGoods排序（小的排前面）	中文备注	Unnamed: 12
5010	5	6	68	#	CustomShopGoods_Name_5010	set:bedwar_taunt.json image:g1008_boy_taunt_10	5010	0	1	700	得意洋洋	68.0
5011	5	6	68	#	CustomShopGoods_Name_5011	set:bedwar_taunt.json image:g1008_boy_taunt_11	5011	0	1	800	你过来啊	68.0
5012	5	6	388	#	CustomShopGoods_Name_5012	set:bedwar_license_reward.json image:g1008_boy_taunt_12	5012	0	1	20	倒立	388.0
5013	5	6	588	#	CustomShopGoods_Name_5013	set:bedwar_license_reward.json image:g1008_boy_taunt_13	5013	0	1	10	蹬腿舞	588.0
6001	6	5	188	#	CustomShopGoods_Name_6001	set:effectArrow_icon.json image:g1008_icon_arrow_1	6001	0	1	300	冰晶箭	188.0
6002	6	5	358	#	CustomShopGoods_Name_6002	set:effectArrow_icon.json image:g1008_icon_arrow_2	6002	0	1	800	飞剑	358.0
6003	6	5	588	#	CustomShopGoods_Name_6003	set:effectArrow_icon.json image:g1008_icon_arrow_3	6003	0	1	1000	光箭	588.0
6004	6	5	588	#	CustomShopGoods_Name_6004	set:effectArrow_icon.json image:g1008_icon_arrow_4	6004	0	1	200	火箭	588.0
6005	6	5	188	#	CustomShopGoods_Name_6005	set:effectArrow_icon.json image:g1008_icon_arrow_5	6005	0	1	600	幽火箭	188.0
6006	6	5	188	#	CustomShopGoods_Name_6006	set:effectArrow_icon.json image:g1008_icon_arrow_6	6006	0	1	400	绿箭	188.0
6007	6	5	588	#	CustomShopGoods_Name_6007	set:effectArrow_icon.json image:g1008_icon_arrow_7	6007	0	1	900	魔法箭	588.0
6008	6	5	358	#	CustomShopGoods_Name_6008	set:effectArrow_icon.json image:g1008_icon_arrow_8	6008	0	1	700	雷电箭	358.0
6009	6	5	588	#	CustomShopGoods_Name_6009	set:effectArrow_icon.json image:g1008_icon_arrow_9	6009	0	1	500	能量箭	588.0
6010	6	5	358	#	CustomShopGoods_Name_6010	set:effectArrow_icon.json image:g1008_icon_arrow_10	6010	0	1	100	蔷薇箭	358.0
6011	6	5	588	#	CustomShopGoods_Name_6011	set:effectArrow_icon.json image:g1008_icon_arrow_11	6011	0	1	10	星辰箭	588.0
6012	6	5	588	#	CustomShopGoods_Name_6012	set:effectArrow_icon.json image:g1008_icon_arrow_12	6012	0	4	1100	心箭	588.0
6013	6	5	588	#	CustomShopGoods_Name_6013	set:bedwar_license_reward.json image:g1008_icon_arrow_13	6013	0	1	20	螺旋箭	588.0
6014	6	5	358	#	CustomShopGoods_Name_6014	set:bedwar_license_reward.json image:g1008_icon_arrow_14	6014	0	1	30	闪电箭	358.0
7001	7	2	358	#	CustomShopGoods_Name_7001	set:SwordLightIcon.json image:g1008_icon_daoguang_2	7001	0	1	400	水流刀光	358.0
7002	7	2	588	#	CustomShopGoods_Name_7002	set:SwordLightIcon.json image:g1008_icon_daoguang_1	7002	0	1	1000	闪光刀光	588.0
7003	7	2	988	#	CustomShopGoods_Name_7003	set:SwordLightIcon.json image:g1008_icon_daoguang_3	7003	0	1	800	星星刀光	988.0
7004	7	2	358	#	CustomShopGoods_Name_7004	set:SwordLightIcon.json image:g1008_icon_daoguang_4	7004	0	1	100	光线刀光	358.0
7005	7	2	988	#	CustomShopGoods_Name_7005	set:SwordLightIcon.json image:g1008_icon_daoguang_5	7005	0	1	200	火焰刀光	988.0
7006	7	2	588	#	CustomShopGoods_Name_7006	set:SwordLightIcon.json image:g1008_icon_daoguang_6	7006	0	1	500	科技刀光	588.0
7007	7	2	988	#	CustomShopGoods_Name_7007	set:SwordLightIcon.json image:g1008_icon_daoguang_7	7007	0	1	700	幻影刀光	988.0
7008	7	2	988	#	CustomShopGoods_Name_7008	set:SwordLightIcon.json image:g1008_icon_daoguang_8	7008	0	1	900	泡泡刀光	988.0
7009	7	2	358	#	CustomShopGoods_Name_7009	set:SwordLightIcon.json image:g1008_icon_daoguang_9	7009	0	1	600	幽魂刀光	358.0
7010	7	2	588	#	CustomShopGoods_Name_7010	set:SwordLightIcon.json image:g1008_icon_daoguang_10	7010	0	1	300	猫脸刀光	588.0
7011	7	2	358	#	CustomShopGoods_Name_7011	set:SwordLightIcon.json image:g1008_icon_daoguang_11	7011	0	1	10	量子刀光	358.0
7012	7	2	588	#	CustomShopGoods_Name_7012	set:SwordLightIcon.json image:g1008_icon_daoguang_12	7012	0	4	1100	霓虹刀光	588.0
7013	7	2	588	#	CustomShopGoods_Name_7013	set:bedwar_license_reward.json image:g1008_icon_daoguang_13	7013	0	1	20	黑暗刀光	588.0
7014	7	2	988	#	CustomShopGoods_Name_7014	set:bedwar_license_reward.json image:g1008_icon_daoguang_14	7014	0	1	30	冰冻刀光	988.0
