NPC_ID	mapId	NPC模型	NPC名称（多语言）	NPC（x坐标）	NPC（y坐标）	NPC（z坐标）	NPC转向	NPC类型（1：道具商人，2：升级商人）	Unnamed: 9	备注	放setting表
35	5	npc103.actor	gui_bed_war_shop_title1	2147.5	79.5	130.5	180	1		黄道具	海盗
36	5	npc102.actor	gui_bed_war_lvshop_title1	2145.5	79.5	130.5	180	2		黄升级	海盗
37	5	npc103.actor	gui_bed_war_shop_title1	2229.5	79.5	202.5	90	1		蓝道具	海盗
38	5	npc102.actor	gui_bed_war_lvshop_title1	2229.5	79.5	204.5	90	2		蓝升级	海盗
39	5	npc103.actor	gui_bed_war_shop_title1	2301.5	79.5	120.5	0	1		绿道具	海盗
40	5	npc102.actor	gui_bed_war_lvshop_title1	2303.5	79.5	120.5	0	2		绿升级	海盗
41	6	npc103.actor	gui_bed_war_shop_title1	2821.5	76.5	97.5	180	1		红道具	太极
42	6	npc102.actor	gui_bed_war_lvshop_title1	2825.5	76.5	97.5	180	2		红升级	太极
43	6	npc103.actor	gui_bed_war_shop_title1	2898.5	76.5	164.5	90	1		黄道具	太极
44	6	npc102.actor	gui_bed_war_lvshop_title1	2898.5	76.5	160.5	90	2		黄升级	太极
45	6	npc103.actor	gui_bed_war_shop_title1	2965.5	76.5	87.5	0	1		蓝道具	太极
46	6	npc102.actor	gui_bed_war_lvshop_title1	2961.5	76.5	87.5	0	2		蓝升级	太极
47	6	npc103.actor	gui_bed_war_shop_title1	2888.5	76.5	20.5	270	1		绿道具	太极
48	6	npc102.actor	gui_bed_war_lvshop_title1	2888.5	76.5	24.5	270	2		绿升级	太极
49	7	npc103.actor	gui_bed_war_shop_title1	500.5	61.5	419.5	90	1		红道具	圣殿
50	7	npc102.actor	gui_bed_war_lvshop_title1	500.5	61.5	423.5	90	2		红升级	圣殿
51	7	npc103.actor	gui_bed_war_shop_title1	544.5	61.5	463.5	0	1		蓝道具	圣殿
52	7	npc102.actor	gui_bed_war_lvshop_title1	540.5	61.5	463.5	0	2		蓝升级	圣殿
53	7	npc103.actor	gui_bed_war_shop_title1	544.5	61.5	507.5	180	1		绿道具	圣殿
54	7	npc102.actor	gui_bed_war_lvshop_title1	540.5	61.5	507.5	180	2		绿升级	圣殿
55	7	npc103.actor	gui_bed_war_shop_title1	500.5	61.5	551.5	90	1		黄道具	圣殿
56	7	npc102.actor	gui_bed_war_lvshop_title1	500.5	61.5	547.5	90	2		黄升级	圣殿
57	7	npc103.actor	gui_bed_war_shop_title1	456.5	61.5	551.5	270	1		青道具	圣殿
58	7	npc102.actor	gui_bed_war_lvshop_title1	456.5	61.5	547.5	270	2		青升级	圣殿
59	7	npc103.actor	gui_bed_war_shop_title1	412.5	61.5	507.5	180	1		白道具	圣殿
60	7	npc102.actor	gui_bed_war_lvshop_title1	416.5	61.5	507.5	180	2		白升级	圣殿
61	7	npc103.actor	gui_bed_war_shop_title1	412.5	61.5	463.5	0	1		粉道具	圣殿
62	7	npc102.actor	gui_bed_war_lvshop_title1	416.5	61.5	463.5	0	2		粉升级	圣殿
63	7	npc103.actor	gui_bed_war_shop_title1	456.5	61.5	419.5	270	1		黑道具	圣殿
64	7	npc102.actor	gui_bed_war_lvshop_title1	456.5	61.5	423.5	270	2		黑升级	圣殿
65	8	npc103.actor	gui_bed_war_shop_title1	112.5	62.5	425.5	270	1		红道具	气球
66	8	npc102.actor	gui_bed_war_lvshop_title1	112.5	62.5	428.5	270	2		红升级	气球
67	8	npc103.actor	gui_bed_war_shop_title1	167.5	62.5	480.5	180	1		蓝道具	气球
68	8	npc102.actor	gui_bed_war_lvshop_title1	164.5	62.5	480.5	180	2		蓝升级	气球
69	8	npc103.actor	gui_bed_war_shop_title1	167.5	62.5	512.5	0	1		绿道具	气球
70	8	npc102.actor	gui_bed_war_lvshop_title1	164.5	62.5	512.5	0	2		绿升级	气球
71	8	npc103.actor	gui_bed_war_shop_title1	112.5	62.5	567.5	270	1		黄道具	气球
72	8	npc102.actor	gui_bed_war_lvshop_title1	112.5	62.5	564.5	270	2		黄升级	气球
73	8	npc103.actor	gui_bed_war_shop_title1	80.5	62.5	567.5	90	1		青道具	气球
74	8	npc102.actor	gui_bed_war_lvshop_title1	80.5	62.5	564.5	90	2		青升级	气球
75	8	npc103.actor	gui_bed_war_shop_title1	25.5	62.5	512.5	0	1		白道具	气球
76	8	npc102.actor	gui_bed_war_lvshop_title1	28.5	62.5	512.5	0	2		白升级	气球
77	8	npc103.actor	gui_bed_war_shop_title1	25.5	62.5	480.5	180	1		粉道具	气球
78	8	npc102.actor	gui_bed_war_lvshop_title1	28.5	62.5	480.5	180	2		粉升级	气球
79	8	npc103.actor	gui_bed_war_shop_title1	80.5	62.5	425.5	90	1		黑道具	气球
80	8	npc102.actor	gui_bed_war_lvshop_title1	80.5	62.5	428.5	90	2		黑升级	气球
81	9	npc103.actor	gui_bed_war_shop_title1	812.5	100.5	448.5	0	1		红道具	精灵
82	9	npc102.actor	gui_bed_war_lvshop_title1	815.5	100.5	448.5	0	2		红升级	精灵
83	9	npc103.actor	gui_bed_war_shop_title1	847.5	100.5	413.5	270	1		蓝道具	精灵
84	9	npc102.actor	gui_bed_war_lvshop_title1	847.5	100.5	416.5	270	2		蓝升级	精灵
85	9	npc103.actor	gui_bed_war_shop_title1	901.5	100.5	413.5	90	1		绿道具	精灵
86	9	npc102.actor	gui_bed_war_lvshop_title1	901.5	100.5	416.5	90	2		绿升级	精灵
87	9	npc103.actor	gui_bed_war_shop_title1	936.5	100.5	448.5	0	1		黄道具	精灵
88	9	npc102.actor	gui_bed_war_lvshop_title1	933.5	100.5	448.5	0	2		黄升级	精灵
89	9	npc103.actor	gui_bed_war_shop_title1	936.5	100.5	502.5	180	1		青道具	精灵
90	9	npc102.actor	gui_bed_war_lvshop_title1	933.5	100.5	502.5	180	2		青升级	精灵
91	9	npc103.actor	gui_bed_war_shop_title1	901.5	100.5	537.5	90	1		白道具	精灵
92	9	npc102.actor	gui_bed_war_lvshop_title1	901.5	100.5	534.5	90	2		白升级	精灵
93	9	npc103.actor	gui_bed_war_shop_title1	847.5	100.5	537.5	270	1		粉道具	精灵
94	9	npc102.actor	gui_bed_war_lvshop_title1	847.5	100.5	534.5	270	2		粉升级	精灵
95	9	npc103.actor	gui_bed_war_shop_title1	812.5	100.5	502.5	180	1		黑道具	精灵
96	9	npc102.actor	gui_bed_war_lvshop_title1	815.5	100.5	502.5	180	2		黑升级	精灵
