index	mapId	公共资源点Id	资源点ID	actor头顶信息	资源点模型	资源点body	资源点body索引	actor位置	Unnamed: 9	备注	放setting
43	7	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	459.5,57,504.5		绿宝石3	圣殿
44	7	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	497.5,57,504.5		绿宝石4	圣殿
45	8	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	96.5,61.5,459.5		钻石1	气球
46	8	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	59.5,61.5,496.5		钻石2	气球
47	8	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	96.5,61.5,533.5		钻石3	气球
48	8	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	133.5,61.5,496.5		钻石4	气球
49	8	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	96.5,61.5,480.5		绿宝石1	气球
50	8	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	80.5,61.5,496.5		绿宝石2	气球
51	8	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	96.5,61.5,512.5		绿宝石3	气球
52	8	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	112.5,61.5,496.5		绿宝石4	气球
53	9	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	874.5,97.5,509.5		钻石1	精灵
54	9	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	908.5,97.5,475.5		钻石2	精灵
55	9	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	874.5,96.5,441.5		钻石3	精灵
56	9	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	840.5,97.5,475.5		钻石4	精灵
57	9	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	886.5,97.5,491.5		绿宝石1	精灵
58	9	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	891.5,97.5,464.5		绿宝石2	精灵
59	9	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	861.5,97.5,459.5		绿宝石3	精灵
60	9	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	856.5,97.5,485.5		绿宝石4	精灵
