序号	奖品组id	真实奖励id	数量	图片	品质	图片缩放（填#为原始大小）	奖励类型	奖品名多语言	奖品描述多语言	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18
10016	300006	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10017	300007	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞								
10018	300007	30017	100	set:bedwar_xindaoju.json image:g1008_traps	yellow	1	RewardSetting	CommodityMechant_name_5_71	CommodityMechant_desc_5_71	冰冻夹子								
10019	300007	30019	100	set:bedwaritem.json image:tower	yellow	1	RewardSetting	CommodityMechant_name_5_52	CommodityMechant_desc_5_52	防御塔								
10020	300007	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10021	300008	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴								
10022	300008	30008	100	set:bedwar_item.json image:g1008_props_pearl	yellow	1	RewardSetting	ShopConfig_name_6	DressSetting_des_30008	闪现珍珠								
10023	300008	30023	50	set:bedwar_item.json image:g1008_props_fadePotion	yellow	1	RewardSetting	CommodityMechant_name_5_58	CommodityMechant_desc_5_58	隐身药水								
10024	300008	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10025	300009	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10026	300009	30005	12	set:bedwar_item.json image:g1008_props_stick	yellow	1	RewardSetting	ShopConfig_name_3	ShopConfig_desc_3	击退棒								
10027	300009	30012	60	set:bedwar_xindaoju.json image:g1008_daqiaodan	yellow	1	RewardSetting	CommodityMechant_name_5_65	CommodityMechant_desc_5_65	搭桥蛋（新）								
10028	300009	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10029	300010	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞								
10030	300010	30014	30	set:bedwaritem.json image:jiuyuanpingtai_big	yellow	1	RewardSetting	CommodityMechant_name_5_54	CommodityMechant_desc_5_54	救援平台								
10031	300010	30010	50	set:bedwar_item.json image:g1008_props_flameBomb	yellow	1	RewardSetting	CommodityMechant_name_5_49	CommodityMechant_desc_5_49	火焰弹								
10032	300010	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10033	300011	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴								
10034	300011	30011	100	set:bedwar_item.json image:g1008_props_goldenApple	yellow	1	RewardSetting	CommodityMechant_name_5_55	CommodityMechant_desc_5_55	金苹果								
10035	300011	30017	100	set:bedwar_xindaoju.json image:g1008_traps	yellow	1	RewardSetting	CommodityMechant_name_5_71	CommodityMechant_desc_5_71	冰冻夹子								
10036	300011	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10037	300012	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10038	300012	30022	100	set:bedwar_item.json image:g1008_props_jumpPotion	yellow	1	RewardSetting	CommodityMechant_name_5_57	CommodityMechant_desc_5_57	跳跃药水								
10039	300012	30024	100	set:bedwar_item.json image:g1008_props_quickPotion	yellow	1	RewardSetting	CommodityMechant_name_5_59	CommodityMechant_desc_5_59	加速药水								
10040	300012	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10041	300013	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞								
10042	300013	30023	50	set:bedwar_item.json image:g1008_props_fadePotion	yellow	1	RewardSetting	CommodityMechant_name_5_58	CommodityMechant_desc_5_58	隐身药水								
10043	300013	30006	20	set:bedwaritem.json image:heiyaoshi	yellow	1	RewardSetting	ShopConfig_name_4	DressSetting_des_30006	黑曜石								
10044	300013	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10045	300014	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴								
10046	300014	30015	100	set:bedwar_xindaoju.json image:g1008_radar	yellow	1	RewardSetting	CommodityMechant_name_5_72	CommodityMechant_desc_5_72	报警器								
10047	300014	30008	100	set:bedwar_item.json image:g1008_props_pearl	yellow	1	RewardSetting	ShopConfig_name_6	DressSetting_des_30008	闪现珍珠								
10048	300014	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10049	300015	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10050	300015	30010	50	set:bedwar_item.json image:g1008_props_flameBomb	yellow	1	RewardSetting	CommodityMechant_name_5_49	CommodityMechant_desc_5_49	火焰弹								
10051	300015	30002	2000	set:bedwar_item.json image:g1008_props_iron	yellow	1	RewardSetting	ShopConfig_name_2	ShopConfig_name_2	铁锭								
10052	300015	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10053	300016	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞								
10054	300016	30001	400	set:bedwar_item.json image:g1008_props_gold	yellow	1	RewardSetting	ShopConfig_name_1	ShopConfig_name_1	金锭								
10055	300016	30014	30	set:bedwaritem.json image:jiuyuanpingtai_big	yellow	1	RewardSetting	CommodityMechant_name_5_54	CommodityMechant_desc_5_54	救援平台								
10056	300016	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10057	201100	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10058	201100	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴								
10059	201100	30023	50	set:bedwar_item.json image:g1008_props_fadePotion	yellow	1	RewardSetting	CommodityMechant_name_5_58	CommodityMechant_desc_5_58	隐身药水								
10060	201100	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10061	201300	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞								
10062	201300	30011	100	set:bedwar_item.json image:g1008_props_goldenApple	yellow	1	RewardSetting	CommodityMechant_name_5_55	CommodityMechant_desc_5_55	金苹果								
10063	201300	30010	50	set:bedwar_item.json image:g1008_props_flameBomb	yellow	1	RewardSetting	CommodityMechant_name_5_49	CommodityMechant_desc_5_49	火焰弹								
10064	201300	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10065	201500	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴								
10066	201500	30002	2000	set:bedwar_item.json image:g1008_props_iron	yellow	1	RewardSetting	ShopConfig_name_2	ShopConfig_name_2	铁锭								
10067	201500	30001	400	set:bedwar_item.json image:g1008_props_gold	yellow	1	RewardSetting	ShopConfig_name_1	ShopConfig_name_1	金锭								
10068	201500	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10069	201700	30007	20	set:bedwaritem.json image:TNT	yellow	1	RewardSetting	ShopConfig_name_5	DressSetting_des_30007	TNT								
10070	201700	30016	100	set:bedwar_xindaoju.json image:g1008_diamond_mines	yellow	1	RewardSetting	CommodityMechant_name_5_70	CommodityMechant_desc_5_70	伪装地雷								
10071	201700	30006	20	set:bedwaritem.json image:heiyaoshi	yellow	1	RewardSetting	ShopConfig_name_4	DressSetting_des_30006	黑曜石								
10072	201700	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10073	201900	30003	30	set:bedwar_xindaoju.json image:g1008_paragliders	yellow	1	RewardSetting	CommodityMechant_name_5_69	CommodityMechant_desc_5_69	滑翔伞								
10074	201900	30014	30	set:bedwaritem.json image:jiuyuanpingtai_big	yellow	1	RewardSetting	CommodityMechant_name_5_54	CommodityMechant_desc_5_54	救援平台								
10075	201900	30019	100	set:bedwaritem.json image:tower	yellow	1	RewardSetting	CommodityMechant_name_5_52	CommodityMechant_desc_5_52	防御塔								
10076	201900	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
10077	202100	30004	3	set:bedwar_xindaoju.json image:g1008_dragon_knight	yellow	1	RewardSetting	CommodityMechant_name_5_66	CommodityMechant_desc_5_66	末影龙卷轴								
10078	202100	30005	12	set:bedwar_item.json image:g1008_props_stick	yellow	1	RewardSetting	ShopConfig_name_3	ShopConfig_desc_3	击退棒								
10079	202100	30013	100	set:bedwar_xindaoju.json image:g1008_shuiqingqiu	yellow	1	RewardSetting	CommodityMechant_name_5_68	CommodityMechant_desc_5_68	回溯珍珠								
10080	202100	60101	200	set:icon_haojiao.json image:yaoshi	yellow	1	RewardSetting	LicenseReward_Name_60101	LicenseReward_desc_60101	钥匙								
