NPC_ID	mapId	NPC模型	NPC名称（多语言）	NPC（x坐标）	NPC（y坐标）	NPC（z坐标）	NPC转向	NPC类型（1：道具商人，2：升级商人）	Unnamed: 9	备注	放setting表
35	5	npc103.actor	gui_bed_war_shop_title1	2147.5	79.5	130.5	180	1		黄道具	海盗
36	5	npc102.actor	gui_bed_war_lvshop_title1	2145.5	79.5	130.5	180	2		黄升级	海盗
37	5	npc103.actor	gui_bed_war_shop_title1	2229.5	79.5	202.5	90	1		蓝道具	海盗
38	5	npc102.actor	gui_bed_war_lvshop_title1	2229.5	79.5	204.5	90	2		蓝升级	海盗
39	5	npc103.actor	gui_bed_war_shop_title1	2301.5	79.5	120.5	0	1		绿道具	海盗
40	5	npc102.actor	gui_bed_war_lvshop_title1	2303.5	79.5	120.5	0	2		绿升级	海盗
41	6	npc103.actor	gui_bed_war_shop_title1	2878.5	86.5	12.5	270	1		红道具	圣诞节
42	6	npc102.actor	gui_bed_war_lvshop_title1	2878.5	86.5	8.5	270	2		红升级	圣诞节
43	6	npc103.actor	gui_bed_war_shop_title1	2958.5	86.5	78.5	0	1		黄道具	圣诞节
44	6	npc102.actor	gui_bed_war_lvshop_title1	2962.5	86.5	78.5	0	2		黄升级	圣诞节
45	6	npc103.actor	gui_bed_war_shop_title1	2892.5	86.5	158.5	90	1		蓝道具	圣诞节
46	6	npc102.actor	gui_bed_war_lvshop_title1	2892.5	86.5	162.5	90	2		蓝升级	圣诞节
47	6	npc103.actor	gui_bed_war_shop_title1	2812.5	86.5	92.5	180	1		绿道具	圣诞节
48	6	npc102.actor	gui_bed_war_lvshop_title1	2808.5	86.5	92.5	180	2		绿升级	圣诞节
49	7	npc103.actor	gui_bed_war_shop_title1	500.5	61.5	419.5	90	1		红道具	圣殿
50	7	npc102.actor	gui_bed_war_lvshop_title1	500.5	61.5	423.5	90	2		红升级	圣殿
51	7	npc103.actor	gui_bed_war_shop_title1	544.5	61.5	463.5	0	1		蓝道具	圣殿
52	7	npc102.actor	gui_bed_war_lvshop_title1	540.5	61.5	463.5	0	2		蓝升级	圣殿
53	7	npc103.actor	gui_bed_war_shop_title1	544.5	61.5	507.5	180	1		绿道具	圣殿
54	7	npc102.actor	gui_bed_war_lvshop_title1	540.5	61.5	507.5	180	2		绿升级	圣殿
55	7	npc103.actor	gui_bed_war_shop_title1	500.5	61.5	551.5	90	1		黄道具	圣殿
56	7	npc102.actor	gui_bed_war_lvshop_title1	500.5	61.5	547.5	90	2		黄升级	圣殿
57	7	npc103.actor	gui_bed_war_shop_title1	456.5	61.5	551.5	270	1		青道具	圣殿
58	7	npc102.actor	gui_bed_war_lvshop_title1	456.5	61.5	547.5	270	2		青升级	圣殿
59	7	npc103.actor	gui_bed_war_shop_title1	412.5	61.5	507.5	180	1		白道具	圣殿
60	7	npc102.actor	gui_bed_war_lvshop_title1	416.5	61.5	507.5	180	2		白升级	圣殿
61	7	npc103.actor	gui_bed_war_shop_title1	412.5	61.5	463.5	0	1		粉道具	圣殿
62	7	npc102.actor	gui_bed_war_lvshop_title1	416.5	61.5	463.5	0	2		粉升级	圣殿
63	7	npc103.actor	gui_bed_war_shop_title1	456.5	61.5	419.5	270	1		黑道具	圣殿
64	7	npc102.actor	gui_bed_war_lvshop_title1	456.5	61.5	423.5	270	2		黑升级	圣殿
65	8	npc103.actor	gui_bed_war_shop_title1	112.5	62.5	425.5	270	1		红道具	气球
66	8	npc102.actor	gui_bed_war_lvshop_title1	112.5	62.5	428.5	270	2		红升级	气球
67	8	npc103.actor	gui_bed_war_shop_title1	167.5	62.5	480.5	180	1		蓝道具	气球
68	8	npc102.actor	gui_bed_war_lvshop_title1	164.5	62.5	480.5	180	2		蓝升级	气球
69	8	npc103.actor	gui_bed_war_shop_title1	167.5	62.5	512.5	0	1		绿道具	气球
70	8	npc102.actor	gui_bed_war_lvshop_title1	164.5	62.5	512.5	0	2		绿升级	气球
71	8	npc103.actor	gui_bed_war_shop_title1	112.5	62.5	567.5	270	1		黄道具	气球
72	8	npc102.actor	gui_bed_war_lvshop_title1	112.5	62.5	564.5	270	2		黄升级	气球
73	8	npc103.actor	gui_bed_war_shop_title1	80.5	62.5	567.5	90	1		青道具	气球
74	8	npc102.actor	gui_bed_war_lvshop_title1	80.5	62.5	564.5	90	2		青升级	气球
75	8	npc103.actor	gui_bed_war_shop_title1	25.5	62.5	512.5	0	1		白道具	气球
76	8	npc102.actor	gui_bed_war_lvshop_title1	28.5	62.5	512.5	0	2		白升级	气球
77	8	npc103.actor	gui_bed_war_shop_title1	25.5	62.5	480.5	180	1		粉道具	气球
78	8	npc102.actor	gui_bed_war_lvshop_title1	28.5	62.5	480.5	180	2		粉升级	气球
79	8	npc103.actor	gui_bed_war_shop_title1	80.5	62.5	425.5	90	1		黑道具	气球
80	8	npc102.actor	gui_bed_war_lvshop_title1	80.5	62.5	428.5	90	2		黑升级	气球
81	9	npc103.actor	gui_bed_war_shop_title1	812.5	100.5	448.5	0	1		红道具	精灵
82	9	npc102.actor	gui_bed_war_lvshop_title1	815.5	100.5	448.5	0	2		红升级	精灵
83	9	npc103.actor	gui_bed_war_shop_title1	847.5	100.5	413.5	270	1		蓝道具	精灵
84	9	npc102.actor	gui_bed_war_lvshop_title1	847.5	100.5	416.5	270	2		蓝升级	精灵
85	9	npc103.actor	gui_bed_war_shop_title1	901.5	100.5	413.5	90	1		绿道具	精灵
86	9	npc102.actor	gui_bed_war_lvshop_title1	901.5	100.5	416.5	90	2		绿升级	精灵
87	9	npc103.actor	gui_bed_war_shop_title1	936.5	100.5	448.5	0	1		黄道具	精灵
88	9	npc102.actor	gui_bed_war_lvshop_title1	933.5	100.5	448.5	0	2		黄升级	精灵
89	9	npc103.actor	gui_bed_war_shop_title1	936.5	100.5	502.5	180	1		青道具	精灵
90	9	npc102.actor	gui_bed_war_lvshop_title1	933.5	100.5	502.5	180	2		青升级	精灵
91	9	npc103.actor	gui_bed_war_shop_title1	901.5	100.5	537.5	90	1		白道具	精灵
92	9	npc102.actor	gui_bed_war_lvshop_title1	901.5	100.5	534.5	90	2		白升级	精灵
93	9	npc103.actor	gui_bed_war_shop_title1	847.5	100.5	537.5	270	1		粉道具	精灵
94	9	npc102.actor	gui_bed_war_lvshop_title1	847.5	100.5	534.5	270	2		粉升级	精灵
95	9	npc103.actor	gui_bed_war_shop_title1	812.5	100.5	502.5	180	1		黑道具	精灵
96	9	npc102.actor	gui_bed_war_lvshop_title1	815.5	100.5	502.5	180	2		黑升级	精灵
97	10	npc103.actor	gui_bed_war_shop_title1	1302.5	84	411.5	90	1		红道具	8队圣诞节
98	10	npc102.actor	gui_bed_war_lvshop_title1	1302.5	84	414.5	90	2		红升级	8队圣诞节
99	10	npc103.actor	gui_bed_war_shop_title1	1343.5	84	452.5	0	1		蓝道具	8队圣诞节
100	10	npc102.actor	gui_bed_war_lvshop_title1	1340.5	84	452.5	0	2		蓝升级	8队圣诞节
101	10	npc103.actor	gui_bed_war_shop_title1	1343.5	84	502.5	180	1		绿道具	8队圣诞节
102	10	npc102.actor	gui_bed_war_lvshop_title1	1340.5	84	502.5	180	2		绿升级	8队圣诞节
103	10	npc103.actor	gui_bed_war_shop_title1	1302.5	84	543.5	90	1		黄道具	8队圣诞节
104	10	npc102.actor	gui_bed_war_lvshop_title1	1302.5	84	540.5	90	2		黄升级	8队圣诞节
105	10	npc103.actor	gui_bed_war_shop_title1	1252.5	84	543.5	270	1		青道具	8队圣诞节
106	10	npc102.actor	gui_bed_war_lvshop_title1	1252.5	84	540.5	270	2		青升级	8队圣诞节
107	10	npc103.actor	gui_bed_war_shop_title1	1211.5	84	502.5	180	1		白道具	8队圣诞节
108	10	npc102.actor	gui_bed_war_lvshop_title1	1214.5	84	502.5	180	2		白升级	8队圣诞节
109	10	npc103.actor	gui_bed_war_shop_title1	1211.5	84	452.5	0	1		粉道具	8队圣诞节
110	10	npc102.actor	gui_bed_war_lvshop_title1	1214.5	84	452.5	0	2		粉升级	8队圣诞节
111	10	npc103.actor	gui_bed_war_shop_title1	1252.5	84	411.5	270	1		黑道具	8队圣诞节
112	10	npc102.actor	gui_bed_war_lvshop_title1	1252.5	84	414.5	270	2		黑升级	8队圣诞节
113	11	npc103.actor	gui_bed_war_shop_title1	3418.5	80	29.5	90	1		红道具	太空
114	11	npc102.actor	gui_bed_war_lvshop_title1	3404.5	80	29.5	270	2		红升级	太空
115	11	npc103.actor	gui_bed_war_shop_title1	3493.5	80	118.5	180	1		黄道具	太空
116	11	npc102.actor	gui_bed_war_lvshop_title1	3493.5	80	104.5	0	2		黄升级	太空
117	11	npc103.actor	gui_bed_war_shop_title1	3404.5	80	193.5	270	1		蓝道具	太空
118	11	npc102.actor	gui_bed_war_lvshop_title1	3418.5	80	193.5	90	2		蓝升级	太空
119	11	npc103.actor	gui_bed_war_shop_title1	3329.5	80	104.5	0	1		绿道具	太空
120	11	npc102.actor	gui_bed_war_lvshop_title1	3329.5	80	118.5	180	2		绿升级	太空
121	12	npc103.actor	gui_bed_war_shop_title1	3978.5	81	12.5	90	1		红道具	风车
122	12	npc102.actor	gui_bed_war_lvshop_title1	3978.5	81	15.5	90	2		红升级	风车
123	12	npc103.actor	gui_bed_war_shop_title1	4032.5	81	78.5	180	1		黄道具	风车
124	12	npc102.actor	gui_bed_war_lvshop_title1	4029.5	81	78.5	180	2		黄升级	风车
125	12	npc103.actor	gui_bed_war_shop_title1	3966.5	81	132.5	270	1		蓝道具	风车
126	12	npc102.actor	gui_bed_war_lvshop_title1	3966.5	81	129.5	270	2		蓝升级	风车
127	12	npc103.actor	gui_bed_war_shop_title1	3912.5	81	66.5	0	1		绿道具	风车
128	12	npc102.actor	gui_bed_war_lvshop_title1	3915.5	81	66.5	0	2		绿升级	风车
129	13	npc103.actor	gui_bed_war_shop_title1	4599.5	81	19.5	270	1		红道具	城堡
130	13	npc102.actor	gui_bed_war_lvshop_title1	4599.5	81	23.5	270	2		红升级	城堡
131	13	npc103.actor	gui_bed_war_shop_title1	4695.5	81	99.5	0	1		黄道具	城堡
132	13	npc102.actor	gui_bed_war_lvshop_title1	4691.5	81	99.5	0	2		黄升级	城堡
133	13	npc103.actor	gui_bed_war_shop_title1	4615.5	81	195.5	90	1		蓝道具	城堡
134	13	npc102.actor	gui_bed_war_lvshop_title1	4615.5	81	191.5	90	2		蓝升级	城堡
135	13	npc103.actor	gui_bed_war_shop_title1	4519.5	81	115.5	180	1		绿道具	城堡
136	13	npc102.actor	gui_bed_war_lvshop_title1	4523.5	81	115.5	180	2		绿升级	城堡
137	14	npc103.actor	gui_bed_war_shop_title1	5085.5	82	3.5	0	1		红道具	儿童节
138	14	npc102.actor	gui_bed_war_lvshop_title1	5088.5	82	3.5	0	2		红升级	儿童节
139	14	npc103.actor	gui_bed_war_shop_title1	5169.5	82	85.5	90	1		黄道具	儿童节
140	14	npc102.actor	gui_bed_war_lvshop_title1	5169.5	82	88.5	90	2		黄升级	儿童节
141	14	npc103.actor	gui_bed_war_shop_title1	5087.5	82	169.5	180	1		蓝道具	儿童节
142	14	npc102.actor	gui_bed_war_lvshop_title1	5084.5	82	169.5	180	2		蓝升级	儿童节
143	14	npc103.actor	gui_bed_war_shop_title1	5003.5	82	87.5	270	1		绿道具	儿童节
144	14	npc102.actor	gui_bed_war_lvshop_title1	5003.5	82	84.5	270	2		绿升级	儿童节
