Id	Title	Name	Image	Desc	RewardId	RewardType	Count	IsCore(1为普通，2为核心)	CountText	Weight	SortWeight	Isenchant	Unnamed: 13	备注	品质	名字	Unnamed: 17	Unnamed: 18	Unnamed: 19
39	#	CommodityMechant_name_3_39	set:bedwar_item.json image:g1008_props_bow_1	#	124	100	1	1	1	160000	27015	0		160000	2	普通弓		102.0	道具
40	#	CommodityMechant_name_3_40	set:bedwar_item.json image:g1008_props_bow_1	LotteryRewardSetting_desc3_40	129	100	1	1	1	90000	12016	1		90000	3	中级弓		103.0	道具
41	#	CommodityMechant_name_3_41	set:bedwar_item.json image:g1008_props_bow_1	LotteryRewardSetting_desc3_41	112	100	1	2	1	40	2017	1		40	4	高级弓		104.0	道具
42	#	CommodityMechant_name_3_42	set:bedwar_item.json image:g1008_props_arrow_1	#	115	100	8	1	8	160000	27018	0		160000	2	箭		105.0	道具
43	#	CommodityMechant_name_4_43	set:bedwaritem.json image:yangmao	#	127	100	16	1	16	250000	37019	0		250000	1	羊毛		106.0	道具
44	#	CommodityMechant_name_4_44	set:bedwaritem.json image:modishi	#	123	100	6	1	6	160000	27020	0		160000	2	末地石		107.0	道具
45	#	CommodityMechant_name_4_45	set:bedwaritem.json image:ranseboli	#	125	100	6	1	6	160000	27021	0		160000	2	染色玻璃		108.0	道具
46	#	CommodityMechant_name_4_46	set:bedwaritem.json image:xiangmuban	#	126	100	16	1	16	160000	27022	0		160000	2	橡木板		109.0	道具
47	#	CommodityMechant_name_4_47	set:bedwaritem.json image:heiyaoshi	#	113	100	4	2	4	10	1023	0		10	5	黑曜石		110.0	火焰附魔
48	#	CommodityMechant_name_4_48	set:bedwaritem.json image:tizi	#	134	100	16	1	16	250000	37024	0		250000	1	梯子		111.0	击退棒
49	#	CommodityMechant_name_5_49	set:bedwar_item.json image:g1008_props_flameBomb	#	99	100	1	1	1	160000	27025	0		160000	2	火焰弹		112.0	武器
50	#	CommodityMechant_name_5_50	set:bedwar_item.json image:g1008_props_bucket	#	100	100	1	1	1	90000	12026	0		90000	3	水桶		113.0	方块
52	#	CommodityMechant_name_5_52	set:bedwaritem.json image:tower	#	102	100	1	1	1	90000	12027	0		90000	3	防御塔		114.0	工具
53	#	CommodityMechant_name_5_53	set:bedwaritem.json image:wall	#	103	100	1	1	1	250000	37028	0		250000	1	保护墙		115.0	武器
54	#	CommodityMechant_name_5_54	set:bedwaritem.json image:jiuyuanpingtai_big	#	104	100	1	1	1	160000	27029	0		160000	2	救援平台		116.0	金锭
55	#	CommodityMechant_name_5_55	set:bedwar_item.json image:g1008_props_goldenApple	#	105	100	1	1	1	160000	27030	0		160000	2	金苹果		117.0	搭桥蛋
56	#	CommodityMechant_name_5_56	set:bedwaritem.json image:haimian	#	106	100	4	1	4	250000	37031	0		250000	1	海绵		118.0	TNT
57	#	CommodityMechant_name_5_57	set:bedwar_item.json image:g1008_props_jumpPotion	#	107	100	1	1	1	90000	12032	0		90000	3	跳跃药水		119.0	铁锭
58	#	CommodityMechant_name_5_58	set:bedwar_item.json image:g1008_props_fadePotion	#	108	100	1	2	1	40	2033	0		40	4	隐身药水		120.0	闪现珍珠
59	#	CommodityMechant_name_5_59	set:bedwar_item.json image:g1008_props_quickPotion	#	109	100	1	1	1	90000	12034	0		90000	3	加速药水		121.0	金锭增长
60	#	ShopConfig_name_1	set:bedwar_item.json image:g1008_props_gold	#	116	100	12	1	12	250000	37035	0		250000	1	立刻获得12个金锭		122.0	快速复活
61	#	ShopConfig_name_2	set:bedwar_item.json image:g1008_props_iron	#	119	100	40	1	40	250000	37036	0		250000	1	立刻获得40个铁锭		123.0	方块
62	#	ShopConfig_name_3	set:bedwar_item.json image:g1008_props_stick	#	111	100	1	1	1	160000	27037	0		160000	2	附魔击退Ⅰ，可以把敌人打得更远		124.0	武器
64	#	ShopConfig_name_5	set:bedwaritem.json image:TNT	#	118	100	3	2	3	40	2038	0		40	4	立刻获得3个TNT		125.0	方块
65	#	ShopConfig_name_6	set:bedwar_item.json image:g1008_props_pearl	#	120	100	5	2	5	40	2039	0		40	4	立刻获得5个闪现珍珠		126.0	方块
66	#	ShopConfig_name_7	set:bedwar_item.json image:g1008_props_bridgeEgg	#	117	100	2	2	2	40	2040	0		40	4	立刻获得2个搭桥蛋		127.0	方块
67	#	ShopConfig_name_8	set:bedwaritem.json image:tequan_daoju	#	101	104	1	1	1	90000	12041	0		90000	3	在道具商店中购买道具会买一送一		128.0	道具特权
68	#	ShopConfig_name_9	set:bedwaritem.json image:tequan_hp	#	102	104	1	1	1	90000	12042	0		90000	3	最大生命值+5		129.0	武器
69	#	ShopConfig_name_10	set:bedwaritem.json image:tequan_jinding	#	103	104	1	1	1	90000	12043	0		90000	3	每10秒获得1个金锭		130.0	工具
70	#	ShopConfig_name_11	set:bedwaritem.json image:fm_sword_fire	#	104	104	1	2	1	40	2044	0		40	4	本局游戏中，你的剑会获得火焰附魔		131.0	工具
71	#	ShopConfig_name_12	set:bedwar_item.json image:g1008_props_resurrection	#	105	104	1	1	1	90000	12045	0		90000	3	每次死亡的时候可以选择立刻复活		132.0	生命值强化
