ItemId	Icon	Name	MeshName	ClassName	Params
3463	gun_62_chip_1	item.walkingDeathItem_207	g1051_suipian_purple.mesh	ItemCustom	#
3464	gun_62_chip_2	item.walkingDeathItem_208	g1051_suipian_purple.mesh	ItemCustom	#
3465	gun_62_chip_3	item.walkingDeathItem_209	g1051_suipian_purple.mesh	ItemCustom	#
3466	gun_62_chip_4	item.walkingDeathItem_210	g1051_suipian_purple.mesh	ItemCustom	#
3467	gun_72_chip_1	item.walkingDeathItem_211	g1051_suipian_blue.mesh	ItemCustom	#
3468	gun_72_chip_2	item.walkingDeathItem_212	g1051_suipian_blue.mesh	ItemCustom	#
3469	gun_72_chip_3	item.walkingDeathItem_213	g1051_suipian_blue.mesh	ItemCustom	#
3470	gun_109_chip_1	item.walkingDeathItem_214	g1051_suipian_blue.mesh	ItemCustom	#
3471	gun_109_chip_2	item.walkingDeathItem_215	g1051_suipian_blue.mesh	ItemCustom	#
3472	gun_109_chip_3	item.walkingDeathItem_216	g1051_suipian_blue.mesh	ItemCustom	#
3473	gun_70_chip_1	item.walkingDeathItem_217	g1051_suipian_blue.mesh	ItemCustom	#
3474	gun_70_chip_2	item.walkingDeathItem_218	g1051_suipian_blue.mesh	ItemCustom	#
3475	gun_70_chip_3	item.walkingDeathItem_219	g1051_suipian_blue.mesh	ItemCustom	#
3476	gun_91_chip_1	item.walkingDeathItem_220	g1051_suipian_blue.mesh	ItemCustom	#
3477	gun_91_chip_2	item.walkingDeathItem_221	g1051_suipian_blue.mesh	ItemCustom	#
3478	gun_91_chip_3	item.walkingDeathItem_222	g1051_suipian_blue.mesh	ItemCustom	#
3479	gun_140_chip_1	item.walkingDeathItem_223	g1051_suipian_blue.mesh	ItemCustom	#
3480	gun_140_chip_2	item.walkingDeathItem_224	g1051_suipian_blue.mesh	ItemCustom	#
3481	gun_140_chip_3	item.walkingDeathItem_225	g1051_suipian_blue.mesh	ItemCustom	#
3482	gun_64_chip_1	item.walkingDeathItem_226	g1051_suipian_blue.mesh	ItemCustom	#
3483	gun_64_chip_2	item.walkingDeathItem_227	g1051_suipian_blue.mesh	ItemCustom	#
3484	gun_64_chip_3	item.walkingDeathItem_228	g1051_suipian_blue.mesh	ItemCustom	#
3485	gun_142_chip_1	item.walkingDeathItem_229	g1051_suipian_purple.mesh	ItemCustom	#
3486	gun_142_chip_2	item.walkingDeathItem_230	g1051_suipian_purple.mesh	ItemCustom	#
3487	gun_142_chip_3	item.walkingDeathItem_231	g1051_suipian_purple.mesh	ItemCustom	#
3488	gun_142_chip_4	item.walkingDeathItem_232	g1051_suipian_purple.mesh	ItemCustom	#
3489	gun_63_chip_1	item.walkingDeathItem_233	g1051_suipian_purple.mesh	ItemCustom	#
3490	gun_63_chip_2	item.walkingDeathItem_234	g1051_suipian_purple.mesh	ItemCustom	#
3491	gun_63_chip_3	item.walkingDeathItem_235	g1051_suipian_purple.mesh	ItemCustom	#
3492	gun_63_chip_4	item.walkingDeathItem_236	g1051_suipian_purple.mesh	ItemCustom	#
3493	gun_141_chip_1	item.walkingDeathItem_237	g1051_suipian_purple.mesh	ItemCustom	#
3494	gun_141_chip_2	item.walkingDeathItem_238	g1051_suipian_purple.mesh	ItemCustom	#
3495	gun_141_chip_3	item.walkingDeathItem_239	g1051_suipian_purple.mesh	ItemCustom	#
3496	gun_141_chip_4	item.walkingDeathItem_240	g1051_suipian_purple.mesh	ItemCustom	#
3497	gun_65_chip_1	item.walkingDeathItem_241	g1051_suipian_purple.mesh	ItemCustom	#
3498	gun_65_chip_2	item.walkingDeathItem_242	g1051_suipian_purple.mesh	ItemCustom	#
3499	gun_65_chip_3	item.walkingDeathItem_243	g1051_suipian_purple.mesh	ItemCustom	#
3500	gun_65_chip_4	item.walkingDeathItem_244	g1051_suipian_purple.mesh	ItemCustom	#
3501	gun_128_chip_1	item.walkingDeathItem_245	g1051_suipian_purple.mesh	ItemCustom	#
3502	gun_128_chip_2	item.walkingDeathItem_246	g1051_suipian_purple.mesh	ItemCustom	#
3503	gun_128_chip_3	item.walkingDeathItem_247	g1051_suipian_purple.mesh	ItemCustom	#
3504	gun_128_chip_4	item.walkingDeathItem_248	g1051_suipian_purple.mesh	ItemCustom	#
3505	gun_98_chip_1	item.walkingDeathItem_249	g1051_suipian_purple.mesh	ItemCustom	#
3506	gun_98_chip_2	item.walkingDeathItem_250	g1051_suipian_purple.mesh	ItemCustom	#
3507	gun_98_chip_3	item.walkingDeathItem_251	g1051_suipian_purple.mesh	ItemCustom	#
3508	gun_98_chip_4	item.walkingDeathItem_252	g1051_suipian_purple.mesh	ItemCustom	#
3509	gun_130_chip_1	item.walkingDeathItem_253	g1051_suipian_purple.mesh	ItemCustom	#
3510	gun_130_chip_2	item.walkingDeathItem_254	g1051_suipian_purple.mesh	ItemCustom	#
3511	gun_130_chip_3	item.walkingDeathItem_255	g1051_suipian_purple.mesh	ItemCustom	#
3512	gun_130_chip_4	item.walkingDeathItem_256	g1051_suipian_purple.mesh	ItemCustom	#
3513	gun_84_chip_1	item.walkingDeathItem_257	g1051_suipian_blue.mesh	ItemCustom	#
3514	gun_84_chip_2	item.walkingDeathItem_258	g1051_suipian_blue.mesh	ItemCustom	#
3515	gun_84_chip_3	item.walkingDeathItem_259	g1051_suipian_blue.mesh	ItemCustom	#
3516	gun_134_chip_1	item.walkingDeathItem_260	g1051_suipian_blue.mesh	ItemCustom	#
3517	gun_134_chip_2	item.walkingDeathItem_261	g1051_suipian_blue.mesh	ItemCustom	#
3518	gun_134_chip_3	item.walkingDeathItem_262	g1051_suipian_blue.mesh	ItemCustom	#
3519	gun_100_chip_1	item.walkingDeathItem_263	g1051_suipian_purple.mesh	ItemCustom	#
3520	gun_100_chip_2	item.walkingDeathItem_264	g1051_suipian_purple.mesh	ItemCustom	#
3521	gun_100_chip_3	item.walkingDeathItem_265	g1051_suipian_purple.mesh	ItemCustom	#
3522	gun_100_chip_4	item.walkingDeathItem_266	g1051_suipian_purple.mesh	ItemCustom	#
3523	gun_135_chip_1	item.walkingDeathItem_267	g1051_suipian_purple.mesh	ItemCustom	#
3524	gun_135_chip_2	item.walkingDeathItem_268	g1051_suipian_purple.mesh	ItemCustom	#
3525	gun_135_chip_3	item.walkingDeathItem_269	g1051_suipian_purple.mesh	ItemCustom	#
3526	gun_135_chip_4	item.walkingDeathItem_270	g1051_suipian_purple.mesh	ItemCustom	#
