RecipeName	RecipeTab	RecipeAllWeight	Unnamed: 3	RecipeTypeWeight	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
diamond_chestplate	3	789	211	989	11	钻石胸甲		
iron_boots	3	788	212	988	12	铁靴子		
golden_boots	3	787	213	987	13	金靴子		
diamond_boots	3	786	214	986	14	钻石靴子		
iron_leggings	3	785	215	985	15	铁护腿		
golden_leggings	3	784	216	984	16	金护腿		
diamond_leggings	3	783	217	983	17	钻石护腿		
emerald	3	782	218	982	18	绿宝石->绿宝石碎片		
diamond	3	781	219	981	19	钻石块->钻石		
gold_ingot_from_block	3	780	220	980	20	金块->金锭		
iron_ingot_from_block	3	779	221	979	21	铁块->铁锭		
bucket	3	778	222	978	22	水桶		
torch	3	777	223	977	23	火把		
new_orange_wool	4	399	601	999	1	橙色羊毛	橙色染料	
new_magenta_wool	4	398	602	998	2	品红色羊毛	品红色染料	
new_light_blue_wool	4	397	603	997	3	浅蓝色羊毛	淡蓝色染料	
new_yellow_wool	4	396	604	996	4	黄色羊毛	黄色染料	
new_lime_wool	4	395	605	995	5	浅绿色羊毛	黄绿色染料	
new_pink_wool	4	394	606	994	6	粉色羊毛	粉红色染料	
new_gray_wool	4	393	607	993	7	灰色羊毛	灰色染料	
new_light_gray_wool	4	392	608	992	8	浅灰色羊毛	淡灰色染料	
new_cyan_wool	4	391	609	991	9	青色羊毛	青色染料	
new_purple_wool	4	390	610	990	10	紫色羊毛	紫色染料	
new_blue_wool	4	389	611	989	11	蓝色羊毛	青金石	
new_brown_wool	4	388	612	988	12	棕色羊毛	可可豆	
new_green_wool	4	387	613	987	13	绿色羊毛	绿色染料	
new_red_wool	4	386	614	986	14	红色羊毛	红色染料	
new_black_wool	4	385	615	985	15	黑色羊毛	墨囊	
white_carpet	4	384	616	984	16	白色地毯		
orange_carpet	4	383	617	983	17	橙色地毯		
magenta_carpet	4	382	618	982	18	品红色地毯		
light_blue_carpet	4	381	619	981	19	浅蓝色地毯		
yellow_carpet	4	380	620	980	20	黄色地毯		
lime_carpet	4	379	621	979	21	浅绿色地毯		
pink_carpet	4	378	622	978	22	粉色地毯		
gray_carpet	4	377	623	977	23	灰色地毯		
light_gray_carpet	4	376	624	976	24	浅灰色地毯		
cyan_carpet	4	375	625	975	25	青色地毯		
purple_carpet	4	374	626	974	26	紫色地毯		
blue_carpet	4	373	627	973	27	蓝色地毯		
brown_carpet	4	372	628	972	28	棕色地毯		
green_carpet	4	371	629	971	29	绿色地毯		
red_carpet	4	370	630	970	30	红色地毯		
black_carpet	4	369	631	969	31	黑色地毯		
new_white_stained_hardened_clay	4	368	632	968	32	白色陶瓦		159.0
orange_stained_hardened_clay	4	367	633	967	33	橙色陶瓦		
magenta_stained_hardened_clay	4	366	634	966	34	品红色陶瓦		
light_blue_stained_hardened_clay	4	365	635	965	35	浅蓝色陶瓦		
yellow_stained_hardened_clay	4	364	636	964	36	黄色陶瓦		
lime_stained_hardened_clay	4	363	637	963	37	黄绿色陶瓦		
pink_stained_hardened_clay	4	362	638	962	38	粉色陶瓦		
gray_stained_hardened_clay	4	361	639	961	39	灰色陶瓦		
light_gray_stained_hardened_clay	4	360	640	960	40	浅灰色陶瓦		
cyan_stained_hardened_clay	4	359	641	959	41	青色陶瓦		
purple_stained_hardened_clay	4	358	642	958	42	紫色陶瓦		
blue_stained_hardened_clay	4	357	643	957	43	蓝色陶瓦		
brown_stained_hardened_clay	4	356	644	956	44	棕色陶瓦		
green_stained_hardened_clay	4	355	645	955	45	绿色陶瓦		
red_stained_hardened_clay	4	354	646	954	46	红色陶瓦		
black_stained_hardened_clay	4	353	647	953	47	黑色陶瓦		
new_white_stained_glass	4	352	648	952	48	白色玻璃	95	
orange_stained_glass	4	351	649	951	49	橙色玻璃		
magenta_stained_glass	4	350	650	950	50	品红色玻璃		
light_blue_stained_glass	4	349	651	949	51	浅蓝色玻璃		
yellow_stained_glass	4	348	652	948	52	黄色玻璃		
lime_stained_glass	4	347	653	947	53	浅绿色玻璃		
pink_stained_glass	4	346	654	946	54	粉色玻璃		
gray_stained_glass	4	345	655	945	55	灰色玻璃		
light_gray_stained_glass	4	344	656	944	56	浅灰色玻璃		
cyan_stained_glass	4	343	657	943	57	青色玻璃		
purple_stained_glass	4	342	658	942	58	紫色玻璃		
blue_stained_glass	4	341	659	941	59	蓝色玻璃		
brown_stained_glass	4	340	660	940	60	棕色玻璃		
green_stained_glass	4	339	661	939	61	绿色玻璃		
red_stained_glass	4	338	662	938	62	红色玻璃		
black_stained_glass	4	337	663	937	63	黑色玻璃		
glass_pane.json	4	336	664	936	64	透明玻璃板		
white_stained_glass_pane	4	335	665	935	65	白色玻璃板	160	
orange_stained_glass_pane	4	334	666	934	66	橙色玻璃板		
magenta_stained_glass_pane	4	333	667	933	67	品红色玻璃板		
light_blue_stained_glass_pane	4	332	668	932	68	浅蓝色玻璃板		
yellow_stained_glass_pane	4	331	669	931	69	黄色玻璃板		
lime_stained_glass_pane	4	330	670	930	70	浅绿色玻璃板		
pink_stained_glass_pane	4	329	671	929	71	粉色玻璃板		
gray_stained_glass_pane	4	328	672	928	72	灰色玻璃板		
light_gray_stained_glass_pane	4	327	673	927	73	浅灰色玻璃板		
cyan_stained_glass_pane	4	326	674	926	74	青色玻璃板		
purple_stained_glass_pane	4	325	675	925	75	紫色玻璃板		
blue_stained_glass_pane	4	324	676	924	76	蓝色玻璃板		
brown_stained_glass_pane	4	323	677	923	77	棕色玻璃板		
green_stained_glass_pane	4	322	678	922	78	绿色玻璃板		
red_stained_glass_pane	4	321	679	921	79	红色玻璃板		
black_stained_glass_pane	4	320	680	920	80	黑色玻璃板		
new_yellow_dye_from_dandelion	4	319	681	919	81	蒲公英->黄色染料		
new_red_dye_from_poppy	4	318	682	918	82	罂粟->红色染料		
new_light_blue_dye_from_blue_orchid	4	317	683	917	83	兰花-> 淡蓝色染料		
new_light_gray_dye_from_azure_bluet	4	316	684	916	84	茜草花->淡灰色		
new_orange_dye_from_orange_tulip	4	315	685	915	85	橙色郁金香->橙色		
new_pink_dye_from_peony	4	314	686	914	86	牡丹->粉红色		
new_magenta_dye_from_lilac	4	313	687	913	87	欧丁香->品红色		
new_purple_dye	4	312	688	912	88	红+蓝 ->紫		
new_cyan_dye	4	311	689	911	89	绿+蓝->青		
new_lime_dye	4	310	690	910	90	绿+白->浅绿		
sign	1	309	691	909	91	留言板		
