序号	任务时长类型（1每日，2周，3赛季）	任务类型	参数A	游戏类型	数量X	奖励经验值	描述多语言	任务组	抽取权重	后续任务	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22
110104	1	203	#	#	1	300	ChallengeTask_Day_4	1011	100	0		一局内击杀次数达到1次										
110105	1	204	#	#	30	300	ChallengeTask_Day_5	1011	100	0		一局内建造方块30个										
110106	1	201	#	#	1	400	ChallengeTask_Day_6	1011	100	0		一局内至少破坏1张床										
110201	1	207	#	g1008	1	550	ChallengeTask_Day_1	1012	100	0		玩1局游戏（四人模式）										
110202	1	207	#	g1062	1	550	ChallengeTask_Day_2	1012	100	0		玩1局游戏（双人模式）										
110203	1	207	#	g1061	1	330	ChallengeTask_Day_3	1012	100	0		玩1局游戏（单人模式）										
110204	1	203	#	#	1	330	ChallengeTask_Day_4	1012	100	0		一局内击杀次数达到1次										
110205	1	204	#	#	30	330	ChallengeTask_Day_5	1012	100	0		一局内建造方块30个										
110206	1	201	#	#	1	440	ChallengeTask_Day_6	1012	100	0		一局内至少破坏1张床										
110301	1	207	#	g1008	1	600	ChallengeTask_Day_1	1013	100	0		玩1局游戏（四人模式）										
110302	1	207	#	g1062	1	600	ChallengeTask_Day_2	1013	100	0		玩1局游戏（双人模式）										
110303	1	207	#	g1061	1	360	ChallengeTask_Day_3	1013	100	0		玩1局游戏（单人模式）										
110304	1	203	#	#	1	360	ChallengeTask_Day_4	1013	100	0		一局内击杀次数达到1次										
110305	1	204	#	#	30	360	ChallengeTask_Day_5	1013	100	0		一局内建造方块30个										
110306	1	201	#	#	1	480	ChallengeTask_Day_6	1013	100	0		一局内至少破坏1张床										
110401	1	207	#	g1008	1	660	ChallengeTask_Day_1	1014	100	0		玩1局游戏（四人模式）										
110402	1	207	#	g1062	1	660	ChallengeTask_Day_2	1014	100	0		玩1局游戏（双人模式）										
110403	1	207	#	g1061	1	390	ChallengeTask_Day_3	1014	100	0		玩1局游戏（单人模式）										
110404	1	203	#	#	1	390	ChallengeTask_Day_4	1014	100	0		一局内击杀次数达到1次										
110405	1	204	#	#	30	390	ChallengeTask_Day_5	1014	100	0		一局内建造方块30个										
110406	1	201	#	#	1	520	ChallengeTask_Day_6	1014	100	0		一局内至少破坏1张床										
110501	1	207	#	g1008	1	720	ChallengeTask_Day_1	1015	100	0		玩1局游戏（四人模式）										
110502	1	207	#	g1062	1	720	ChallengeTask_Day_2	1015	100	0		玩1局游戏（双人模式）										
110503	1	207	#	g1061	1	420	ChallengeTask_Day_3	1015	100	0		玩1局游戏（单人模式）										
110504	1	203	#	#	1	420	ChallengeTask_Day_4	1015	100	0		一局内击杀次数达到1次										
110505	1	204	#	#	30	420	ChallengeTask_Day_5	1015	100	0		一局内建造方块30个										
110506	1	201	#	#	1	570	ChallengeTask_Day_6	1015	100	0		一局内至少破坏1张床										
110601	1	207	#	g1008	1	790	ChallengeTask_Day_1	1016	100	0		玩1局游戏（四人模式）										
110602	1	207	#	g1062	1	790	ChallengeTask_Day_2	1016	100	0		玩1局游戏（双人模式）										
110603	1	207	#	g1061	1	460	ChallengeTask_Day_3	1016	100	0		玩1局游戏（单人模式）										
110604	1	203	#	#	1	460	ChallengeTask_Day_4	1016	100	0		一局内击杀次数达到1次										
110605	1	204	#	#	30	460	ChallengeTask_Day_5	1016	100	0		一局内建造方块30个										
110606	1	201	#	#	1	620	ChallengeTask_Day_6	1016	100	0		一局内至少破坏1张床										
110701	1	207	#	g1008	1	860	ChallengeTask_Day_1	1017	100	0		玩1局游戏（四人模式）										
110702	1	207	#	g1062	1	860	ChallengeTask_Day_2	1017	100	0		玩1局游戏（双人模式）										
110703	1	207	#	g1061	1	500	ChallengeTask_Day_3	1017	100	0		玩1局游戏（单人模式）										
110704	1	203	#	#	1	500	ChallengeTask_Day_4	1017	100	0		一局内击杀次数达到1次										
110705	1	204	#	#	30	500	ChallengeTask_Day_5	1017	100	0		一局内建造方块30个										
110706	1	201	#	#	1	680	ChallengeTask_Day_6	1017	100	0		一局内至少破坏1张床										
110801	1	207	#	g1008	1	920	ChallengeTask_Day_1	1018	100	0		玩1局游戏（四人模式）										
110802	1	207	#	g1062	1	920	ChallengeTask_Day_2	1018	100	0		玩1局游戏（双人模式）										
110803	1	207	#	g1061	1	530	ChallengeTask_Day_3	1018	100	0		玩1局游戏（单人模式）										
110804	1	203	#	#	1	530	ChallengeTask_Day_4	1018	100	0		一局内击杀次数达到1次										
110805	1	204	#	#	30	530	ChallengeTask_Day_5	1018	100	0		一局内建造方块30个										
110806	1	201	#	#	1	730	ChallengeTask_Day_6	1018	100	0		一局内至少破坏1张床										
201101	3	101	#	#	1	1000	ChallengeTask_season_210101	2011	100	201102		累计登录1天										
201102	3	101	#	#	2	1000	ChallengeTask_season_210102	#	100	201103		累计登录2天										
201103	3	101	#	#	3	1000	ChallengeTask_season_210103	#	100	201104		累计登录3天										
201104	3	101	#	#	4	1000	ChallengeTask_season_210104	#	100	201105		累计登录4天										
201105	3	101	#	#	5	1000	ChallengeTask_season_210105	#	100	201106		累计登录5天										
201106	3	101	#	#	6	1000	ChallengeTask_season_210106	#	100	201107		累计登录6天										
201107	3	101	#	#	7	1000	ChallengeTask_season_210107	#	100	201108		累计登录7天										
201108	3	101	#	#	8	1000	ChallengeTask_season_210108	#	100	201109		累计登录8天										
201109	3	101	#	#	9	1000	ChallengeTask_season_210109	#	100	201110		累计登录9天										
201110	3	101	#	#	10	1000	ChallengeTask_season_210110	#	100	201111		累计登录10天										
201111	3	101	#	#	11	1000	ChallengeTask_season_210111	#	100	201112		累计登录11天										
201112	3	101	#	#	12	1000	ChallengeTask_season_210112	#	100	201113		累计登录12天										
201113	3	101	#	#	13	1000	ChallengeTask_season_210113	#	100	201114		累计登录13天										
201114	3	101	#	#	14	1000	ChallengeTask_season_210114	#	100	201115		累计登录14天										
201115	3	101	#	#	15	1000	ChallengeTask_season_210115	#	100	201116		累计登录15天										
201116	3	101	#	#	16	1000	ChallengeTask_season_210116	#	100	201117		累计登录16天										
201117	3	101	#	#	17	1000	ChallengeTask_season_210117	#	100	201118		累计登录17天										
201118	3	101	#	#	18	1000	ChallengeTask_season_210118	#	100	201119		累计登录18天										
201119	3	101	#	#	19	1000	ChallengeTask_season_210119	#	100	201120		累计登录19天										
201120	3	101	#	#	20	1000	ChallengeTask_season_210120	#	100	0		累计登录20天										
201121	3	103	5	#	50	500	ChallengeTask_season_210201	2011	100	201122		累计消耗50钥匙										
201122	3	103	5	#	100	800	ChallengeTask_season_210202	#	100	201123		累计消耗100钥匙										
201123	3	103	5	#	200	1000	ChallengeTask_season_210203	#	100	201124		累计消耗200钥匙										
201124	3	103	5	#	300	1200	ChallengeTask_season_210204	#	100	201125		累计消耗300钥匙										
201125	3	103	5	#	500	1500	ChallengeTask_season_210205	#	100	201126		累计消耗500钥匙										
201126	3	103	5	#	1000	2000	ChallengeTask_season_210206	#	100	0		累计消耗1000钥匙										
201127	3	207	#	#	1	800	ChallengeTask_season_210207	2011	100	201128		累计玩1局游戏										
201128	3	207	#	#	5	800	ChallengeTask_season_210208	#	100	201129		累计玩5局游戏										
201129	3	207	#	#	10	800	ChallengeTask_season_210209	#	100	201130		累计玩10局游戏										
201130	3	207	#	#	15	800	ChallengeTask_season_210210	#	100	201131		累计玩15局游戏										
201131	3	207	#	#	20	800	ChallengeTask_season_210211	#	100	201132		累计玩20局游戏										
201132	3	207	#	#	30	800	ChallengeTask_season_210212	#	100	201133		累计玩30局游戏										
201133	3	207	#	#	50	800	ChallengeTask_season_210213	#	100	201134		累计玩50局游戏										
201134	3	207	#	#	70	800	ChallengeTask_season_210214	#	100	201135		累计玩70局游戏										
201135	3	207	#	#	100	800	ChallengeTask_season_210215	#	100	201136		累计玩100局游戏										
201136	3	207	#	#	150	800	ChallengeTask_season_210216	#	100	0		累计玩150局游戏										
201137	3	201	#	#	1	800	ChallengeTask_season_210301	2011	100	201138		累计破坏床1次										
201138	3	201	#	#	5	800	ChallengeTask_season_210302	#	100	201139		累计破坏床5次										
201139	3	201	#	#	10	800	ChallengeTask_season_210303	#	100	201140		累计破坏床10次										
201140	3	201	#	#	15	800	ChallengeTask_season_210304	#	100	201141		累计破坏床15次										
201141	3	201	#	#	20	800	ChallengeTask_season_210305	#	100	201142		累计破坏床20次										
201142	3	201	#	#	30	800	ChallengeTask_season_210306	#	100	201143		累计破坏床30次										
201143	3	201	#	#	50	800	ChallengeTask_season_210307	#	100	201144		累计破坏床50次										
201144	3	201	#	#	70	800	ChallengeTask_season_210308	#	100	201145		累计破坏床70次										
201145	3	201	#	#	100	800	ChallengeTask_season_210309	#	100	201146		累计破坏床100次										
201146	3	201	#	#	150	800	ChallengeTask_season_210310	#	100	0		累计破坏床150次										
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
															4							
															5							
															6							
															7							
															8							
															9							
															12							
															13							
															14							
															15							
															16							
															17							
															18							
															19							
															20							
															21							
															22							
															23							
															24							
															25							
															27							
															28							
															29							
															30							
															31							
															32							
															33							
															34							
															35							
															37							
															38							
															39							
															1							
															2							
															3							
															4							
															5							
															6							
															7							
															8							
															9							
															10							
															11							
															12							
															13							
															14							
															15							
															16							
															17							
															18							
															19							
															20							
															21							
															22							
															23							
															24							
															25							
															26							
															27							
															28							
															29							
															30							
															31							
															32							
															33							
															34							
															35							
															36							
															37							
															38							
															39							
															40							
															1							
															2							
															3							
															4							
															5							
															6							
															7							
															8							
															9							
															10							
															11							
															12							
															13							
															14							
															15							
															16							
															17							
															18							
															19							
															20							
															21							
															22							
															23							
															24							
															25							
															26							
															27							
															28							
															29							
															30							
															31							
															32							
															33							
															34							
															35							
															36							
															37							
															38							
															39							
															40							
															1							
															2							
															3							
															4							
															5							
															6							
															7							
															8							
															9							
															10							
															11							
															12							
															13							
															14							
															15							
															16							
															17							
															18							
															19							
															20							
															21							
															22							
															23							
															24							
															25							
															26							
															27							
															28							
															29							
															30							
															31							
															32							
															33							
															34							
															35							
															36							
															37							
															38							
															39							
															40							
															1							
															2							
															3							
															4							
															5							
															6							
															7							
															8							
															9							
															10							
															11							
															12							
															13							
															14							
															15							
															16							
															17							
															18							
															19							
															20							
															21							
															22							
															23							
															24							
															25							
															26							
															27							
															28							
															29							
															30							
															31							
															32							
															33							
															34							
															35							
															36	1						
															37	2		经验	3.0	VIP1小时	1.0	
															38	3		经验	3.0	金币	5.0	
															39	4		经验	3.0	钥匙	3.0	
															40	4		经验	5.0	金币	5.0	
															2	5		经验	8.0	金币	5.0	
															2	6		经验	5.0	金币	5.0	216碎片
															1	6		经验	5.0	金币	3.0	216碎片
															3	7		经验	8.0	金币	10.0	
															1	7		经验	5.0	钥匙	3.0	狙击枪
															4	8		经验	8.0	青铜宝箱	1.0	
															1	9		经验	5.0	金币	3.0	216碎片
															3	10		经验	5.0	金币	3.0	216碎片
															5	11		经验	5.0	白银宝箱	1.0	
															15	12		经验	5.0	钥匙	3.0	
															3	13		经验	5.0	金币	3.0	
															3	13		经验	5.0	金币	3.0	
															1	14		经验	8.0	金币	5.0	
															10	14		经验	8.0	金币	10.0	
															5	15		经验	10.0	白银宝箱	1.0	
															1	16		经验	8.0	金币	10.0	
															3	16		经验	8.0	金币	5.0	
															5	17		经验	10.0	金币	10.0	
															1	17		经验	8.0	金币	3.0	重型武器
															7	17		经验	10.0	金币	5.0	
															1	18		经验	12.0	金币	10.0	216碎片
															3	18		经验	8.0	金币	3.0	216碎片
															10	19		经验	10.0	金币	5.0	
															30	20		经验	8.0	金币	3.0	105碎片
															50	21		经验	8.0	金币	3.0	105碎片
															5	22		经验	8.0	金币	3.0	105碎片
															15	23		经验	8.0	青铜宝箱	1.0	204碎片
															2	24		经验	8.0	金币	10.0	204碎片
															20	25		经验	10.0	VIP1小时	1.0	
															5	25		经验	10.0	金币	10.0	
															30	26		经验	12.0	金币	15.0	
															30	27		经验	10.0	金币	15.0	
															10	28		经验	10.0	青铜宝箱	1.0	
															10	29		经验	10.0	金币	10.0	216碎片
															14	30		经验	10.0	金币	10.0	216碎片
															白银	31		经验	10.0	金币	10.0	
															1	32		经验	10.0	金币	10.0	青铜宝箱
															5	33		经验	10.0	金币	10.0	
															5	33		经验	10.0	金币	10.0	
															5	33		经验	12.0	金币	15.0	
															5	34		经验	15.0	金币	20.0	
															5	34		经验	10.0	金币	10.0	
															3	35		经验	12.0	金币	15.0	
															5	36		经验	10.0	金币	10.0	302碎片
															10	37		经验	10.0	青铜宝箱	1.0	302碎片
															2	38		经验	10.0	金币	10.0	302碎片
															4	39		经验	10.0	金币	10.0	401碎片
															1	40		经验	10.0	VIP1小时	1.0	401碎片
															3	41		经验	10.0	金币	20.0	501碎片
															20	41		经验	10.0	金币	5.0	
															20	41		经验	12.0	金币	10.0	
															15	42		经验	15.0	金币	15.0	
															19	42		经验	10.0	金币	5.0	118碎片
															5	42		经验	12.0	金币	10.0	
															10	43		经验	15.0	金币	15.0	117碎片
															20	43		经验	10.0	金币	5.0	117碎片
															5	43		经验	12.0	金币	10.0	117碎片
															10	44		经验	15.0	金币	15.0	211碎片
															20	44		经验	10.0	金币	5.0	211碎片
															5	44		经验	12.0	金币	10.0	211碎片
															10	45		经验	15.0	金币	15.0	310碎片
															20	45		经验	10.0	金币	5.0	310碎片
															5	45		经验	12.0	金币	10.0	310碎片
															10	46		经验	15.0	金币	15.0	411碎片
															20	46		经验	10.0	金币	10.0	411碎片
															5	47		经验	12.0	金币	15.0	411碎片
															10	48		经验	10.0	金币	10.0	510碎片
															20	49		经验	10.0	金币	10.0	510碎片
															20	50		经验	10.0	金币	10.0	510碎片
															50	51		经验	10.0	钥匙	8.0	青铜宝箱
															4	52		经验	10.0	金币	20.0	青铜宝箱
															120	53		经验	15.0	VIP1小时	1.0	青铜宝箱
															30	54		经验	15.0	金币	25.0	
															150	55		经验	15.0	金币	30.0	
															100	56		经验	15.0	金币	10.0	
															20	57		经验	15.0	金币	10.0	
															24	58		经验	15.0	金币	10.0	212碎片
															黄金	59		经验	15.0	金币	10.0	
															10	60		经验	15.0	金币	10.0	白银宝箱
															10	60		经验	15.0	金币	10.0	
															10	60		经验	20.0	金币	15.0	
															10	60		经验	25.0	金币	20.0	
															10	61		经验	30.0	金币	25.0	
															5	61		经验	15.0	金币	10.0	
															10	61		经验	20.0	金币	15.0	118碎片
															20	62		经验	25.0	金币	20.0	118碎片
															30	62		经验	15.0	金币	10.0	118碎片
															4	63		经验	20.0	金币	15.0	118碎片
															4	64		经验	15.0	白银宝箱	1.0	212碎片
															8	65		经验	15.0	金币	15.0	212碎片
															3	66		经验	15.0	金币	15.0	212碎片
															5	67		经验	20.0	VIP1小时	1.0	311碎片
															5	68		经验	20.0	金币	30.0	311碎片
															50	69		经验	20.0	金币	50.0	
															50	69		经验	20.0	金币	5.0	
															25	69		经验	25.0	金币	10.0	
															29	70		经验	30.0	金币	15.0	311碎片
															钻石	70		经验	20.0	金币	5.0	
															10	70		经验	25.0	金币	10.0	黄金宝箱
															20	71		经验	30.0	金币	15.0	117碎片
															40	71		经验	20.0	金币	5.0	117碎片
															10	71		经验	25.0	金币	10.0	117碎片
															20	72		经验	30.0	金币	15.0	211碎片
															40	72		经验	20.0	金币	5.0	211碎片
															10	72		经验	25.0	金币	10.0	211碎片
															20	73		经验	30.0	金币	15.0	310碎片
															40	73		经验	20.0	金币	5.0	310碎片
															10	73		经验	25.0	金币	10.0	310碎片
															20	74		经验	30.0	金币	15.0	411碎片
															40	74		经验	20.0	金币	20.0	411碎片
															10	75		经验	25.0	金币	25.0	411碎片
															20	76		经验	20.0	金币	20.0	510碎片
															40	77		经验	20.0	金币	20.0	510碎片
															40	78		经验	20.0	钥匙	15.0	510碎片
															100	79		经验	20.0	金币	30.0	青铜宝箱
															140	80		VIP1小时	1.0			青铜宝箱
															70	81		VIP1小时	1.0			
															300	82		VIP1小时	1.0			
															200			VIP1小时	1.0			
															30							
															35							
															40							
															45							
