index	mapId	公共资源点Id	资源点ID	actor头顶信息	资源点模型	资源点body	资源点body索引	actor位置	Unnamed: 9	备注	放setting
43	7	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	459.5,57,504.5		绿宝石3	圣殿
44	7	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	497.5,57,504.5		绿宝石4	圣殿
45	8	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	96.5,61.5,459.5		钻石1	气球
46	8	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	59.5,61.5,496.5		钻石2	气球
47	8	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	96.5,61.5,533.5		钻石3	气球
48	8	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	133.5,61.5,496.5		钻石4	气球
49	8	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	96.5,61.5,480.5		绿宝石1	气球
50	8	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	80.5,61.5,496.5		绿宝石2	气球
51	8	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	96.5,61.5,512.5		绿宝石3	气球
52	8	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	112.5,61.5,496.5		绿宝石4	气球
53	9	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	874.5,97.5,509.5		钻石1	精灵
54	9	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	908.5,97.5,475.5		钻石2	精灵
55	9	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	874.5,96.5,441.5		钻石3	精灵
56	9	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	840.5,97.5,475.5		钻石4	精灵
57	9	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	886.5,97.5,491.5		绿宝石1	精灵
58	9	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	891.5,97.5,464.5		绿宝石2	精灵
59	9	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	861.5,97.5,459.5		绿宝石3	精灵
60	9	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	856.5,97.5,485.5		绿宝石4	精灵
61	10	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	1321.5,83,477.5		钻石1	8队圣诞节
62	10	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	1277.5,83,521.5		钻石2	8队圣诞节
63	10	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	1233.5,83,477.5		钻石3	8队圣诞节
64	10	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	1277.5,83,433.5		钻石4	8队圣诞节
65	10	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	1293.5,83,464.5		绿宝石1	8队圣诞节
66	10	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	1288.5,83,494.5		绿宝石2	8队圣诞节
67	10	7	2	dmm_actor_desk	g1008_diamond.actor	body	2	1261.5,83,489.5		绿宝石3	8队圣诞节
68	10	8	2	dmm_actor_desk	g1008_diamond.actor	body	2	1267.5,83,459.5		绿宝石4	8队圣诞节
69	11	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	3465.5,79,56.5		钻石1	太空
70	11	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	3466.5,79,165.5		钻石2	太空
71	11	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	3357.5,79,166.5		钻石3	太空
72	11	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	3356.5,79,57.5		钻石4	太空
73	11	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	3415.5,85,107.5		绿宝石1	太空
74	11	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	3407.5,85,115.5		绿宝石2	太空
75	12	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	4000.5,81,44.5		钻石1	风车
76	12	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	4000.5,81,100.5		钻石2	风车
77	12	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	3944.5,81,100.5		钻石3	风车
78	12	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	3944.5,81,44.5		钻石4	风车
79	12	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	3972.5,80,72.5		绿宝石1	风车
80	12	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	3972.5,86,72.5		绿宝石2	风车
81	13	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	4607.5,80,49.5		钻石1	城堡
82	13	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	4665.5,80,107.5		钻石2	城堡
83	13	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	4607.5,80,165.5		钻石3	城堡
84	13	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	4549.5,80,107.5		钻石4	城堡
85	13	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	4607.5,79,107.5		绿宝石1	城堡
86	13	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	4607.5,92,107.5		绿宝石2	城堡
87	14	1	1	dmm_actor_gift	g1008_diamond.actor	body	1	5127.5,80,45.5		钻石1	儿童节
88	14	2	1	dmm_actor_gift	g1008_diamond.actor	body	1	5127.5,80,127.5		钻石2	儿童节
89	14	3	1	dmm_actor_gift	g1008_diamond.actor	body	1	5045.5,80,127.5		钻石3	儿童节
90	14	4	1	dmm_actor_gift	g1008_diamond.actor	body	1	5045.5,80,45.5		钻石4	儿童节
91	14	5	2	dmm_actor_desk	g1008_diamond.actor	body	2	5093.5,80,80.5		绿宝石1	儿童节
92	14	6	2	dmm_actor_desk	g1008_diamond.actor	body	2	5081.5,80,91.5		绿宝石2	儿童节
