索引	物品组ID	物品ID	数量	是否核心物品	物品名称	类型	近战/远程	AI强度	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22
61	102020	507	1	0	救援平台	进攻	远程	2.0														
62	102020	508	1	0	金苹果	进攻	远程	2.0														
63	102020	265	12	0	铁锭	进攻	远程	2.0														
64	102020	266	4	0	金锭	进攻	远程	2.0														
65	102020	261	0	0	弓	进攻	远程	2.0														
66	102020	262	0	0	箭	进攻	远程	2.0														
67	102030	267	0	0	铁剑	进攻	远程	3.0														
68	102030	283	1	0	金剑	进攻	远程	3.0														
69	102030	276	0	0	钻石剑	进攻	远程	3.0														
70	102030	35	24	0	白色羊毛	进攻	远程	3.0														
71	102030	506	3	0	火焰弹	进攻	远程	3.0														
72	102030	507	1	0	救援平台	进攻	远程	3.0														
73	102030	508	1	0	金苹果	进攻	远程	3.0														
74	102030	265	16	0	铁锭	进攻	远程	3.0														
75	102030	266	6	0	金锭	进攻	远程	3.0														
76	102030	261	1	0	弓	进攻	远程	3.0														
77	102030	262	8	0	箭	进攻	远程	3.0														
78	102040	267	0	0	铁剑	进攻	远程	4.0														
79	102040	283	0	0	金剑	进攻	远程	4.0														
80	102040	276	1	0	钻石剑	进攻	远程	4.0														
81	102040	35	32	0	白色羊毛	进攻	远程	4.0														
82	102040	506	4	0	火焰弹	进攻	远程	4.0														
83	102040	507	1	0	救援平台	进攻	远程	4.0														
84	102040	508	1	0	金苹果	进攻	远程	4.0														
85	102040	265	20	0	铁锭	进攻	远程	4.0														
86	102040	266	8	0	金锭	进攻	远程	4.0														
87	102040	261	1	0	弓	进攻	远程	4.0														
88	102040	262	16	0	箭	进攻	远程	4.0														
89	201010	267	0	0	铁剑	拆家	近战	1.0														
90	201010	283	0	0	金剑	拆家	近战	1.0														
91	201010	276	0	0	钻石剑	拆家	近战	1.0														
92	201010	35	8	0	白色羊毛	拆家	近战	1.0														
93	201010	506	1	0	火焰弹	拆家	近战	1.0														
94	201010	507	1	0	救援平台	拆家	近战	1.0														
95	201010	508	1	0	金苹果	拆家	近战	1.0														
96	201010	265	8	0	铁锭	拆家	近战	1.0														
97	201010	266	2	0	金锭	拆家	近战	1.0														
98	201010	261	0	0	弓	拆家	近战	1.0														
99	201010	262	0	0	箭	拆家	近战	1.0														
100	201020	267	1	0	铁剑	拆家	近战	2.0														
101	201020	283	0	0	金剑	拆家	近战	2.0														
102	201020	276	0	0	钻石剑	拆家	近战	2.0														
103	201020	35	16	0	白色羊毛	拆家	近战	2.0														
104	201020	506	2	0	火焰弹	拆家	近战	2.0														
105	201020	507	1	0	救援平台	拆家	近战	2.0														
106	201020	508	1	0	金苹果	拆家	近战	2.0														
107	201020	265	12	0	铁锭	拆家	近战	2.0														
108	201020	266	4	0	金锭	拆家	近战	2.0														
109	201020	261	0	0	弓	拆家	近战	2.0														
110	201020	262	0	0	箭	拆家	近战	2.0														
111	201030	267	0	0	铁剑	拆家	近战	3.0														
112	201030	283	1	0	金剑	拆家	近战	3.0														
113	201030	276	0	0	钻石剑	拆家	近战	3.0														
114	201030	35	24	0	白色羊毛	拆家	近战	3.0														
115	201030	506	3	0	火焰弹	拆家	近战	3.0														
116	201030	507	1	0	救援平台	拆家	近战	3.0														
117	201030	508	1	0	金苹果	拆家	近战	3.0														
118	201030	265	16	0	铁锭	拆家	近战	3.0														
119	201030	266	6	0	金锭	拆家	近战	3.0														
120	201030	261	1	0	弓	拆家	近战	3.0														
121	201030	262	8	0	箭	拆家	近战	3.0														
122	201040	267	0	0	铁剑	拆家	近战	4.0														
123	201040	283	0	0	金剑	拆家	近战	4.0														
124	201040	276	1	0	钻石剑	拆家	近战	4.0														
125	201040	35	32	0	白色羊毛	拆家	近战	4.0														
126	201040	506	4	0	火焰弹	拆家	近战	4.0														
127	201040	507	1	0	救援平台	拆家	近战	4.0														
128	201040	508	1	0	金苹果	拆家	近战	4.0														
129	201040	265	20	0	铁锭	拆家	近战	4.0														
130	201040	266	8	0	金锭	拆家	近战	4.0														
131	201040	261	1	0	弓	拆家	近战	4.0														
132	201040	262	16	0	箭	拆家	近战	4.0														
133	202010	267	0	0	铁剑	拆家	远程	1.0														
134	202010	283	0	0	金剑	拆家	远程	1.0														
135	202010	276	0	0	钻石剑	拆家	远程	1.0														
136	202010	35	8	0	白色羊毛	拆家	远程	1.0														
137	202010	506	1	0	火焰弹	拆家	远程	1.0														
138	202010	507	1	0	救援平台	拆家	远程	1.0														
139	202010	508	1	0	金苹果	拆家	远程	1.0														
140	202010	265	8	0	铁锭	拆家	远程	1.0														
141	202010	266	2	0	金锭	拆家	远程	1.0														
142	202010	261	0	0	弓	拆家	远程	1.0														
143	202010	262	0	0	箭	拆家	远程	1.0														
144	202020	267	1	0	铁剑	拆家	远程	2.0														
145	202020	283	0	0	金剑	拆家	远程	2.0														
146	202020	276	0	0	钻石剑	拆家	远程	2.0														
147	202020	35	16	0	白色羊毛	拆家	远程	2.0														
148	202020	506	2	0	火焰弹	拆家	远程	2.0														
149	202020	507	1	0	救援平台	拆家	远程	2.0														
150	202020	508	1	0	金苹果	拆家	远程	2.0														
151	202020	265	12	0	铁锭	拆家	远程	2.0														
152	202020	266	4	0	金锭	拆家	远程	2.0														
153	202020	261	0	0	弓	拆家	远程	2.0														
154	202020	262	0	0	箭	拆家	远程	2.0														
155	202030	267	0	0	铁剑	拆家	远程	3.0														
156	202030	283	1	0	金剑	拆家	远程	3.0														
157	202030	276	0	0	钻石剑	拆家	远程	3.0														
158	202030	35	24	0	白色羊毛	拆家	远程	3.0														
159	202030	506	3	0	火焰弹	拆家	远程	3.0														
160	202030	507	1	0	救援平台	拆家	远程	3.0														
161	202030	508	1	0	金苹果	拆家	远程	3.0														
162	202030	265	16	0	铁锭	拆家	远程	3.0														
163	202030	266	6	0	金锭	拆家	远程	3.0														
164	202030	261	1	0	弓	拆家	远程	3.0														
165	202030	262	8	0	箭	拆家	远程	3.0														
166	202040	267	0	0	铁剑	拆家	远程	4.0														
167	202040	283	0	0	金剑	拆家	远程	4.0														
168	202040	276	1	0	钻石剑	拆家	远程	4.0														
169	202040	35	32	0	白色羊毛	拆家	远程	4.0														
170	202040	506	4	0	火焰弹	拆家	远程	4.0														
171	202040	507	1	0	救援平台	拆家	远程	4.0														
172	202040	508	1	0	金苹果	拆家	远程	4.0														
173	202040	265	20	0	铁锭	拆家	远程	4.0														
174	202040	266	8	0	金锭	拆家	远程	4.0														
175	202040	261	1	0	弓	拆家	远程	4.0														
176	202040	262	16	0	箭	拆家	远程	4.0														
177	301010	267	0	0	铁剑	采集	近战	1.0														
178	301010	283	0	0	金剑	采集	近战	1.0														
179	301010	276	0	0	钻石剑	采集	近战	1.0														
180	301010	35	8	0	白色羊毛	采集	近战	1.0														
181	301010	506	1	0	火焰弹	采集	近战	1.0														
182	301010	507	1	0	救援平台	采集	近战	1.0														
183	301010	508	1	0	金苹果	采集	近战	1.0														
184	301010	265	8	0	铁锭	采集	近战	1.0														
185	301010	266	2	0	金锭	采集	近战	1.0														
186	301010	264	3	0	钻石	采集	近战	1.0														
187	301010	388	2	0	绿宝石	采集	近战	1.0														
188	301020	267	1	0	铁剑	采集	近战	2.0														
189	301020	283	0	0	金剑	采集	近战	2.0														
190	301020	276	0	0	钻石剑	采集	近战	2.0														
191	301020	35	16	0	白色羊毛	采集	近战	2.0														
192	301020	506	2	0	火焰弹	采集	近战	2.0														
193	301020	507	1	0	救援平台	采集	近战	2.0														
194	301020	508	1	0	金苹果	采集	近战	2.0														
195	301020	265	12	0	铁锭	采集	近战	2.0														
196	301020	266	4	0	金锭	采集	近战	2.0														
197	301020	264	4	0	钻石	采集	近战	2.0														
198	301020	388	3	0	绿宝石	采集	近战	2.0														
199	301030	267	0	0	铁剑	采集	近战	3.0														
200	301030	283	1	0	金剑	采集	近战	3.0														
201	301030	276	0	0	钻石剑	采集	近战	3.0														
202	301030	35	24	0	白色羊毛	采集	近战	3.0														
203	301030	506	3	0	火焰弹	采集	近战	3.0														
204	301030	507	1	0	救援平台	采集	近战	3.0														
205	301030	508	1	0	金苹果	采集	近战	3.0														
206	301030	265	16	0	铁锭	采集	近战	3.0														
207	301030	266	6	0	金锭	采集	近战	3.0														
208	301030	264	5	0	钻石	采集	近战	3.0														
209	301030	388	3	0	绿宝石	采集	近战	3.0														
210	301040	267	0	0	铁剑	采集	近战	4.0														
211	301040	283	0	0	金剑	采集	近战	4.0														
212	301040	276	1	0	钻石剑	采集	近战	4.0														
213	301040	35	32	0	白色羊毛	采集	近战	4.0														
214	301040	506	4	0	火焰弹	采集	近战	4.0														
215	301040	507	1	0	救援平台	采集	近战	4.0														
216	301040	508	1	0	金苹果	采集	近战	4.0														
217	301040	265	20	0	铁锭	采集	近战	4.0														
218	301040	266	8	0	金锭	采集	近战	4.0														
219	301040	264	6	0	钻石	采集	近战	4.0														
220	301040	388	4	0	绿宝石	采集	近战	4.0														
221	302010	267	0	0	铁剑	采集	远程	1.0														
222	302010	283	0	0	金剑	采集	远程	1.0														
223	302010	276	0	0	钻石剑	采集	远程	1.0														
224	302010	35	8	0	白色羊毛	采集	远程	1.0														
225	302010	506	1	0	火焰弹	采集	远程	1.0														
226	302010	507	1	0	救援平台	采集	远程	1.0														
227	302010	508	1	0	金苹果	采集	远程	1.0														
228	302010	265	8	0	铁锭	采集	远程	1.0														
229	302010	266	2	0	金锭	采集	远程	1.0														
230	302010	264	3	0	钻石	采集	远程	1.0														
231	302010	388	2	0	绿宝石	采集	远程	1.0														
232	302020	267	1	0	铁剑	采集	远程	2.0														
233	302020	283	0	0	金剑	采集	远程	2.0														
234	302020	276	0	0	钻石剑	采集	远程	2.0														
235	302020	35	16	0	白色羊毛	采集	远程	2.0														
236	302020	506	2	0	火焰弹	采集	远程	2.0														
237	302020	507	1	0	救援平台	采集	远程	2.0														
238	302020	508	1	0	金苹果	采集	远程	2.0														
239	302020	265	12	0	铁锭	采集	远程	2.0														
240	302020	266	4	0	金锭	采集	远程	2.0														
241	302020	264	4	0	钻石	采集	远程	2.0														
242	302020	388	3	0	绿宝石	采集	远程	2.0														
243	302030	267	0	0	铁剑	采集	远程	3.0														
244	302030	283	1	0	金剑	采集	远程	3.0														
245	302030	276	0	0	钻石剑	采集	远程	3.0														
246	302030	35	24	0	白色羊毛	采集	远程	3.0														
247	302030	506	3	0	火焰弹	采集	远程	3.0														
248	302030	507	1	0	救援平台	采集	远程	3.0														
249	302030	508	1	0	金苹果	采集	远程	3.0														
250	302030	265	16	0	铁锭	采集	远程	3.0														
251	302030	266	6	0	金锭	采集	远程	3.0														
252	302030	264	5	0	钻石	采集	远程	3.0														
253	302030	388	3	0	绿宝石	采集	远程	3.0														
254	302040	267	0	0	铁剑	采集	远程	4.0														
255	302040	283	0	0	金剑	采集	远程	4.0														
256	302040	276	1	0	钻石剑	采集	远程	4.0														
257	302040	35	32	0	白色羊毛	采集	远程	4.0														
258	302040	506	4	0	火焰弹	采集	远程	4.0														
259	302040	507	1	0	救援平台	采集	远程	4.0														
260	302040	508	1	0	金苹果	采集	远程	4.0														
261	302040	265	20	0	铁锭	采集	远程	4.0														
262	302040	266	8	0	金锭	采集	远程	4.0														
263	302040	264	6	0	钻石	采集	远程	4.0														
264	302040	388	4	0	绿宝石	采集	远程	4.0														
265	401010	267	0	0	铁剑	防守	近战	1.0														
266	401010	283	0	0	金剑	防守	近战	1.0														
267	401010	276	0	0	钻石剑	防守	近战	1.0														
268	401010	35	8	0	白色羊毛	防守	近战	1.0														
269	401010	506	0	0	火焰弹	防守	近战	1.0														
270	401010	507	0	0	救援平台	防守	近战	1.0														
271	401010	508	0	0	金苹果	防守	近战	1.0														
272	401010	265	8	0	铁锭	防守	近战	1.0														
273	401010	266	2	0	金锭	防守	近战	1.0														
274	401010	261	0	0	弓	防守	近战	1.0														
275	401010	262	0	0	箭	防守	近战	1.0														
276	401020	267	1	0	铁剑	防守	近战	2.0														
277	401020	283	0	0	金剑	防守	近战	2.0														
278	401020	276	0	0	钻石剑	防守	近战	2.0														
279	401020	35	16	0	白色羊毛	防守	近战	2.0														
280	401020	506	0	0	火焰弹	防守	近战	2.0														
281	401020	507	0	0	救援平台	防守	近战	2.0														
282	401020	508	0	0	金苹果	防守	近战	2.0														
283	401020	265	12	0	铁锭	防守	近战	2.0														
284	401020	266	4	0	金锭	防守	近战	2.0														
285	401020	261	0	0	弓	防守	近战	2.0														
286	401020	262	0	0	箭	防守	近战	2.0														
287	401030	267	0	0	铁剑	防守	近战	3.0														
288	401030	283	1	0	金剑	防守	近战	3.0														
289	401030	276	0	0	钻石剑	防守	近战	3.0														
290	401030	35	24	0	白色羊毛	防守	近战	3.0														
291	401030	506	0	0	火焰弹	防守	近战	3.0														
292	401030	507	0	0	救援平台	防守	近战	3.0														
293	401030	508	0	0	金苹果	防守	近战	3.0														
294	401030	265	16	0	铁锭	防守	近战	3.0														
295	401030	266	6	0	金锭	防守	近战	3.0														
296	401030	261	1	0	弓	防守	近战	3.0														
297	401030	262	8	0	箭	防守	近战	3.0														
298	401040	267	0	0	铁剑	防守	近战	4.0														
299	401040	283	0	0	金剑	防守	近战	4.0														
300	401040	276	1	0	钻石剑	防守	近战	4.0														
301	401040	35	32	0	白色羊毛	防守	近战	4.0														
302	401040	506	0	0	火焰弹	防守	近战	4.0														
303	401040	507	0	0	救援平台	防守	近战	4.0														
304	401040	508	0	0	金苹果	防守	近战	4.0														
305	401040	265	20	0	铁锭	防守	近战	4.0														
306	401040	266	8	0	金锭	防守	近战	4.0														
307	401040	261	1	0	弓	防守	近战	4.0														
308	401040	262	16	0	箭	防守	近战	4.0														
309	402010	267	0	0	铁剑	防守	远程	1.0														
310	402010	283	0	0	金剑	防守	远程	1.0														
311	402010	276	0	0	钻石剑	防守	远程	1.0														
312	402010	35	8	0	白色羊毛	防守	远程	1.0														
313	402010	506	0	0	火焰弹	防守	远程	1.0														
314	402010	507	0	0	救援平台	防守	远程	1.0														
315	402010	508	0	0	金苹果	防守	远程	1.0														
316	402010	265	8	0	铁锭	防守	远程	1.0														
317	402010	266	2	0	金锭	防守	远程	1.0														
318	402010	261	0	0	弓	防守	远程	1.0														
319	402010	262	0	0	箭	防守	远程	1.0														
320	402020	267	1	0	铁剑	防守	远程	2.0														
321	402020	283	0	0	金剑	防守	远程	2.0														
322	402020	276	0	0	钻石剑	防守	远程	2.0														
323	402020	35	16	0	白色羊毛	防守	远程	2.0														
324	402020	506	0	0	火焰弹	防守	远程	2.0														
325	402020	507	0	0	救援平台	防守	远程	2.0														
326	402020	508	0	0	金苹果	防守	远程	2.0														
327	402020	265	12	0	铁锭	防守	远程	2.0														
328	402020	266	4	0	金锭	防守	远程	2.0														
329	402020	261	0	0	弓	防守	远程	2.0														
330	402020	262	0	0	箭	防守	远程	2.0														
331	402030	267	0	0	铁剑	防守	远程	3.0														
332	402030	283	1	0	金剑	防守	远程	3.0														
333	402030	276	0	0	钻石剑	防守	远程	3.0														
334	402030	35	24	0	白色羊毛	防守	远程	3.0														
335	402030	506	0	0	火焰弹	防守	远程	3.0														
336	402030	507	0	0	救援平台	防守	远程	3.0														
337	402030	508	0	0	金苹果	防守	远程	3.0														
338	402030	265	16	0	铁锭	防守	远程	3.0														
339	402030	266	6	0	金锭	防守	远程	3.0														
340	402030	261	1	0	弓	防守	远程	3.0														
341	402030	262	8	0	箭	防守	远程	3.0														
342	402040	267	0	0	铁剑	防守	远程	4.0														
343	402040	283	0	0	金剑	防守	远程	4.0														
344	402040	276	1	0	钻石剑	防守	远程	4.0														
345	402040	35	32	0	白色羊毛	防守	远程	4.0														
346	402040	506	0	0	火焰弹	防守	远程	4.0														
347	402040	507	0	0	救援平台	防守	远程	4.0														
348	402040	508	0	0	金苹果	防守	远程	4.0														
349	402040	265	20	0	铁锭	防守	远程	4.0														
350	402040	266	8	0	金锭	防守	远程	4.0														
351	402040	261	1	0	弓	防守	远程	4.0														
352	402040	262	16	0	箭	防守	远程	4.0														
