Id	Type	Level	Name	Des	DesPro	Image	CanSell	Weight	SellKey	备注	备注.1	备注.2
10603	1	3	RuneSetting_name_10603	RuneSetting_des_10603	RuneSetting_attrdes_10603	set:runeIcon.json image:rune_10603	1	310603	5	火剑Ⅲ	剑攻击4.3%燃烧敌人	剑攻击4.3%燃烧敌人
10701	2	1	RuneSetting_name_10701	RuneSetting_des_10701	RuneSetting_attrdes_10701	set:runeIcon.json image:rune_10701	1	110701	1	强壮Ⅰ	最大生命值+0.3	最大生命值+0.3
10702	2	2	RuneSetting_name_10702	RuneSetting_des_10702	RuneSetting_attrdes_10702	set:runeIcon.json image:rune_10702	1	210702	2	强壮Ⅱ	最大生命值+0.5	最大生命值+0.5
10703	2	3	RuneSetting_name_10703	RuneSetting_des_10703	RuneSetting_attrdes_10703	set:runeIcon.json image:rune_10703	1	310703	5	强壮Ⅲ	最大生命值+0.7	最大生命值+0.7
10801	2	1	RuneSetting_name_10801	RuneSetting_des_10801	RuneSetting_attrdes_10801	set:runeIcon.json image:rune_10801	1	110801	1	恢复Ⅰ	生命恢复+0.15/5秒	生命恢复+0.15/5秒
10802	2	2	RuneSetting_name_10802	RuneSetting_des_10802	RuneSetting_attrdes_10802	set:runeIcon.json image:rune_10802	1	210802	2	恢复Ⅱ	生命恢复+0.2/5秒	生命恢复+0.2/5秒
10803	2	3	RuneSetting_name_10803	RuneSetting_des_10803	RuneSetting_attrdes_10803	set:runeIcon.json image:rune_10803	1	310803	5	恢复Ⅲ	生命恢复+0.25/5秒	生命恢复+0.25/5秒
10901	2	1	RuneSetting_name_10901	RuneSetting_des_10901	RuneSetting_attrdes_10901	set:runeIcon.json image:rune_10901	1	110901	1	保护Ⅰ	伤害减免+1.5%	伤害减免+1.5%
10902	2	2	RuneSetting_name_10902	RuneSetting_des_10902	RuneSetting_attrdes_10902	set:runeIcon.json image:rune_10902	1	210902	2	保护Ⅱ	伤害减免+2.5%	伤害减免+2.5%
10903	2	3	RuneSetting_name_10903	RuneSetting_des_10903	RuneSetting_attrdes_10903	set:runeIcon.json image:rune_10903	1	310903	5	保护Ⅲ	伤害减免+3.5%	伤害减免+3.5%
11001	2	1	RuneSetting_name_11001	RuneSetting_des_11001	RuneSetting_attrdes_11001	set:runeIcon.json image:rune_11001	1	111001	1	壮大Ⅰ	每180秒增加0.06点最大生命值	每180秒增加0.06点最大生命值
11002	2	2	RuneSetting_name_11002	RuneSetting_des_11002	RuneSetting_attrdes_11002	set:runeIcon.json image:rune_11002	1	211002	2	壮大Ⅱ	每180秒增加0.1点最大生命值	每180秒增加0.1点最大生命值
11003	2	3	RuneSetting_name_11003	RuneSetting_des_11003	RuneSetting_attrdes_11003	set:runeIcon.json image:rune_11003	1	311003	5	壮大Ⅲ	每180秒增加0.14点最大生命值	每180秒增加0.14点最大生命值
11101	2	1	RuneSetting_name_11101	RuneSetting_des_11101	RuneSetting_attrdes_11101	set:runeIcon.json image:rune_11101	1	111101	1	成长Ⅰ	前15分钟增加0.48点最大生命值	前15分钟增加0.48点最大生命值
11102	2	2	RuneSetting_name_11102	RuneSetting_des_11102	RuneSetting_attrdes_11102	set:runeIcon.json image:rune_11102	1	211102	2	成长Ⅱ	前15分钟增加0.8点最大生命值	前15分钟增加0.8点最大生命值
11103	2	3	RuneSetting_name_11103	RuneSetting_des_11103	RuneSetting_attrdes_11103	set:runeIcon.json image:rune_11103	1	311103	5	成长Ⅲ	前15分钟增加1.12点最大生命值	前15分钟增加1.12点最大生命值
11201	3	1	RuneSetting_name_11201	RuneSetting_des_11201	RuneSetting_attrdes_11201	set:runeIcon.json image:rune_11201	1	111201	1	修罗Ⅰ	击杀4%概恢复20血量	击杀4%概恢复20血量
11202	3	2	RuneSetting_name_11202	RuneSetting_des_11202	RuneSetting_attrdes_11202	set:runeIcon.json image:rune_11202	1	211202	2	修罗Ⅱ	击杀5.5%概恢复20血量	击杀5.5%概恢复20血量
11203	3	3	RuneSetting_name_11203	RuneSetting_des_11203	RuneSetting_attrdes_11203	set:runeIcon.json image:rune_11203	1	311203	5	修罗Ⅲ	击杀7%概恢复20血量	击杀7%概恢复20血量
11301	3	1	RuneSetting_name_11301	RuneSetting_des_11301	RuneSetting_attrdes_11301	set:runeIcon.json image:rune_11301	1	111301	1	丰收Ⅰ	击杀4%概率获5金锭	击杀4%概率获5金锭
11302	3	2	RuneSetting_name_11302	RuneSetting_des_11302	RuneSetting_attrdes_11302	set:runeIcon.json image:rune_11302	1	211302	2	丰收Ⅱ	击杀5.5%概率获5金锭	击杀5.5%概率获5金锭
11303	3	3	RuneSetting_name_11303	RuneSetting_des_11303	RuneSetting_attrdes_11303	set:runeIcon.json image:rune_11303	1	311303	5	丰收Ⅲ	击杀7%概率获5金锭	击杀7%概率获5金锭
11401	3	1	RuneSetting_name_11401	RuneSetting_des_11401	RuneSetting_attrdes_11401	set:runeIcon.json image:rune_11401	1	111401	1	祝福Ⅰ	击杀4%概率获20铁锭	击杀4%概率获20铁锭
11402	3	2	RuneSetting_name_11402	RuneSetting_des_11402	RuneSetting_attrdes_11402	set:runeIcon.json image:rune_11402	1	211402	2	祝福Ⅱ	击杀5.5%概率获20铁锭	击杀5.5%概率获20铁锭
11403	3	3	RuneSetting_name_11403	RuneSetting_des_11403	RuneSetting_attrdes_11403	set:runeIcon.json image:rune_11403	1	311403	5	祝福Ⅲ	击杀7%概率获20铁锭	击杀7%概率获20铁锭
11501	3	1	RuneSetting_name_11501	RuneSetting_des_11501	RuneSetting_attrdes_11501	set:runeIcon.json image:rune_11501	1	111501	1	幸运Ⅰ	击杀4%概率获64羊毛	击杀4%概率获64羊毛
11502	3	2	RuneSetting_name_11502	RuneSetting_des_11502	RuneSetting_attrdes_11502	set:runeIcon.json image:rune_11502	1	211502	2	幸运Ⅱ	击杀5.5%概率获64羊毛	击杀5.5%概率获64羊毛
11503	3	3	RuneSetting_name_11503	RuneSetting_des_11503	RuneSetting_attrdes_11503	set:runeIcon.json image:rune_11503	1	311503	5	幸运Ⅲ	击杀7%概率获64羊毛	击杀7%概率获64羊毛
11601	3	1	RuneSetting_name_11601	RuneSetting_des_11601	RuneSetting_attrdes_11601	set:runeIcon.json image:rune_11601	1	111601	1	复活Ⅰ	死亡减复活时间0.25秒	死亡减复活时间0.25秒
11602	3	2	RuneSetting_name_11602	RuneSetting_des_11602	RuneSetting_attrdes_11602	set:runeIcon.json image:rune_11602	1	211602	2	复活Ⅱ	死亡减复活时间0.35秒	死亡减复活时间0.35秒
11603	3	3	RuneSetting_name_11603	RuneSetting_des_11603	RuneSetting_attrdes_11603	set:runeIcon.json image:rune_11603	1	311603	5	复活Ⅲ	死亡减复活时间0.45秒	死亡减复活时间0.45秒
11701	4	1	RuneSetting_name_11701	RuneSetting_des_11701	RuneSetting_attrdes_11701	set:runeIcon.json image:rune_11701	1	111701	1	铁锭Ⅰ	开局铁锭+2	开局铁锭+2
11702	4	2	RuneSetting_name_11702	RuneSetting_des_11702	RuneSetting_attrdes_11702	set:runeIcon.json image:rune_11702	1	211702	2	铁锭Ⅱ	开局铁锭+3	开局铁锭+3
11703	4	3	RuneSetting_name_11703	RuneSetting_des_11703	RuneSetting_attrdes_11703	set:runeIcon.json image:rune_11703	1	311703	5	铁锭Ⅲ	开局铁锭+4	开局铁锭+4
11801	4	1	RuneSetting_name_11801	RuneSetting_des_11801	RuneSetting_attrdes_11801	set:runeIcon.json image:rune_11801	1	111801	1	金锭Ⅰ	开局金锭+0.5	开局金锭+0.5
11802	4	2	RuneSetting_name_11802	RuneSetting_des_11802	RuneSetting_attrdes_11802	set:runeIcon.json image:rune_11802	1	211802	2	金锭Ⅱ	开局金锭+1	开局金锭+1
11803	4	3	RuneSetting_name_11803	RuneSetting_des_11803	RuneSetting_attrdes_11803	set:runeIcon.json image:rune_11803	1	311803	5	金锭Ⅲ	开局金锭+2	开局金锭+2
11901	4	1	RuneSetting_name_11901	RuneSetting_des_11901	RuneSetting_attrdes_11901	set:runeIcon.json image:rune_11901	1	111901	1	羊毛Ⅰ	开局羊毛+4	开局羊毛+4
11902	4	2	RuneSetting_name_11902	RuneSetting_des_11902	RuneSetting_attrdes_11902	set:runeIcon.json image:rune_11902	1	211902	2	羊毛Ⅱ	开局羊毛+6	开局羊毛+6
11903	4	3	RuneSetting_name_11903	RuneSetting_des_11903	RuneSetting_attrdes_11903	set:runeIcon.json image:rune_11903	1	311903	5	羊毛Ⅲ	开局羊毛+9	开局羊毛+9
12001	4	1	RuneSetting_name_12001	RuneSetting_des_12001	RuneSetting_attrdes_12001	set:runeIcon.json image:rune_12001	1	112001	1	木镐Ⅰ	开局木镐+1	开局木镐+1
12002	4	2	RuneSetting_name_12002	RuneSetting_des_12002	RuneSetting_attrdes_12002	set:runeIcon.json image:rune_12002	1	212002	2	木镐Ⅱ	开局木镐+1	开局木镐+1
12003	4	3	RuneSetting_name_12003	RuneSetting_des_12003	RuneSetting_attrdes_12003	set:runeIcon.json image:rune_12003	1	312003	5	木镐Ⅲ	开局木镐+1	开局木镐+1
12101	4	1	RuneSetting_name_12101	RuneSetting_des_12101	RuneSetting_attrdes_12101	set:runeIcon.json image:rune_12101	1	112101	1	木斧Ⅰ	开局木斧+1	开局木斧+1
12102	4	2	RuneSetting_name_12102	RuneSetting_des_12102	RuneSetting_attrdes_12102	set:runeIcon.json image:rune_12102	1	212102	2	木斧Ⅱ	开局木斧+1	开局木斧+1
12103	4	3	RuneSetting_name_12103	RuneSetting_des_12103	RuneSetting_attrdes_12103	set:runeIcon.json image:rune_12103	1	312103	5	木斧Ⅲ	开局木斧+1	开局木斧+1
12201	4	1	RuneSetting_name_12201	RuneSetting_des_12201	RuneSetting_attrdes_12201	set:runeIcon.json image:rune_12201	1	112201	1	剪刀Ⅰ	开局剪刀+1	开局剪刀+1
12202	4	2	RuneSetting_name_12202	RuneSetting_des_12202	RuneSetting_attrdes_12202	set:runeIcon.json image:rune_12202	1	212202	2	剪刀Ⅱ	开局剪刀+1	开局剪刀+1
12203	4	3	RuneSetting_name_12203	RuneSetting_des_12203	RuneSetting_attrdes_12203	set:runeIcon.json image:rune_12203	1	312203	5	剪刀Ⅲ	开局剪刀+1	开局剪刀+1
12301	4	1	RuneSetting_name_12301	RuneSetting_des_12301	RuneSetting_attrdes_12301	set:runeIcon.json image:rune_12301	1	112301	1	铁墓Ⅰ	复活获得铁锭+1	复活获得铁锭+1
12302	4	2	RuneSetting_name_12302	RuneSetting_des_12302	RuneSetting_attrdes_12302	set:runeIcon.json image:rune_12302	1	212302	2	铁墓Ⅱ	复活获得铁锭+2	复活获得铁锭+2
12303	4	3	RuneSetting_name_12303	RuneSetting_des_12303	RuneSetting_attrdes_12303	set:runeIcon.json image:rune_12303	1	312303	5	铁墓Ⅲ	复活获得铁锭+3	复活获得铁锭+3
12401	4	1	RuneSetting_name_12401	RuneSetting_des_12401	RuneSetting_attrdes_12401	set:runeIcon.json image:rune_12401	1	112401	1	金墓Ⅰ	复活获得金锭+0.25	复活获得金锭+0.25
12402	4	2	RuneSetting_name_12402	RuneSetting_des_12402	RuneSetting_attrdes_12402	set:runeIcon.json image:rune_12402	1	212402	2	金墓Ⅱ	复活获得金锭+0.5	复活获得金锭+0.5
12403	4	3	RuneSetting_name_12403	RuneSetting_des_12403	RuneSetting_attrdes_12403	set:runeIcon.json image:rune_12403	1	312403	5	金墓Ⅲ	复活获得金锭+1	复活获得金锭+1
12501	4	1	RuneSetting_name_12501	RuneSetting_des_12501	RuneSetting_attrdes_12501	set:runeIcon.json image:rune_12501	1	112501	1	毛堆Ⅰ	复活获得羊毛+2	复活获得羊毛+2
12502	4	2	RuneSetting_name_12502	RuneSetting_des_12502	RuneSetting_attrdes_12502	set:runeIcon.json image:rune_12502	1	212502	2	毛堆Ⅱ	复活获得羊毛+3	复活获得羊毛+3
12503	4	3	RuneSetting_name_12503	RuneSetting_des_12503	RuneSetting_attrdes_12503	set:runeIcon.json image:rune_12503	1	312503	5	毛堆Ⅲ	复活获得羊毛+4	复活获得羊毛+4
20101	1	1	RuneSetting_name_10101	RuneSetting_des_10101	RuneSetting_attrdes_10101	set:bedwar_license_reward.json image:rune_20101	-1	1110101	0	剑刃Ⅰ	剑伤害+0.15	剑伤害+0.15
20102	1	2	RuneSetting_name_10102	RuneSetting_des_10102	RuneSetting_attrdes_10102	set:runeIcon.json image:rune_10102	-1	1210102	0	剑刃Ⅱ	剑伤害+0.19	剑伤害+0.19
20103	1	3	RuneSetting_name_10103	RuneSetting_des_10103	RuneSetting_attrdes_10103	set:runeIcon.json image:rune_10103	-1	1310103	0	剑刃Ⅲ	剑伤害+0.25	剑伤害+0.25
20201	1	1	RuneSetting_name_10201	RuneSetting_des_10201	RuneSetting_attrdes_10201	set:runeIcon.json image:rune_10201	-1	1110201	0	弓箭Ⅰ	弓箭伤害+0.15	弓箭伤害+0.15
20202	1	2	RuneSetting_name_10202	RuneSetting_des_10202	RuneSetting_attrdes_10202	set:runeIcon.json image:rune_10202	-1	1210202	0	弓箭Ⅱ	弓箭伤害+0.19	弓箭伤害+0.19
20203	1	3	RuneSetting_name_10203	RuneSetting_des_10203	RuneSetting_attrdes_10203	set:runeIcon.json image:rune_10203	-1	1310203	0	弓箭Ⅲ	弓箭伤害+0.25	弓箭伤害+0.25
20301	1	1	RuneSetting_name_10301	RuneSetting_des_10301	RuneSetting_attrdes_10301	set:runeIcon.json image:rune_10301	-1	1110301	0	击退Ⅰ	击退距离+0.08	击退距离+0.08
20302	1	2	RuneSetting_name_10302	RuneSetting_des_10302	RuneSetting_attrdes_10302	set:runeIcon.json image:rune_10302	-1	1210302	0	击退Ⅱ	击退距离+0.12	击退距离+0.12
20303	1	3	RuneSetting_name_10303	RuneSetting_des_10303	RuneSetting_attrdes_10303	set:runeIcon.json image:rune_10303	-1	1310303	0	击退Ⅲ	击退距离+0.16	击退距离+0.16
20401	1	1	RuneSetting_name_10401	RuneSetting_des_10401	RuneSetting_attrdes_10401	set:runeIcon.json image:rune_10401	-1	1110401	0	吸血Ⅰ	吸血1.9%	吸血1.9%
20402	1	2	RuneSetting_name_10402	RuneSetting_des_10402	RuneSetting_attrdes_10402	set:treasure_runeIcon.json image:runeIcon_1	-1	1210402	0	吸血Ⅱ	吸血2.6%	吸血2.6%
20403	1	3	RuneSetting_name_10403	RuneSetting_des_10403	RuneSetting_attrdes_10403	set:runeIcon.json image:rune_10403	-1	1310403	0	吸血Ⅲ	吸血3.5%	吸血3.5%
20501	1	1	RuneSetting_name_10501	RuneSetting_des_10501	RuneSetting_attrdes_10501	set:runeIcon.json image:rune_10501	-1	1110501	0	暴击Ⅰ	暴击几率+2.2%	暴击几率+2.2%
20502	1	2	RuneSetting_name_10502	RuneSetting_des_10502	RuneSetting_attrdes_10502	set:runeIcon.json image:rune_10502	-1	1210502	0	暴击Ⅱ	暴击几率+2.8%	暴击几率+2.8%
20503	1	3	RuneSetting_name_10503	RuneSetting_des_10503	RuneSetting_attrdes_10503	set:runeIcon.json image:rune_10503	-1	1310503	0	暴击Ⅲ	暴击几率+3.5%	暴击几率+3.5%
20601	1	1	RuneSetting_name_10601	RuneSetting_des_10601	RuneSetting_attrdes_10601	set:runeIcon.json image:rune_10601	-1	1110601	0	火剑Ⅰ	剑攻击2.5%燃烧敌人	剑攻击2.5%燃烧敌人
20602	1	2	RuneSetting_name_10602	RuneSetting_des_10602	RuneSetting_attrdes_10602	set:runeIcon.json image:rune_10602	-1	1210602	0	火剑Ⅱ	剑攻击3.1%燃烧敌人	剑攻击3.1%燃烧敌人
20603	1	3	RuneSetting_name_10603	RuneSetting_des_10603	RuneSetting_attrdes_10603	set:runeIcon.json image:rune_10603	-1	1310603	0	火剑Ⅲ	剑攻击4.3%燃烧敌人	剑攻击4.3%燃烧敌人
20701	2	1	RuneSetting_name_10701	RuneSetting_des_10701	RuneSetting_attrdes_10701	set:runeIcon.json image:rune_10701	-1	1110701	0	强壮Ⅰ	最大生命值+0.3	最大生命值+0.3
20702	2	2	RuneSetting_name_10702	RuneSetting_des_10702	RuneSetting_attrdes_10702	set:runeIcon.json image:rune_10702	-1	1210702	0	强壮Ⅱ	最大生命值+0.5	最大生命值+0.5
20703	2	3	RuneSetting_name_10703	RuneSetting_des_10703	RuneSetting_attrdes_10703	set:runeIcon.json image:rune_10703	-1	1310703	0	强壮Ⅲ	最大生命值+0.7	最大生命值+0.7
20801	2	1	RuneSetting_name_10801	RuneSetting_des_10801	RuneSetting_attrdes_10801	set:runeIcon.json image:rune_10801	-1	1110801	0	恢复Ⅰ	生命恢复+0.15/5秒	生命恢复+0.15/5秒
20802	2	2	RuneSetting_name_10802	RuneSetting_des_10802	RuneSetting_attrdes_10802	set:runeIcon.json image:rune_10802	-1	1210802	0	恢复Ⅱ	生命恢复+0.2/5秒	生命恢复+0.2/5秒
20803	2	3	RuneSetting_name_10803	RuneSetting_des_10803	RuneSetting_attrdes_10803	set:runeIcon.json image:rune_10803	-1	1310803	0	恢复Ⅲ	生命恢复+0.25/5秒	生命恢复+0.25/5秒
20901	2	1	RuneSetting_name_10901	RuneSetting_des_10901	RuneSetting_attrdes_10901	set:runeIcon.json image:rune_10901	-1	1110901	0	保护Ⅰ	伤害减免+1.5%	伤害减免+1.5%
20902	2	2	RuneSetting_name_10902	RuneSetting_des_10902	RuneSetting_attrdes_10902	set:runeIcon.json image:rune_10902	-1	1210902	0	保护Ⅱ	伤害减免+2.5%	伤害减免+2.5%
20903	2	3	RuneSetting_name_10903	RuneSetting_des_10903	RuneSetting_attrdes_10903	set:runeIcon.json image:rune_10903	-1	1310903	0	保护Ⅲ	伤害减免+3.5%	伤害减免+3.5%
21001	2	1	RuneSetting_name_11001	RuneSetting_des_11001	RuneSetting_attrdes_11001	set:runeIcon.json image:rune_11001	-1	1111001	0	壮大Ⅰ	每180秒增加0.06点最大生命值	每180秒增加0.06点最大生命值
21002	2	2	RuneSetting_name_11002	RuneSetting_des_11002	RuneSetting_attrdes_11002	set:runeIcon.json image:rune_11002	-1	1211002	0	壮大Ⅱ	每180秒增加0.1点最大生命值	每180秒增加0.1点最大生命值
21003	2	3	RuneSetting_name_11003	RuneSetting_des_11003	RuneSetting_attrdes_11003	set:runeIcon.json image:rune_11003	-1	1311003	0	壮大Ⅲ	每180秒增加0.14点最大生命值	每180秒增加0.14点最大生命值
21101	2	1	RuneSetting_name_11101	RuneSetting_des_11101	RuneSetting_attrdes_11101	set:runeIcon.json image:rune_11101	-1	1111101	0	成长Ⅰ	前15分钟增加0.48点最大生命值	前15分钟增加0.48点最大生命值
21102	2	2	RuneSetting_name_11102	RuneSetting_des_11102	RuneSetting_attrdes_11102	set:runeIcon.json image:rune_11102	-1	1211102	0	成长Ⅱ	前15分钟增加0.8点最大生命值	前15分钟增加0.8点最大生命值
21103	2	3	RuneSetting_name_11103	RuneSetting_des_11103	RuneSetting_attrdes_11103	set:runeIcon.json image:rune_11103	-1	1311103	0	成长Ⅲ	前15分钟增加1.12点最大生命值	前15分钟增加1.12点最大生命值
21201	3	1	RuneSetting_name_11201	RuneSetting_des_11201	RuneSetting_attrdes_11201	set:runeIcon.json image:rune_11201	-1	1111201	0	修罗Ⅰ	击杀4%概恢复20血量	击杀4%概恢复20血量
21202	3	2	RuneSetting_name_11202	RuneSetting_des_11202	RuneSetting_attrdes_11202	set:runeIcon.json image:rune_11202	-1	1211202	0	修罗Ⅱ	击杀5.5%概恢复20血量	击杀5.5%概恢复20血量
21203	3	3	RuneSetting_name_11203	RuneSetting_des_11203	RuneSetting_attrdes_11203	set:runeIcon.json image:rune_11203	-1	1311203	0	修罗Ⅲ	击杀7%概恢复20血量	击杀7%概恢复20血量
21301	3	1	RuneSetting_name_11301	RuneSetting_des_11301	RuneSetting_attrdes_11301	set:runeIcon.json image:rune_11301	-1	1111301	0	丰收Ⅰ	击杀4%概率获5金锭	击杀4%概率获5金锭
21302	3	2	RuneSetting_name_11302	RuneSetting_des_11302	RuneSetting_attrdes_11302	set:runeIcon.json image:rune_11302	-1	1211302	0	丰收Ⅱ	击杀5.5%概率获5金锭	击杀5.5%概率获5金锭
21303	3	3	RuneSetting_name_11303	RuneSetting_des_11303	RuneSetting_attrdes_11303	set:runeIcon.json image:rune_11303	-1	1311303	0	丰收Ⅲ	击杀7%概率获5金锭	击杀7%概率获5金锭
21401	3	1	RuneSetting_name_11401	RuneSetting_des_11401	RuneSetting_attrdes_11401	set:runeIcon.json image:rune_11401	-1	1111401	0	祝福Ⅰ	击杀4%概率获20铁锭	击杀4%概率获20铁锭
21402	3	2	RuneSetting_name_11402	RuneSetting_des_11402	RuneSetting_attrdes_11402	set:runeIcon.json image:rune_11402	-1	1211402	0	祝福Ⅱ	击杀5.5%概率获20铁锭	击杀5.5%概率获20铁锭
21403	3	3	RuneSetting_name_11403	RuneSetting_des_11403	RuneSetting_attrdes_11403	set:runeIcon.json image:rune_11403	-1	1311403	0	祝福Ⅲ	击杀7%概率获20铁锭	击杀7%概率获20铁锭
21501	3	1	RuneSetting_name_11501	RuneSetting_des_11501	RuneSetting_attrdes_11501	set:runeIcon.json image:rune_11501	-1	1111501	0	幸运Ⅰ	击杀4%概率获64羊毛	击杀4%概率获64羊毛
21502	3	2	RuneSetting_name_11502	RuneSetting_des_11502	RuneSetting_attrdes_11502	set:runeIcon.json image:rune_11502	-1	1211502	0	幸运Ⅱ	击杀5.5%概率获64羊毛	击杀5.5%概率获64羊毛
21503	3	3	RuneSetting_name_11503	RuneSetting_des_11503	RuneSetting_attrdes_11503	set:runeIcon.json image:rune_11503	-1	1311503	0	幸运Ⅲ	击杀7%概率获64羊毛	击杀7%概率获64羊毛
21601	3	1	RuneSetting_name_11601	RuneSetting_des_11601	RuneSetting_attrdes_11601	set:runeIcon.json image:rune_11601	-1	1111601	0	复活Ⅰ	死亡减复活时间0.25秒	死亡减复活时间0.25秒
21602	3	2	RuneSetting_name_11602	RuneSetting_des_11602	RuneSetting_attrdes_11602	set:runeIcon.json image:rune_11602	-1	1211602	0	复活Ⅱ	死亡减复活时间0.35秒	死亡减复活时间0.35秒
21603	3	3	RuneSetting_name_11603	RuneSetting_des_11603	RuneSetting_attrdes_11603	set:runeIcon.json image:rune_11603	-1	1311603	0	复活Ⅲ	死亡减复活时间0.45秒	死亡减复活时间0.45秒
21701	4	1	RuneSetting_name_11701	RuneSetting_des_11701	RuneSetting_attrdes_11701	set:treasure_runeIcon.json image:runeIcon_2	-1	1111701	0	铁锭Ⅰ	开局铁锭+2	开局铁锭+2
21702	4	2	RuneSetting_name_11702	RuneSetting_des_11702	RuneSetting_attrdes_11702	set:treasure_runeIcon.json image:runeIcon_3	-1	1211702	0	铁锭Ⅱ	开局铁锭+3	开局铁锭+3
21703	4	3	RuneSetting_name_11703	RuneSetting_des_11703	RuneSetting_attrdes_11703	set:runeIcon.json image:rune_11703	-1	1311703	0	铁锭Ⅲ	开局铁锭+4	开局铁锭+4
21801	4	1	RuneSetting_name_11801	RuneSetting_des_11801	RuneSetting_attrdes_11801	set:runeIcon.json image:rune_11801	-1	1111801	0	金锭Ⅰ	开局金锭+0.5	开局金锭+0.5
21802	4	2	RuneSetting_name_11802	RuneSetting_des_11802	RuneSetting_attrdes_11802	set:runeIcon.json image:rune_11802	-1	1211802	0	金锭Ⅱ	开局金锭+1	开局金锭+1
21803	4	3	RuneSetting_name_11803	RuneSetting_des_11803	RuneSetting_attrdes_11803	set:runeIcon.json image:rune_11803	-1	1311803	0	金锭Ⅲ	开局金锭+2	开局金锭+2
21901	4	1	RuneSetting_name_11901	RuneSetting_des_11901	RuneSetting_attrdes_11901	set:runeIcon.json image:rune_11901	-1	1111901	0	羊毛Ⅰ	开局羊毛+4	开局羊毛+4
21902	4	2	RuneSetting_name_11902	RuneSetting_des_11902	RuneSetting_attrdes_11902	set:runeIcon.json image:rune_11902	-1	1211902	0	羊毛Ⅱ	开局羊毛+6	开局羊毛+6
