id	名字多语言	类型(任务表读这个ID)	Unnamed: 3	actor名称	默认配置应该是body	bodyId	杀死后获得的物品奖励(物品id:物品meta:数量:概率) 概率是 0-100, 多个用#分隔	死亡特效	掉落散开半径	生命值	攻击力	防御力	攻击cd	攻击距离	移动速度(moveSpeed/500*x + x)      x为默认速度	视野范围	视野角度	奔跑速度增量	是否飞行	能否逃跑	巡逻类型(1、)	每次巡逻移动距离	巡逻范围	巡逻CD	警戒时间	追击范围	能否召集同伴	召集范围
4010	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4011	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4012	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4013	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4014	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4015	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4016	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4017	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4018	monsterName4002	4002	骷髅	g1048_skele.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:40#49:0:1:10#2500:0:1:2#266:0:1:22#264:0:1:2#215:0:1:3	monster_die1.effect	1	50	5	0	1	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4019	monsterName4003	4003	僵尸	g1048_dajiangshi.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:50#89:0:1:3#2500:0:1:3#266:0:1:28#264:0:1:2#215:0:1:3	monster_die1.effect	1	85	12	0	2	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4020	monsterName4003	4003	僵尸	g1048_dajiangshi.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:50#89:0:1:3#2500:0:1:3#266:0:1:28#264:0:1:2#215:0:1:3	monster_die1.effect	1	85	12	0	2	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4021	monsterName4003	4003	僵尸	g1048_dajiangshi.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:50#89:0:1:3#2500:0:1:3#266:0:1:28#264:0:1:2#215:0:1:3	monster_die1.effect	1	85	12	0	2	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4022	monsterName4003	4003	僵尸	g1048_dajiangshi.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:50#89:0:1:3#2500:0:1:3#266:0:1:28#264:0:1:2#215:0:1:3	monster_die1.effect	1	85	12	0	2	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4023	monsterName4003	4003	僵尸	g1048_dajiangshi.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:50#89:0:1:3#2500:0:1:3#266:0:1:28#264:0:1:2#215:0:1:3	monster_die1.effect	1	85	12	0	2	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4024	monsterName4003	4003	僵尸	g1048_dajiangshi.actor	body	1	263:0:1:50#17:0:1:30#265:0:1:50#89:0:1:3#2500:0:1:3#266:0:1:28#264:0:1:2#215:0:1:3	monster_die1.effect	1	85	12	0	2	2	1	5	180	1	0	0	2	1	10	0.5	0.5	6	0	0
4025	monsterName4004	4004	凋零	g1048_diaoling.actor	body	1	263:0:1:0#265:0:1:0#49:0:1:100#2500:0:2:100#266:0:2:100#264:0:3:100#264:0:3:50#388:0:3:100#89:0:2:50#41:0:3:100#409:0:3:100#112:0:3:100#215:0:3:100#215:0:3:100#2421:0:2:100#57:0:2:100#133:0:1:100#133:0:2:30#168:0:1:100#311:0:1:30#312:0:1:30#276:0:1:30	monster_die1.effect	3	10560	18	0	1.5	3	1	4	180	1	0	0	2	1	3	0.1	0.5	6	1	500
4026	monsterName4005	4005	冰霜巨龙	g1048_bonedragon.actor	body	1	49:0:0:0#2500:0:4:100#266:0:6:100#264:0:4:100#388:0:4:100#41:0:3:100#89:0:2:100#409:0:4:100#215:0:2:100#215:0:2:100#57:0:2:100#133:0:2:100#57:0:2:100#133:0:1:100#57:0:1:100#133:0:1:100#2421:0:2:100#2421:0:2:100#2420:0:2:100#112:0:2:100#168:0:2:100#311:0:1:40#312:0:1:40#276:0:1:40#313:0:1:40	monster_die1.effect	3	21120	28	0	2	5	1	6	180	1	1	0	2	10	15	0.1	0.5	8	0	0
