index	mapId	teamId	队伍名字（对应gametips上的队伍名字的编号）	玩家复活，游戏开始点X	家的范围	资源点Id	床位置	床的朝向	模板组id	不能放置方块区域	初始物品	羊毛方块Id	傀儡Id	放setting表	Unnamed: 14
38	8	6	1008040	26,62,516	6,53,503#47,100,530	14	34,63,516#35,63,516	270	4	22,61,512#31,64,521	705#706#707#708#268	1446	576	白队	气球
39	8	7	1008041	26,62,476	6,53,463#47,100,490	15	34,63,476#35,63,476	270	4	22,61,472#31,64,481	709#710#711#712#268	1447	575	粉队	气球
40	8	8	1008042	76,62,426	63,53,406#90,100,447	16	76,63,434#76,63,435	0	4	72,61,422#81,64,431	713#714#715#716#268	1448	574	黑队	气球
41	9	1	1008034	814.5,100.5,451.5	799,76,444#821,118,465	9	816,98,460#816,98,461	0	4	806,100,448#817,103,455	2056#2057#2058#2059#268	1441	581	红队	精灵
42	9	2	1008035	850.5,100.5,414.5	844,76,403#864,118,422	10	859,98,417#860,98,417	270	4	847,100,407#854,103,418	2060#2061#2062#2063#268	1442	580	蓝队	精灵
43	9	3	1008036	898.5,100.5,414.5	885,76,403#905,118,422	11	888,98,417#889,98,417	90	4	895,100,407#902,103,418	2064#2065#2066#2067#268	1443	579	绿队	精灵
44	9	4	1008037	935.5,100.5,451.5	928,76,445#947,118,465	12	932,98,460#932,98,461	0	4	932,100,448#942,103,455	2068#2069#2070#2071#268	1444	578	黄队	精灵
45	9	5	1008039	935.5,100.5,499.5	928,76,485#947,118,507	13	932,98,489#932,98,490	180	4	932,100,496#942,103,503	701#702#703#704#268	1445	577	青队	精灵
46	9	6	1008040	898.5,100.5,535.5	885,76,529#905,118,547	14	888,98,533#889,98,533	90	4	895,100,533#902,103,543	705#706#707#708#268	1446	576	白队	精灵
47	9	7	1008041	850.5,100.5,535.5	844,76,529#865,118,547	15	859,98,533#860,98,533	270	4	847,100,533#854,103,543	709#710#711#712#268	1447	575	粉队	精灵
48	9	8	1008042	814.5,100.5,499.5	799,76,486#821,118,507	16	816,98,489#816,98,490	180	4	806,100,496#817,103,503	713#714#715#716#268	1448	574	黑队	精灵
49	10	1	1008034	1297.5,84,409.5	1288,79,400#1307,89,420	9	1297,83,415#1297,83,416	0	4	1294,83,404#1301,87,411	2056#2057#2058#2059#268	1441	581	红队	8队圣诞节
50	10	2	1008035	1345.5,84,457.5	1335,79,448#1355,89,467	10	1338,83,457#1339,83,457	90	4	1344,83,454#1351,87,461	2060#2061#2062#2063#268	1442	580	蓝队	8队圣诞节
51	10	3	1008036	1345.5,84,497.5	1335,79,488#1355,89,507	11	1338,83,497#1339,83,497	90	4	1344,83,494#1351,87,501	2064#2065#2066#2067#268	1443	579	绿队	8队圣诞节
52	10	4	1008037	1297.5,84,545.5	1288,79,535#1307,89,555	12	1297,83,538#1297,83,539	180	4	1294,83,544#1301,87,551	2068#2069#2070#2071#268	1444	578	黄队	8队圣诞节
53	10	5	1008039	1257.5,84,545.5	1248,79,535#1267,89,555	13	1257,83,538#1257,83,539	180	4	1254,83,544#1261,87,551	701#702#703#704#268	1445	577	青队	8队圣诞节
54	10	6	1008040	1209.5,84,497.5	1200,79,488#1220,89,507	14	1215,83,497#1216,83,497	270	4	1204,83,494#1211,87,501	705#706#707#708#268	1446	576	白队	8队圣诞节
55	10	7	1008041	1209.5,84,457.5	1200,79,448#1220,89,467	15	1215,83,457#1216,83,457	270	4	1204,83,454#1211,87,461	709#710#711#712#268	1447	575	粉队	8队圣诞节
56	10	8	1008042	1257.5,84,409.5	1248,79,400#1267,89,420	16	1257,83,415#1257,83,416	0	4	1254,83,404#1261,87,411	713#714#715#716#268	1448	574	黑队	8队圣诞节
57	11	1	1008034	3411.5,81,33.5	3393,74,12#3430,120,49	7	3411,80,42#3411,80,43	90	1	3402,79,22#3421,96,38	2056#2057#2058#2059#268	1441	581	红队	太空
58	11	2	1008035	3411.5,81,189.5	3393,74,174#3430,120,211	8	3411,80,179#3411,80,180	270	1	3402,79,185#3421,96,201	2060#2061#2062#2063#268	1442	580	蓝队	太空
59	11	3	1008036	3333.5,81,111.5	3312,74,93#3349,120,130	9	3343,80,111#3342,80,111	180	2	3321,79,102#3338,96,121	2064#2065#2066#2067#268	1443	579	绿队	太空
60	11	4	1008037	3489.5,81,111.5	3474,74,93#3511,120,130	10	3479,80,111#3480,80,111	0	1	3485,79,102#3501,96,121	2068#2069#2070#2071#268	1444	578	黄队	太空
61	12	1	1008034	3972.5,81,10.5	3964,80,0#3981,93,22	7	3972,81,17#3972,81,18	90	1	3969,81,3#3976,93,14	2056#2057#2058#2059#268	1441	581	红队	风车
62	12	2	1008035	3972.5,81,134.5	3964,80,123#3981,93,145	8	3972,81,126#3972,81,127	270	1	3969,81,131#3976,93,142	2060#2061#2062#2063#268	1442	580	蓝队	风车
63	12	3	1008036	3910.5,81,72.5	3900,80,64#3922,93,81	9	3918,81,72#3917,81,72	180	2	3903,81,69#3914,93,76	2064#2065#2066#2067#268	1443	579	绿队	风车
64	12	4	1008037	4034.5,81,72.5	4023,80,64#4045,93,81	10	4026,81,72#4027,81,72	0	1	4031,81,69#4042,93,76	2068#2069#2070#2071#268	1444	578	黄队	风车
65	13	1	1008034	4607.5,82,18.5	4593,80,0#4620,94,30	7	4607,82,8#4607,82,9	90	1	4604,81,15#4611,94,21	2056#2057#2058#2059#268	1441	581	红队	城堡
66	13	2	1008035	4607.5,82,196.5	4595,80,185#4622,94,215	8	4607,82,205#4607,82,206	270	1	4604,81,194#4611,94,200	2060#2061#2062#2063#268	1442	580	蓝队	城堡
67	13	3	1008036	4518.5,82,107.5	4500,80,95#4530,94,122	9	4509,82,107#4508,82,107	180	2	4515,81,104#4521,94,111	2064#2065#2066#2067#268	1443	579	绿队	城堡
68	13	4	1008037	4696.5,82,107.5	4685,80,93#4715,94,120	10	4705,82,107#4706,82,107	0	1	4694,81,104#4700,94,111	2068#2069#2070#2071#268	1444	578	黄队	城堡
69	14	1	1008034	5086.5,82,7.5	5072,77,0#5101,103,28	7	5086,80,22#5086,80,23	90	1	5075,80,2#5096,98,13	2056#2057#2058#2059#268	1441	581	红队	儿童节
70	14	2	1008035	5086.5,82,165.5	5072,77,145#5101,103,173	8	5086,80,149#5086,80,150	270	1	5077,80,160#5098,98,171	2060#2061#2062#2063#268	1442	580	蓝队	儿童节
71	14	3	1008036	5007.5,82,86.5	5000,77,72#5028,103,101	9	5023,80,86#5022,80,86	180	2	5002,80,77#5013,98,98	2064#2065#2066#2067#268	1443	579	绿队	儿童节
72	14	4	1008037	5165.5,82,86.5	5145,77,72#5173,103,101	10	5149,80,86#5150,80,86	0	1	5160,80,75#5171,98,96	2068#2069#2070#2071#268	1444	578	黄队	儿童节
