Index	season	RewardId	RewardNum	RewardType	SortWeight	RewardValue	Unnamed: 7	Unnamed: 8
61	4	6001	1	1	100	188		冰晶箭
62	4	2007	1	1	99	358		量子拖尾
63	4	10013	1	1	98	80		红缎带木剑
64	4	60102	170	1	97	170		号角
65	4	60101	215	1	96	108		钥匙
66	4	60104	2	1	95	300		钻石宝箱
67	4	60103	25	1	94	125		黄金宝箱
68	4	3019	1	2	93	2988		雷龙
69	4	7007	1	2	92	988		幻影刀光
70	4	2010	1	2	91	588		音符拖尾
71	4	5012	1	2	90	288		倒立
72	4	60342	3	2	89	1800		剑刃Ⅲ
73	4	60104	2	2	88	300		钻石宝箱
74	4	60103	18	2	87	90		黄金宝箱
75	4	60102	950	2	86	950		号角
76	4	60101	520	2	85	260		钥匙
77	4	60218	1	2	84	20		经验翻倍24h
78	4	60214	1	2	83	12		生命值强化24h
79	4	60217	1	2	82	8		快速复活24h
80	4	60213	1	2	81	13		道具特权24h
81	5	3018	1	2	93	2988		驯鹿
82	5	7015	1	2	92	988		圣诞刀光
83	5	2016	1	2	91	988		圣诞拖尾
84	5	5017	1	2	90	588		骑马
85	5	60349	3	2	89	1800		暴击Ⅲ
86	5	60104	2	2	88	300		钻石宝箱
87	5	60103	18	2	87	90		黄金宝箱
88	5	60102	950	2	86	950		号角
89	5	60101	520	2	85	260		钥匙
90	5	60218	1	2	84	20		经验翻倍24h
91	5	60214	1	2	83	12		生命值强化24h
92	5	60217	1	2	82	8		快速复活24h
93	5	60213	1	2	81	13		道具特权24h
94	5	6016	1	1	100	358		圣诞箭
95	5	2004	1	1	99	788		腾云拖尾
96	5	202016	120	1	98	120		流氓皇帝
97	5	60102	170	1	97	170		号角
98	5	60101	215	1	96	108		钥匙
99	5	60104	2	1	95	300		钻石宝箱
100	5	60103	25	1	94	125		黄金宝箱
101	6	3021	1	2	93	2988		雪人
102	6	7010	1	2	92	988		猫脸刀光
103	6	2012	1	2	91	988		冰冻拖尾
104	6	5015	1	2	90	588		甩手舞
105	6	60358	3	2	89	1800		修罗Ⅲ
106	6	60104	2	2	88	300		钻石宝箱
107	6	60103	18	2	87	90		黄金宝箱
108	6	60102	950	2	86	950		号角
109	6	60101	520	2	85	260		钥匙
110	6	60218	1	2	84	20		经验翻倍24h
111	6	60214	1	2	83	12		生命值强化24h
112	6	60217	1	2	82	8		快速复活24h
113	6	60213	1	2	81	13		道具特权24h
114	6	6011	1	1	100	588		星辰箭
115	6	2008	1	1	99	788		幽灵鬼脸拖尾
116	6	10015	1	1	98	120		刺客木刃
117	6	60102	170	1	97	170		号角
118	6	60101	215	1	96	108		钥匙
119	6	60104	2	1	95	300		钻石宝箱
120	6	60103	25	1	94	125		黄金宝箱
121	7	3022	1	2	93	2988		人鱼公主
122	7	7005	1	2	92	988		火焰刀光
123	7	2014	1	2	91	988		筋斗云拖尾
124	7	5005	1	2	90	358		托马斯回旋
125	7	60356	3	2	89	1800		保护Ⅲ
126	7	60104	2	2	88	300		钻石宝箱
127	7	60103	18	2	87	90		黄金宝箱
128	7	60102	950	2	86	950		号角
129	7	60101	520	2	85	260		钥匙
130	7	60218	1	2	84	20		经验翻倍24h
131	7	60214	1	2	83	12		生命值强化24h
132	7	60217	1	2	82	8		快速复活24h
133	7	60213	1	2	81	13		道具特权24h
134	7	6015	1	1	100	588		红外箭
135	7	2003	1	1	99	788		樱花拖尾
136	7	10020	1	1	98	100		充能战刃
137	7	60102	170	1	97	170		号角
138	7	60101	215	1	96	108		钥匙
139	7	60104	2	1	95	300		钻石宝箱
140	7	60103	25	1	94	125		黄金宝箱
141	8	3023	1	2	93	2988		摇滚兔
142	8	7016	1	2	92	988		影子刀光
143	8	2017	1	2	91	988		飞羽拖尾
144	8	5018	1	2	90	588		愉悦
145	8	60361	3	2	89	1800		铁墓Ⅲ
146	8	60104	2	2	88	300		钻石宝箱
147	8	60103	18	2	87	90		黄金宝箱
148	8	60102	950	2	86	950		号角
149	8	60101	520	2	85	260		钥匙
150	8	60218	1	2	84	20		经验翻倍24h
151	8	60214	1	2	83	12		生命值强化24h
152	8	60217	1	2	82	8		快速复活24h
153	8	60213	1	2	81	13		道具特权24h
154	8	6017	1	1	100	588		暗星
155	8	2015	1	1	99	988		蝙蝠拖尾
156	8	10017	1	1	98	100		幽灵剑
157	8	60102	170	1	97	170		号角
158	8	60101	215	1	96	108		钥匙
159	8	60104	2	1	95	300		钻石宝箱
160	8	60103	25	1	94	125		黄金宝箱
161	9	3024	1	2	93	2988		火狐
162	9	7019	1	2	92	988		破碎刀光
163	9	2018	1	2	91	988		生机拖尾
164	9	5016	1	2	90	588		摇摆
165	9	60359	3	2	89	1800		金锭Ⅲ
166	9	60104	2	2	88	300		钻石宝箱
167	9	60103	18	2	87	90		黄金宝箱
168	9	60102	950	2	86	950		号角
169	9	60101	520	2	85	260		钥匙
170	9	60218	1	2	84	20		经验翻倍24h
171	9	60214	1	2	83	12		生命值强化24h
172	9	60217	1	2	82	8		快速复活24h
173	9	60213	1	2	81	13		道具特权24h
174	9	6014	1	1	100	358		闪电箭
175	9	2009	1	1	99	988		水泡
176	9	10010	1	1	98	100		圣骑士枪
177	9	60102	170	1	97	170		号角
178	9	60101	215	1	96	108		钥匙
179	9	60104	2	1	95	300		钻石宝箱
180	9	60103	25	1	94	125		黄金宝箱
181	10	3026	1	2	93	2988		鸵鸟
182	10	7020	1	2	92	988		烟花刀光
183	10	2020	1	2	91	988		浪花拖尾
184	10	5020	1	2	90	588		蹦迪
185	10	60346	3	2	89	1800		祝福Ⅲ
186	10	60104	2	2	88	300		钻石宝箱
187	10	60103	11	2	87	55		黄金宝箱
188	10	60102	930	2	86	930		号角
189	10	999900	40	2	85	40		通用碎片
190	10	60101	355	2	84	178		钥匙
191	10	30001	150	2	83	38		金锭
192	10	30002	100	2	82	5		铁锭
193	10	30003	10	2	81	30		滑翔伞
194	10	30004	8	2	80	240		末影龙卷轴
195	10	30005	20	2	79	160		击退棒
196	10	30006	150	2	78	750		黑曜石
197	10	30007	30	2	77	150		TNT
198	10	30008	30	2	76	30		闪现珍珠
199	10	30010	30	2	75	60		火焰弹
200	10	30011	15	2	74	15		金苹果
201	10	30012	10	2	73	15		搭桥蛋（新）
202	10	30014	15	2	72	45		救援平台
203	10	30016	15	2	71	15		伪装地雷
204	10	30017	15	2	70	15		冰冻夹子
205	10	30019	20	2	69	20		防御塔
206	10	30023	10	2	68	20		隐身药水
207	10	6003	1	1	67	588		光箭
208	10	2006	1	1	66	988		赛博拖尾
209	10	10073	1	1	65	800		蒲公英头盔
210	10	60102	170	1	64	170		号角
211	10	999900	80	1	63	80		通用碎片
212	10	60101	190	1	62	95		钥匙
213	10	60104	2	1	61	300		钻石宝箱
214	10	60103	4	1	60	20		黄金宝箱
215	10	30001	40	1	59	10		金锭
216	10	30002	60	1	58	3		铁锭
217	10	30005	1	1	57	8		击退棒
218	10	30010	5	1	56	10		火焰弹
219	10	30011	5	1	55	5		金苹果
220	11	3028	1	2	93	2988		烈焰猪
221	11	7021	1	2	92	988		水波刀光
222	11	2008	0	2	91	0		幽灵鬼脸拖尾
223	11	5021	1	2	90	588		远眺
224	11	60349	3	2	89	1800		暴击Ⅲ
225	11	60104	2	2	88	300		钻石宝箱
226	11	60103	11	2	87	55		黄金宝箱
227	11	60102	930	2	86	930		号角
228	11	999900	40	2	85	40		通用碎片
229	11	60101	355	2	84	178		钥匙
230	11	30001	150	2	83	38		金锭
231	11	30002	100	2	82	5		铁锭
232	11	30003	10	2	81	30		滑翔伞
233	11	30004	8	2	80	240		末影龙卷轴
234	11	30005	20	2	79	160		击退棒
235	11	30006	150	2	78	750		黑曜石
236	11	30007	30	2	77	150		TNT
237	11	30008	30	2	76	30		闪现珍珠
238	11	30010	30	2	75	60		火焰弹
239	11	30011	15	2	74	15		金苹果
240	11	30012	10	2	73	15		搭桥蛋（新）
241	11	30014	15	2	72	45		救援平台
242	11	30016	15	2	71	15		伪装地雷
243	11	30017	15	2	70	15		冰冻夹子
244	11	30019	20	2	69	20		防御塔
245	11	30023	10	2	68	20		隐身药水
246	11	6009	1	1	67	588		能量箭
247	11	2023	0	1	66	0		羽翼拖尾
248	11	10068	1	1	65	1200		食人花头盔
249	11	60102	170	1	64	170		号角
250	11	999900	80	1	63	80		通用碎片
251	11	60101	190	1	62	95		钥匙
252	11	60104	2	1	61	300		钻石宝箱
253	11	60103	4	1	60	20		黄金宝箱
254	11	30001	40	1	59	10		金锭
255	11	30002	60	1	58	3		铁锭
256	11	30005	1	1	57	8		击退棒
257	11	30010	5	1	56	10		火焰弹
258	11	30011	5	1	55	5		金苹果
