索引	所属类型	多语言	概率多语言
75	g1047_1	鹅卵石楼梯x16	2.94%
76	g1047_1	木质压力板x16	2.94%
77	g1047_1	红石火把x14	2.94%
78	g1047_1	冰x18	2.94%
79	g1047_1	雪方块x16	2.94%
80	g1047_1	橡木栅栏x16	2.94%
81	g1047_1	萤石x12	2.94%
82	g1047_1	白色钢化玻璃x16	2.94%
83	g1047_1	橙色钢化玻璃x16	2.94%
84	g1047_1	品红色钢化玻璃x16	2.94%
85	g1047_1	浅蓝色钢化玻璃x16	2.94%
86	g1047_1	黄色钢化玻璃x16	2.94%
87	g1047_1	浅绿色钢化玻璃x16	2.94%
88	g1047_1	粉色钢化玻璃x16	2.94%
89	g1047_1	灰色钢化玻璃x16	2.94%
90	g1047_1	浅灰色钢化玻璃x16	2.94%
91	g1047_1	青色钢化玻璃x16	2.94%
92	g1047_1	紫色钢化玻璃x16	2.94%
93	g1047_1	蓝色钢化玻璃x16	2.94%
94	g1047_1	棕色钢化玻璃x16	2.94%
95	g1047_1	绿色钢化玻璃x16	2.94%
96	g1047_1	红色钢化玻璃x16	2.94%
97	g1047_1	黑色钢化玻璃x16	2.94%
98	g1047_1	石砖x18	2.94%
99	g1047_1	草石砖x18	2.94%
100	g1047_1	破损石砖x18	2.94%
101	g1047_1	凿刻石砖x18	2.94%
102	g1047_1	暗砖x18	2.94%
103	g1047_1	-	-
104	g1047_1	紫色老虎机左	概率：
105	g1047_1	蓝白长沙发	3.45%
106	g1047_1	白长沙发	3.45%
107	g1047_1	蓝白沙发	3.45%
108	g1047_1	白沙发	3.45%
109	g1047_1	绿色椅	3.45%
110	g1047_1	铁栅栏x14	3.45%
111	g1047_1	玻璃窗格x16	3.45%
112	g1047_1	砖块楼梯x16	3.45%
113	g1047_1	石砖楼梯x16	3.45%
114	g1047_1	暗砖栅栏x16	3.45%
115	g1047_1	暗砖楼梯x16	3.45%
116	g1047_1	红石灯x10	3.45%
117	g1047_1	单层橡木板x16	3.45%
118	g1047_1	单层云杉木板x16	3.45%
119	g1047_1	单层桦树木板x16	3.45%
120	g1047_1	单层丛林木板x16	3.45%
121	g1047_1	单层金合欢木板x16	3.45%
122	g1047_1	单层暗橡木板x16	3.45%
123	g1047_1	砂石楼梯x16	3.45%
124	g1047_1	绿宝石块x12	3.45%
125	g1047_1	云杉木楼梯x16	3.45%
126	g1047_1	桦树木楼梯x16	3.45%
127	g1047_1	丛林木楼梯x16	3.45%
128	g1047_1	信标x10	3.45%
129	g1047_1	鹅卵石墙x16	3.45%
130	g1047_1	红石块x12	3.45%
131	g1047_1	石英x16	3.45%
132	g1047_1	石英楼梯x14	3.45%
133	g1047_1	白色陶瓦x16	3.45%
134	g1047_1	-	-
135	g1047_1	紫色老虎机中	概率：
136	g1047_1	绿马桶	2.78%
137	g1047_1	格子椅	2.78%
138	g1047_1	红色椅	2.78%
139	g1047_1	灰色沙发	2.78%
140	g1047_1	褐色椅	2.78%
141	g1047_1	橙色陶瓦x16	2.78%
142	g1047_1	洋红色陶瓦x16	2.78%
143	g1047_1	浅蓝色陶瓦x16	2.78%
144	g1047_1	黄色陶瓦x16	2.78%
145	g1047_1	石灰色陶瓦x16	2.78%
146	g1047_1	粉色陶瓦x16	2.78%
147	g1047_1	灰色陶瓦x16	2.78%
148	g1047_1	浅灰色陶瓦x16	2.78%
149	g1047_1	青色陶瓦x16	2.78%
150	g1047_1	紫色陶瓦x16	2.78%
151	g1047_1	蓝色陶瓦x16	2.78%
152	g1047_1	棕色陶瓦x16	2.78%
153	g1047_1	绿色陶瓦x16	2.78%
154	g1047_1	红色陶瓦x16	2.78%
155	g1047_1	黑色陶瓦x16	2.78%
156	g1047_1	白色钢化玻璃窗格x14	2.78%
157	g1047_1	橙色钢化玻璃窗格x14	2.78%
158	g1047_1	品红色钢化玻璃窗格x14	2.78%
159	g1047_1	浅蓝色钢化玻璃窗格x14	2.78%
160	g1047_1	黄色钢化玻璃窗格x14	2.78%
161	g1047_1	浅绿色钢化玻璃窗格x14	2.78%
162	g1047_1	粉色钢化玻璃窗格x14	2.78%
163	g1047_1	灰色钢化玻璃窗格x14	2.78%
164	g1047_1	浅灰色钢化玻璃窗格x14	2.78%
165	g1047_1	青色钢化玻璃窗格x14	2.78%
166	g1047_1	紫色钢化玻璃窗格x14	2.78%
167	g1047_1	蓝色钢化玻璃窗格x14	2.78%
168	g1047_1	棕色钢化玻璃窗格x14	2.78%
169	g1047_1	绿色钢化玻璃窗格x14	2.78%
170	g1047_1	红色钢化玻璃窗格x14	2.78%
171	g1047_1	黑色钢化玻璃窗格x14	2.78%
172	g1047_1	-	-
173	g1047_1	紫色老虎机右	概率：
174	g1047_1	黑色椅	2.44%
175	g1047_1	爱心长沙发	2.44%
176	g1047_1	长绿椅	2.44%
177	g1047_1	长黄椅	2.44%
178	g1047_1	长棕椅	2.44%
179	g1047_1	金合欢树x20	2.44%
180	g1047_1	暗橡树木x20	2.44%
181	g1047_1	暗橡木楼梯x16	2.44%
182	g1047_1	海晶石x12	2.44%
183	g1047_1	白色地毯x18	2.44%
184	g1047_1	橙色地毯x18	2.44%
185	g1047_1	品红色地毯x18	2.44%
186	g1047_1	浅蓝色地毯x18	2.44%
187	g1047_1	黄色地毯x18	2.44%
188	g1047_1	浅绿色地毯x18	2.44%
189	g1047_1	粉色地毯x18	2.44%
190	g1047_1	灰色地毯x18	2.44%
191	g1047_1	浅灰色地毯x18	2.44%
192	g1047_1	青色地毯x18	2.44%
193	g1047_1	紫色地毯x18	2.44%
194	g1047_1	蓝色地毯x18	2.44%
195	g1047_1	棕色地毯x18	2.44%
196	g1047_1	绿色地毯x18	2.44%
197	g1047_1	红色地毯x18	2.44%
198	g1047_1	黑色地毯x18	2.44%
199	g1047_1	白色混凝土x16	2.44%
200	g1047_1	橙色混凝土x16	2.44%
201	g1047_1	品红色混凝土x16	2.44%
202	g1047_1	浅蓝色混凝土x16	2.44%
203	g1047_1	黄色混凝土x16	2.44%
204	g1047_1	浅绿色混凝土x16	2.44%
205	g1047_1	粉色混凝土x16	2.44%
206	g1047_1	灰色混凝土x16	2.44%
207	g1047_1	浅灰色混凝土x16	2.44%
208	g1047_1	青色混凝土x16	2.44%
209	g1047_1	紫色混凝土x16	2.44%
210	g1047_1	蓝色混凝土x16	2.44%
211	g1047_1	棕色混凝土x16	2.44%
212	g1047_1	绿色混凝土x16	2.44%
213	g1047_1	红色混凝土x16	2.44%
214	g1047_1	黑色混凝土x16	2.44%
