ActorName	Width	Length	Height	Scale	Remark
cs_gun_15.actor	0.7	0.7	0.5		M249机关枪
cs_gun_03.actor	0.7	0.7	0.5		ump冲锋枪
cs_gun_49.actor	0.7	0.7	0.5		
cs_gun_50.actor	0.7	0.7	0.5		
cs_gun_51.actor	0.7	0.7	0.5		
cs_gun_52.actor	0.7	0.7	0.5		
cs_gun_53.actor	0.7	0.7	0.5		
cs_gun_54.actor	0.7	0.7	0.5		
cs_gun_55.actor	0.7	0.7	0.5		
cs_gun_56.actor	0.7	0.7	0.5		
cs_gun_57.actor	0.7	0.7	0.5		
cs_gun_58.actor	0.7	0.7	0.5		
watch_green_car.actor	2	2	2		绿车
watch_orange_car.actor	2	2	2		橙车
watch_yellow_car.actor	2	2	2		黄车
box1.actor	1.4	0.8	0.8		箱子开
box2.actor	1.4	0.8	0.8		箱子半开
box3.actor	1.4	0.8	0.8		箱子关
cane1.actor	0.3	0.3	1		圣诞棍（斜）
cane2.actor	0.3	0.3	1		圣诞棍（竖）
coke.actor	0.15	0.15	0.4		可乐
desk04.actor	1.5	0.8	0.8		工作台
drawer.actor	0.8	0.8	0.8		床头柜
empty.actor	0.1	0.1	0.1		空
gift.actor	0.8	0.8	0.7		圣诞礼物
laptop.actor	0.6	0.6	0.6		手提电脑
mug.actor	0.25	0.25	0.3		杯子
phone.actor	0.25	0.4	0.25		座式电话
sack.actor	0.3	0.3	0.5		礼物袋
sock01.actor	0.3	0.3	0.3		袜子白
sock02.actor	0.3	0.3	0.3		袜子灰
sock03.actor	0.3	0.3	0.3		袜子绿
sofa.actor	2.2	1.3	1.5		沙发
tree02.actor	0.5	0.5	1.5		圣诞树（小型）
television.actor	1.5	0.5	0.75		电视
chicken.actor	0.4	0.4	0.6		鸡
pig.actor	0.8	0.5	0.5		猪
rabbit.actor	0.4	0.4	0.4		兔子
sheep.actor	0.8	0.8	0.75		羊
g1047_wings01.actor	2	2	2		家园翅膀1
g1047_wings02.actor	2	2	2		家园翅膀2
g1047_wings03.actor	2	2	2		家园翅膀3
g1047_wings04.actor	2	2	2		家园翅膀4
g1047_wings05.actor	2	2	2		家园翅膀5
g1051_item_furou.actor	1	1	0.7		
g1051_item_pingguo.actor	1	1	0.7		
g1051_item_dangao.actor	1	1	0.7		
g1051_item_guantou.actor	1	1	0.7		
g1051_item_tuzi.actor	1	1	0.7		
g1051_item_niupai.actor	1	1	0.7		
g1051_item_wushui.actor	1	1	0.7		
g1051_item_kele.actor	1	1	0.7		
g1051_item_guozhi.actor	1	1	0.7		
g1051_item_shuitong.actor	1	1	0.7		
g1051_item_nengying.actor	1	1	0.7		
g1051_item_bengdai.actor	1	1	0.7		
g1051_item_shenshangxiansu.actor	1	1	0.7		
g1051_item_jijiuxiang.actor	1	1	0.7		
g1051_item_shengmingjinghua.actor	1	1	0.7		
g1051_item_yimiao.actor	1	1	0.7		
g1051_item_jiaban.actor	1	1	0.7		
g1051_item_dnaxiufuji.actor	1	1	0.7		
g1051_item_shouqiangzidan.actor	1	1	0.7		
g1051_item_buqiangzidan.actor	1	1	0.7		
g1051_item_tujiqiangzidan.actor	1	1	0.7		
g1051_item_zhongxingqiangzidan.actor	1	1	0.7		
g1051_item_shouyinji.actor	1	1	0.7		
g1051_item_xiaobingdu.actor	1	1	0.7		
g1051_item_dabingdu.actor	1	1	0.7		
g1051_item_yijibao.actor	1	1	0.7		
g1051_item_yijibao.actor	1	1	0.7		
g1051_item_yijibao.actor	1	1	0.7		
g1051_item_toukui.actor	1	1	0.7		
g1051_item_toukui.actor	1	1	0.7		
g1051_item_toukui.actor	1	1	0.7		
g1051_item_fangdanyi_trunk.actor	1	1	0.7		
g1052_item_fangdanyi_trunk.actor	1	1	0.7		
g1053_item_fangdanyi_trunk.actor	1	1	0.7		
g1051_item_fangdanyi_trousers.actor	1	1	0.7		
g1052_item_fangdanyi_trousers.actor	1	1	0.7		
g1053_item_fangdanyi_trousers.actor	1	1	0.7		
g1051_item_xiezhi.actor	1	1	0.7		
g1051_item_xiezhi.actor	1	1	0.7		
g1051_item_xiezhi.actor	1	1	0.7		
pixel_gun_67.actor	1	1	0.7		
pixel_gun_66.actor	1	1	0.7		
pixel_gun_71.actor	1	1	0.7		
pixel_gun_147.actor	1	1	0.7		
pixel_gun_93.actor	1	1	0.7		
pixel_gun_73.actor	1	1	0.7		
pixel_gun_74.actor	1	1	0.7		
pixel_gun_76.actor	1	1	0.7		
pixel_gun_62.actor	1	1	0.7		
pixel_gun_72.actor	1	1	0.7		
pixel_gun_109.actor	1	1	0.7		
pixel_gun_70.actor	1	1	0.7		
pixel_gun_91.actor	1	1	0.7		
pixel_gun_140.actor	1	1	0.7		
pixel_gun_64.actor	1	1	0.7		
pixel_gun_142.actor	1	1	0.7		
pixel_gun_63.actor	1	1	0.7		
pixel_gun_141.actor	1	1	0.7		
pixel_gun_65.actor	1	1	0.7		
pixel_gun_128.actor	1	1	0.7		
pixel_gun_98.actor	1	1	0.7		
pixel_gun_130.actor	1	1	0.7		
pixel_gun_87.actor	1	1	0.7		
pixel_gun_88.actor	1	1	0.7		
pixel_gun_84.actor	1	1	0.7		
pixel_gun_134.actor	1	1	0.7		
pixel_gun_100.actor	1	1	0.7		
pixel_gun_135.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_blue.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_item_suipian_purple.actor	1	1	0.7		
g1051_resource_food.actor	1	1	0.7		
g1051_resource_medical.actor	1	1	0.7		
g1051_resource_equip.actor	1	1	0.7		
g1051_resource_special.actor	1	1	0.7		
g1047_wings08.actor	3	1	2.7		
g1055_demon.actor	0.1	0.1	0.2	4.5	
g1055_boss1.actor	0.1	0.1	0.2	9	
g1055_boss2.actor	0.1	0.1	0.2	15	
g1055_angel.actor	0.1	0.1	0.2	21	
g1055_boss3.actor	0.1	0.1	0.2	28	
g1055_boss4.actor	0.1	0.1	0.2	35	
g1055_boss5.actor	0.1	0.1	0.2	42	
